Composite Table: 
regions     load_ratio_2
'1'          0.200000
'2'          0.200000
'3'          0.200000
'4'          0.200000
'5'          0.200000
'6'          0.200000
'7'          0.200000
'8'          0.200000
'9'          0.200000
'10'          0.200000
'11'          0.200000
'12'          0.200000
'13'          0.200000
'14'          0.200000
'15'          0.200000
'16'          0.200000
'17'          0.200000
'18'          0.200000
'19'          0.200000
'20'          0.200000
'21'          0.200000
'22'          0.200000
'23'          0.200000
'24'          0.200000
'25'          0.200000
;

