Composite Table: 
seasons  regions   hours       load
'1'      '1'       '1'      3272.522021
'1'      '1'       '2'      3114.138319
'1'      '1'       '3'      2877.163255
'1'      '1'       '4'      2730.426601
'1'      '1'       '5'      2548.032732
'1'      '1'       '6'      2519.454932
'1'      '1'       '7'      2690.368788
'1'      '1'       '8'      3059.578830
'1'      '1'       '9'      3368.753755
'1'      '1'       '10'      3477.966785
'1'      '1'       '11'      3606.172505
'1'      '1'       '12'      3799.840187
'1'      '1'       '13'      3869.941026
'1'      '1'       '14'      3918.549740
'1'      '1'       '15'      3977.106051
'1'      '1'       '16'      3990.769205
'1'      '1'       '17'      3998.195240
'1'      '1'       '18'      4099.480999
'1'      '1'       '19'      3885.725186
'1'      '1'       '20'      3522.516489
'1'      '1'       '21'      3381.524684
'1'      '1'       '22'      3462.519703
'1'      '1'       '23'      3584.344478
'1'      '1'       '24'      3524.379871
'2'      '1'       '1'      8356.173353
'2'      '1'       '2'      7744.197200
'2'      '1'       '3'      7198.399353
'2'      '1'       '4'      6800.076896
'2'      '1'       '5'      6332.374889
'2'      '1'       '6'      6225.168902
'2'      '1'       '7'      6655.414056
'2'      '1'       '8'      7514.181025
'2'      '1'       '9'      8216.858244
'2'      '1'       '10'      8832.266754
'2'      '1'       '11'      9283.871035
'2'      '1'       '12'      9810.757129
'2'      '1'       '13'      10210.365768
'2'      '1'       '14'      10447.325672
'2'      '1'       '15'      10724.952779
'2'      '1'       '16'      10829.164123
'2'      '1'       '17'      10849.883720
'2'      '1'       '18'      10949.075012
'2'      '1'       '19'      10421.049937
'2'      '1'       '20'      9627.038050
'2'      '1'       '21'      9042.089664
'2'      '1'       '22'      8888.561814
'2'      '1'       '23'      9046.648983
'2'      '1'       '24'      8736.130895
'3'      '1'       '1'      3085.705740
'3'      '1'       '2'      2918.867129
'3'      '1'       '3'      2720.131138
'3'      '1'       '4'      2583.956368
'3'      '1'       '5'      2399.545411
'3'      '1'       '6'      2349.643771
'3'      '1'       '7'      2432.027509
'3'      '1'       '8'      2799.561838
'3'      '1'       '9'      3072.868692
'3'      '1'       '10'      3083.607060
'3'      '1'       '11'      3214.519644
'3'      '1'       '12'      3389.366255
'3'      '1'       '13'      3460.730348
