regions,technology,h2_production_capacity_nxtyr
1,electrolysis,0.00001
2,electrolysis,0.00001
3,electrolysis,0.00001
4,electrolysis,0.00001
5,electrolysis,0.00001
6,electrolysis,0.00001
7,electrolysis,0.00001
8,electrolysis,0.00001
9,electrolysis,0.00001
10,electrolysis,0.00001
11,electrolysis,0.00001
12,electrolysis,0.00001
13,electrolysis,0.00001
14,electrolysis,0.00001
15,electrolysis,0.00001
16,electrolysis,0.00001
17,electrolysis,0.00001
18,electrolysis,0.00001
19,electrolysis,0.00001
20,electrolysis,0.00001
21,electrolysis,0.00001
22,electrolysis,0.00001
23,electrolysis,0.00001
24,electrolysis,0.00001
25,electrolysis,0.00001
