# California AB32 Carbon Data
# Column 1: Year
# Column 2: Carbon Cap (MMMT CO2e)
# Column 3: Fraction of Cap for Offsets
# Column 4: Fraction of Cap for Cost Containment Reserve
# Column 5: Carbon Containment Reserve Tier 1 Price (Converted from 2012$/mtCo2e to 87$/kg-c in code)
# Column 6: Carbon Containment Reserve Tier 2 Price (Converted from 2012$/mtCo2e to 87$/kg-c in code)
# Column 7: Carbon Containment Reserve Tier 3 Price (Converted from 2012$/mtCo2e to 87$/kg-c in code)
# Column 8: Carbon Auction Reserve Price (Converted from 2012$/mtCo2e to 87$/kg-c in code)
year,ab_cap_tot,ab_offset_frac,ab_cstcont_frac,ab_reserve_p(1),ab_reserve_p(2),ab_reserve_p(3),ab_auction_p
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,162.8,0.087,0.01,40.0,45.0,50.0,10.0
2014,159.7,0.087,0.01,40.0,45.0,50.0,10.0
2015,394.5,0.087,0.04,40.0,45.0,50.0,10.0
2016,382.4,0.087,0.04,40.0,45.0,50.0,10.0
2017,370.4,0.087,0.04,40.0,45.0,50.0,10.0
2018,358.3,0.087,0.07,40.0,45.0,50.0,10.0
2019,346.3,0.087,0.07,40.0,45.0,50.0,10.0
2020,334.2,0.087,0.07,40.0,45.0,50.0,10.0
2021,320.8,0.04,0.0,40.0,45.0,50.0,10.0
2022,307.5,0.04,0.0,40.0,45.0,50.0,10.0
2023,294.1,0.04,0.0,40.0,45.0,50.0,10.0
2024,280.7,0.04,0.0,40.0,45.0,50.0,10.0
2025,267.4,0.04,0.0,40.0,45.0,50.0,10.0
2026,254.0,0.06,0.0,40.0,45.0,50.0,10.0
2027,240.6,0.06,0.0,40.0,45.0,50.0,10.0
2028,227.3,0.06,0.0,40.0,45.0,50.0,10.0
2029,213.9,0.06,0.0,40.0,45.0,50.0,10.0
2030,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2031,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2032,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2033,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2034,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2035,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2036,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2037,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2038,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2039,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2040,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2041,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2042,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2043,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2044,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2045,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2046,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2047,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2048,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2049,200.5,0.06,0.0,40.0,45.0,50.0,10.0
2050,200.5,0.06,0.0,40.0,45.0,50.0,10.0
