# EPM emissions factors (in thousand metric tons carbon per trillion Btu)
# The file extension ".tsv" indicates that these are tab-separated values
# Variable names in the 2nd column correspond to the emeblk include file
factor	variable	description
14.43	EGFRS	(Natural gas, firm, Residential)
14.43	EGFCM	(Natural gas, firm, Commercial)
14.43	EGFTR	(Natural gas, firm, Transportation)
14.43	EGFIN	(Natural gas, firm, Industrial)
14.43	EGFEL	(Natural gas, firm, Electric power)
14.43	EGIRS	(Natural gas, interruptible, Residential)
14.43	EGICM	(Natural gas, interruptible, Commercial)
14.43	EGITR	(Natural gas, interruptible, Transportation)
14.43	EGIIN	(Natural gas, interruptible, Industrial)
14.43	EGIEL	(Natural gas, interruptible, Electric power)
14.43	ENGRS	(Natural gas, Residential)
14.43	ENGCM	(Natural gas, Commercial)
14.43	ENGTR	(Natural gas, Transportation)
14.43	ENGIN	(Natural gas, Industrial)
14.43	ENGEL	(Natural gas, Electric power)
14.43	ENGHM	(Natural gas, Hydrogen == SMR feedstock)
5.28	ENQNGPF	(Natural gas, Feedstocks)
14.43	EGPTR	(Natural gas, Pipeline)
14.43	ELPIN	(Lease and plant fuel, Industrial)
26.18	ECLRS	(Coal, Residential)
26.18	ECLCM	(Coal, Commercial)
26.10	ECLIN	(Coal, Industrial)
25.61	EMCIN	(Metallurgical (coking) coal, Industrial)
19.27	EMGCM	(Motor gasoline, Commercial)
19.27	EMGTR	(Motor gasoline, Transportation)
19.27	EMGIN	(Motor gasoline, Industrial)
19.70	EJFTR	(Jet fuel, Transportation)
20.22	EDSRS	(Distillate, Residential)
20.22	EDSCM	(Distillate, Commercial)
20.22	EDSTR	(Distillate, Transportation)
20.22	EDSIN	(Distillate, Industrial)
20.22	EDSEL	(Distillate, Electric power)
19.96	EKSRS	(Kerosene, Residential)
19.96	EKSCM	(Kerosene, Commercial)
19.96	EKSIN	(Kerosene, Industrial)
17.15	ELGRS	(Liquefied petroleum gases, Residential)
17.15	ELGCM	(Liquefied petroleum gases, Commercial)
17.15	ELGTR	(Liquefied petroleum gases, Transportation)
17.76	ELGIN	(Liquefied petroleum gases, Industrial)
17.15	EPRRS	(Propane, Residential)
17.15	EPRCM	(Propane, Commercial)
17.15	EPRTR	(Propane, Transportation)
16.25	EETIN	(Ethane, Industrial)
17.15	EPRIN	(Propane, Industrial)
17.66	EBUIN	(Butane, Industrial)
17.71	EISIN	(Isobutane, Industrial)
3.25	EETINPF	(Ethane feedstocks, Industrial)
3.43	EPRINPF	(Propane feedstocks, Industrial)
3.53	EBUINPF	(Butane feedstocks, Industrial)
3.54	EISINPF	(Isobutane feedstocks, Industrial)
20.48	ERLCM	(Residual fuel, low sulfur, Commercial)
20.48	ERLTR	(Residual fuel, low sulfur, Transportation)
20.48	ERLIN	(Residual fuel, low sulfur, Industrial)
20.48	ERLEL	(Residual fuel, low sulfur, Electric)
20.48	ERHTR	(Residual fuel, high sulfur, Transportation)
20.48	ERHEL	(Residual fuel, high sulfur, Electric)
20.48	ERSCM	(Residual fuel, Commercial)
20.48	ERSTR	(Residual fuel, Transportation)
20.48	ERSIN	(Residual fuel, Industrial)
20.48	ERSEL	(Residual fuel, Electric power)
11.37	EOTTR	(Other petroleum, Transportation == aviation gasoline and lubricants, 50% sequestered)
5.81	EPFIN	(Petrochemical feedstocks, 59% sequestered)
26.62	EPCIN	(Petroleum coke, 4.43% sequestered)
18.24	EPPIN	(Pentanes plus, Industrial)
3.65	EPPINPF	(Pentanes plus feedstocks, Industrial)
10.10	ELUIN	(Lubricants, Industrial)
3.35	ENQLGPF	(Liquefied petroleum gases, feedstock, Industrial, 80% sequestered)
18.20	ESGIN	(Still gas, Industrial)
8.29	EOTIN	(Other petroleum, Industrial == lubricants, waxes, miscellaneous petroleum)
27.85	EPCEL	(Petroleum coke,  Electric power, 0% sequestered)
17.45	EMETR	(Methanol)
20.20	EETTR	(Ethanol--but not used--feedstock is assumed renewable and energy to grow it and distill it is calculated separately)
24.45	EMSEL	(Municipal solid waste)
31.00	ECIIN	(Net imports of coal coke)
