# EPM Carbon Tax or Carbon Cap Data
# Version: this is the default version of this file
#
# Column 1: Carbon tax ($/kg) in fee run or starting tax in carbon cap run
# Column 2: Carbon cap (million metric tons carbon equivalent) or covered greenhouse gas emission cap
# Column 3: Maximum carbon fee
# Column 4: Minimum carbon fee
# Column 5: Year
carbon tax,carbon cap,maximum fee,minimum fee,year
0.0,1372.0,0.0,0.0,1990
0.0,1359.0,0.0,0.0,1991
0.0,1380.0,0.0,0.0,1992
0.0,1405.0,0.0,0.0,1993
0.0,1431.0,0.0,0.0,1994
0.0,1442.0,0.0,0.0,1995
0.0,1530.0,0.0,0.0,1996
0.0,1540.0,0.0,0.0,1997
0.0,1560.0,0.4,0.0,1998
0.0,1580.0,0.4,0.0,1999
0.0,1600.0,0.4,0.0,2000
0.0,1625.0,0.4,0.0,2001
0.0,1650.0,0.4,0.0,2002
0.0,1675.0,0.4,0.0,2003
0.0,1700.0,0.4,0.0,2004
0.0,1725.0,0.4,0.0,2005
0.0,1750.0,0.4,0.0,2006
0.0,1775.0,0.4,0.0,2007
0.0,1800.0,0.4,0.0,2008
0.0,1820.0,0.4,0.0,2009
0.0,1840.0,0.4,0.0,2010
0.0,1860.0,0.4,0.0,2011
0.0,1880.0,0.4,0.0,2012
0.0,1900.0,0.4,0.0,2013
0.0,1920.0,0.4,0.0,2014
0.0,1940.0,0.4,0.0,2015
0.0,1960.0,0.4,0.0,2016
0.0,1980.0,0.4,0.0,2017
0.0,2000.0,0.4,0.0,2018
0.0,2020.0,0.4,0.0,2019
0.0,2040.0,0.4,0.0,2020
0.0,2060.0,0.4,0.0,2021
0.0,2080.0,0.4,0.0,2022
0.0,2100.0,0.4,0.0,2023
0.0,2125.0,0.4,0.0,2024
0.0,2150.0,0.4,0.0,2025
0.0,2175.0,0.4,0.0,2026
0.0,2200.0,0.4,0.0,2027
0.0,2225.0,0.4,0.0,2028
0.0,2250.0,0.4,0.0,2029
0.0,2275.0,0.4,0.0,2030
0.0,2300.0,0.4,0.0,2031
0.0,2325.0,0.4,0.0,2032
0.0,2350.0,0.4,0.0,2033
0.0,2375.0,0.4,0.0,2034
0.0,2400.0,0.4,0.0,2035
0.0,2425.0,0.4,0.0,2036
0.0,2450.0,0.4,0.0,2037
0.0,2475.0,0.4,0.0,2038
0.0,2500.0,0.4,0.0,2039
0.0,2525.0,0.4,0.0,2040
0.0,2550.0,0.4,0.0,2041
0.0,2575.0,0.4,0.0,2042
0.0,2600.0,0.4,0.0,2043
0.0,2625.0,0.4,0.0,2044
0.0,2650.0,0.4,0.0,2045
0.0,2675.0,0.4,0.0,2046
0.0,2700.0,0.4,0.0,2047
0.0,2725.0,0.4,0.0,2048
0.0,2750.0,0.4,0.0,2049
0.0,2775.0,0.4,0.0,2050
