# EPM Carbon Tax or Carbon Cap Data
# Version: this is the $35 carbon fee version of this file
#
# Column 1: Carbon tax ($/kg) in fee run or starting tax in carbon cap run
# Column 2: Carbon cap (million metric tons carbon equivalent) or covered greenhouse gas emission cap
# Column 3: Maximum carbon fee
# Column 4: Minimum carbon fee
# Column 5: Year
carbon tax,carbon cap,maximum fee,minimum fee,year
0.0,0.0,0.46299,0.0,1990
0.0,0.0,0.46299,0.0,1991
0.0,0.0,0.46299,0.0,1992
0.0,0.0,0.46299,0.0,1993
0.0,0.0,0.46299,0.0,1994
0.0,0.0,0.46299,0.0,1995
0.0,0.0,0.46299,0.0,1996
0.0,0.0,0.46299,0.0,1997
0.0,0.0,0.46299,0.0,1998
0.0,0.0,0.46299,0.0,1999
0.0,0.0,0.46299,0.0,2000
0.0,0.0,0.46299,0.0,2001
0.0,0.0,0.46299,0.0,2002
0.0,0.0,0.46299,0.0,2003
0.0,0.0,0.46299,0.0,2004
0.0,0.0,0.46299,0.0,2005
0.0,0.0,0.46299,0.0,2006
0.0,0.0,0.46299,0.0,2007
0.0,0.0,0.46299,0.0,2008
0.0,0.0,0.46299,0.0,2009
0.0,0.0,0.46299,0.0,2010
0.0,0.0,0.46299,0.0,2011
0.0,0.0,0.46299,0.0,2012
0.0,0.0,0.46299,0.0,2013
0.0,0.0,0.46299,0.0,2014
0.0,0.0,0.46299,0.0,2015
0.0,0.0,0.46299,0.0,2016
0.0,0.0,0.46299,0.0,2017
0.0,0.0,0.46299,0.0,2018
0.0,0.0,0.46299,0.0,2019
0.0,0.0,0.46299,0.0,2020
0.0,0.0,0.46299,0.0,2021
0.0,0.0,0.46299,0.0,2022
0.062005,0.0,0.46299,0.0,2023
0.065106,0.0,0.46299,0.0,2024
0.068361,0.0,0.46299,0.0,2025
0.071779,0.0,0.46299,0.0,2026
0.075368,0.0,0.46299,0.0,2027
0.079136,0.0,0.46299,0.0,2028
0.083093,0.0,0.46299,0.0,2029
0.087248,0.0,0.46299,0.0,2030
0.09161,0.0,0.46299,0.0,2031
0.096191,0.0,0.46299,0.0,2032
0.101,0.0,0.46299,0.0,2033
0.10605,0.0,0.46299,0.0,2034
0.111353,0.0,0.46299,0.0,2035
0.116921,0.0,0.46299,0.0,2036
0.122767,0.0,0.46299,0.0,2037
0.128905,0.0,0.46299,0.0,2038
0.13535,0.0,0.46299,0.0,2039
0.142118,0.0,0.46299,0.0,2040
0.149224,0.0,0.46299,0.0,2041
0.156685,0.0,0.46299,0.0,2042
0.164519,0.0,0.46299,0.0,2043
0.172745,0.0,0.46299,0.0,2044
0.181382,0.0,0.46299,0.0,2045
0.190451,0.0,0.46299,0.0,2046
0.199974,0.0,0.46299,0.0,2047
0.209973,0.0,0.46299,0.0,2048
0.220471,0.0,0.46299,0.0,2049
0.231495,0.0,0.46299,0.0,2050
