MNUMYR,MNUMNR,M24,M4,M3,Gen45VDataByTech
34,1,1,1,1,1097.79
34,1,1,1,3,288.94
34,1,1,2,1,2118.4
34,1,1,2,3,602.48
34,1,1,3,1,913.92
34,1,1,3,3,299.1
34,1,1,4,1,1810.71
34,1,1,4,3,555.91
34,1,2,1,1,1108.84
34,1,2,1,3,288.59
34,1,2,2,1,2150.96
34,1,2,2,3,601.01
34,1,2,3,1,907.43
34,1,2,3,3,298.4
34,1,2,4,1,1820.35
34,1,2,4,3,555.27
34,1,3,1,1,1113.82
34,1,3,1,3,288.13
34,1,3,2,1,2148.79
34,1,3,2,3,599.9
34,1,3,3,1,896.62
34,1,3,3,3,297.91
34,1,3,4,1,1799.02
34,1,3,4,3,554.62
34,1,4,1,1,1105.97
34,1,4,1,3,287.92
34,1,4,2,1,2118.06
34,1,4,2,3,599.22
34,1,4,3,1,878.82
34,1,4,3,3,297.63
34,1,4,4,1,1785.9
34,1,4,4,3,554.33
34,1,5,1,1,1093.46
34,1,5,1,3,287.85
34,1,5,2,1,2082.56
34,1,5,2,3,598.82
34,1,5,3,1,848.55
34,1,5,3,3,297.5
34,1,5,4,1,1761.09
34,1,5,4,3,554.31
34,1,6,1,1,1073.44
34,1,6,1,3,288.02
34,1,6,2,1,2033.97
34,1,6,2,2,0.09
34,1,6,2,3,598.88
34,1,6,3,1,822.9
34,1,6,3,3,297.57
34,1,6,4,1,1745.85
34,1,6,4,3,554.76
34,1,7,1,1,1046.43
34,1,7,1,2,7.33
34,1,7,1,3,288.62
34,1,7,2,1,1924.53
34,1,7,2,2,49.48
34,1,7,2,3,600.45
34,1,7,3,1,791.79
34,1,7,3,2,2.19
34,1,7,3,3,298.26
34,1,7,4,1,1723.49
34,1,7,4,3,556.01
34,1,8,1,1,966.48
34,1,8,1,2,99.78
34,1,8,1,3,295.51
34,1,8,2,1,1511.02
34,1,8,2,2,237.25
34,1,8,2,3,602.63
34,1,8,3,1,726.61
34,1,8,3,2,128.24
34,1,8,3,3,299.64
34,1,8,4,1,1699.95
34,1,8,4,2,63.55
34,1,8,4,3,584.34
34,1,9,1,1,798.38
34,1,9,1,2,291.94
34,1,9,1,3,304.04
34,1,9,2,1,1218.35
34,1,9,2,2,586.31
34,1,9,2,3,610.05
34,1,9,3,1,566.92
34,1,9,3,2,353.28
34,1,9,3,3,300.49
34,1,9,4,1,1583.29
34,1,9,4,2,416.16
34,1,9,4,3,558.37
34,1,10,1,1,704.25
34,1,10,1,2,466.27
34,1,10,1,3,296.18
34,1,10,2,1,1031.41
34,1,10,2,2,944.5
34,1,10,2,3,611.77
34,1,10,3,1,442.46
34,1,10,3,2,548.68
34,1,10,3,3,301.14
34,1,10,4,1,1276.24
34,1,10,4,2,742.38
34,1,10,4,3,557.61
34,1,11,1,1,681.9
34,1,11,1,2,614.85
34,1,11,1,3,290.77
34,1,11,2,1,887.72
34,1,11,2,2,1215.94
34,1,11,2,3,607.34
34,1,11,3,1,392.92
34,1,11,3,2,688.48
34,1,11,3,3,301.9
34,1,11,4,1,1038.49
34,1,11,4,2,999.79
34,1,11,4,3,557.31
34,1,12,1,1,671.26
34,1,12,1,2,645.23
34,1,12,1,3,291.79
34,1,12,2,1,784.73
34,1,12,2,2,1311.2
34,1,12,2,3,614.37
34,1,12,3,1,368.14
34,1,12,3,2,699.68
34,1,12,3,3,302.47
34,1,12,4,1,964.42
34,1,12,4,2,1132.6
34,1,12,4,3,557.87
34,1,13,1,1,666.58
34,1,13,1,2,648.29
34,1,13,1,3,293.72
34,1,13,2,1,727.44
34,1,13,2,2,1316.55
34,1,13,2,3,619.88
34,1,13,3,1,352.6
34,1,13,3,2,702.28
34,1,13,3,3,302.74
34,1,13,4,1,951.82
34,1,13,4,2,1136.09
34,1,13,4,3,563.9
34,1,14,1,1,663.61
34,1,14,1,2,648.29
34,1,14,1,3,304.3
34,1,14,2,1,731.31
34,1,14,2,2,1316.55
34,1,14,2,3,617.4
34,1,14,3,1,353.25
34,1,14,3,2,702.28
34,1,14,3,3,302.95
34,1,14,4,1,959.69
34,1,14,4,2,1136.09
34,1,14,4,3,558.7
34,1,15,1,1,681.2
34,1,15,1,2,648.29
34,1,15,1,3,292.22
34,1,15,2,1,760.64
34,1,15,2,2,1303.25
34,1,15,2,3,616.49
34,1,15,3,1,361.84
34,1,15,3,2,696.59
34,1,15,3,3,303.16
34,1,15,4,1,975.94
34,1,15,4,2,1092.54
34,1,15,4,3,557.95
34,1,16,1,1,698.87
34,1,16,1,2,571.63
34,1,16,1,3,292.04
34,1,16,2,1,825.92
34,1,16,2,2,1085.89
34,1,16,2,3,627.53
34,1,16,3,1,379.17
34,1,16,3,2,551.18
