MNUMYR,MNUMNR,MNUMYRVIN,M3,GDS_Vintage45V
34,1,34,1,0.0642
34,1,34,2,0.3481
34,2,34,2,0.2561
34,3,34,1,0.0271
34,3,34,2,0.2727
34,4,34,1,0.1137
34,4,34,2,0.3866
34,5,34,1,0.1461
34,5,34,2,0.2387
34,6,34,2,0.717
34,7,34,2,0.0981
34,7,34,3,0.0007
34,8,34,1,0.5699
34,9,34,1,0.2019
34,9,34,2,0.2338
34,10,34,1,0.0641
34,10,34,2,0.1686
34,11,34,1,0.0011
34,11,34,2,0.5474
34,12,34,1,0.0808
34,12,34,2,0.4342
34,13,34,2,0.1563
34,14,34,2,0.1099
34,15,34,2,0.1793
34,15,34,3,0.0957
34,16,34,2,0.4704
34,17,34,1,0.0616
34,17,34,2,0.4648
34,18,34,1,0.0796
34,18,34,2,0.1345
34,19,34,2,0.6661
34,20,34,1,0.0574
34,20,34,2,0.327
34,21,34,1,0.0609
34,21,34,2,0.1213
34,21,34,3,0.0002
34,22,34,2,0.1422
34,22,34,3,0.0022
34,23,34,1,0.0354
34,23,34,2,0.3631
34,23,34,3,0.0006
34,24,34,1,0.0656
34,24,34,2,0.4135
34,25,34,2,0.2795
34,25,34,3,0.008
35,1,34,1,0.0623
35,1,34,2,0.1838
35,1,35,1,0.029
35,1,35,2,0.4722
35,1,35,3,0.0013
35,2,34,2,0.2017
35,2,35,2,0.2123
35,2,35,3,0.0015
35,3,34,1,0.0263
35,3,34,2,0.2177
35,3,35,1,0.0282
35,3,35,2,0.2017
35,3,35,3,0.0019
35,4,34,1,0.1086
35,4,34,2,0.1703
35,4,35,1,0.0447
35,4,35,2,0.5593
35,4,35,3,0.0022
35,5,34,1,0.1461
35,5,34,2,0.1976
35,5,35,2,0.1721
35,5,35,3,0.0006
35,6,34,2,0.3733
35,6,35,1,1
35,6,35,2,0.4794
35,6,35,3,0.0012
35,7,34,2,0.0858
35,7,34,3,0.0007
35,7,35,1,0.3398
35,7,35,2,0.125
35,7,35,3,0.0001
35,8,34,1,0.5699
35,8,35,2,0.0043
35,8,35,3,0.0556
35,9,34,1,0.1931
35,9,34,2,0.1481
35,9,35,1,0.0438
35,9,35,2,0.3665
35,9,35,3,0.0024
35,10,34,1,0.0339
35,10,34,2,0.136
35,10,35,1,0.4708
35,10,35,2,0.1936
35,10,35,3,0.0002
35,11,34,1,0.0011
35,11,34,2,0.2221
35,11,35,2,0.5943
35,11,35,3,0.0016
35,12,34,1,0.0808
35,12,34,2,0.4201
35,12,35,2,0.0324
35,12,35,3,0.0001
35,13,34,2,0.1305
35,13,35,2,0.1652
35,13,35,3,0.0007
35,14,34,2,0.1003
35,14,35,2,0.0875
35,14,35,3,0.0002
35,15,34,2,0.1579
35,15,34,3,0.0873
35,15,35,2,0.1194
35,15,35,3,0.0881
35,16,34,2,0.2938
35,16,35,2,0.3756
35,16,35,3,0.0002
35,17,34,1,0.0597
35,17,34,2,0.3371
35,17,35,1,0.0299
35,17,35,2,0.2747
35,17,35,3,0.003
35,18,34,1,0.0796
35,18,34,2,0.1345
35,18,35,3,0.0008
35,19,34,2,0.6661
35,19,35,3,0.0002
35,20,34,1,0.0553
35,20,34,2,0.2229
35,20,35,1,0.0376
35,20,35,2,0.3185
35,20,35,3,0.001
35,21,34,1,0.0577
35,21,34,2,0.0952
35,21,34,3,0.0002
35,21,35,1,0.0517
35,21,35,2,0.2152
35,21,35,3,0.0003
35,22,34,2,0.1268
35,22,34,3,0.0022
35,22,35,1,0.0054
35,22,35,2,0.1084
35,22,35,3,0.002
35,23,34,1,0.0332
35,23,34,2,0.3211
35,23,34,3,0.0006
35,23,35,1,0.0599
35,23,35,2,0.1157
35,23,35,3,0.0002
35,24,34,1,0.0635
35,24,34,2,0.3101
35,24,35,1,0.0318
35,24,35,2,0.2502
35,24,35,3,0.0046
35,25,34,2,0.2521
35,25,34,3,0.008
35,25,35,1,0.1047
35,25,35,2,0.0982
35,25,35,3,0.0055
36,1,34,1,0.0616
36,1,34,2,0.1422
36,1,35,1,0.0287
36,1,35,2,0.3654
36,1,35,3,0.0013
36,1,36,1,0.0112
36,1,36,2,0.2262
36,1,36,3,0.0015
36,2,34,2,0.1807
36,2,35,2,0.1902
36,2,35,3,0.0015
36,2,36,2,0.104
36,2,36,3,0.0018
36,3,34,1,0.0253
36,3,34,2,0.2177
36,3,35,1,0.0271
36,3,35,2,0.2017
36,3,35,3,0.0019
36,3,36,1,0.0374
36,3,36,3,0.0011
36,4,34,1,0.1015
36,4,34,2,0.1384
36,4,35,1,0.0417
36,4,35,2,0.4546
36,4,35,3,0.0022
36,4,36,1,0.065
36,4,36,2,0.1873
36,4,36,3,0.0062
36,5,34,1,0.1461
36,5,34,2,0.1197
36,5,35,2,0.1042
36,5,35,3,0.0006
36,5,36,2,0.3943
36,5,36,3,0.0008
36,6,34,2,0.2164
36,6,35,1,1
36,6,35,2,0.2779
36,6,35,3,0.0012
36,6,36,2,0.4203
36,6,36,3,0.0014
36,7,34,2,0.0799
36,7,34,3,0.0007
36,7,35,1,0.2606
36,7,35,2,0.1164
36,7,35,3,0.0001
36,7,36,1,0.2329
36,7,36,2,0.0688
36,7,36,3,0.0001
36,8,34,1,0.5699
36,8,35,2,0.0038
36,8,35,3,0.0556
36,8,36,2,0.1068
36,9,34,1,0.1672
36,9,34,2,0.0967
36,9,35,1,0.0379
36,9,35,2,0.2394
36,9,35,3,0.0024
36,9,36,1,0.1341
36,9,36,2,0.347
36,9,36,3,0
36,10,34,1,0.0339
36,10,34,2,0.0266
36,10,35,1,0.4708
36,10,35,2,0.0378
36,10,35,3,0.0002
36,10,36,2,0.8047
36,10,36,3,0.0003
36,11,34,1,0.001
36,11,34,2,0.1638
36,11,35,2,0.4385
36,11,35,3,0.0016
36,11,36,1,0.0348
36,11,36,2,0.2622
36,11,36,3,0.0015
36,12,34,1,0.0749
36,12,34,2,0.4201
36,12,35,2,0.0324
36,12,35,3,0.0001
36,12,36,1,0.0724
36,12,36,3,0.0001
36,13,34,2,0.1238
36,13,35,2,0.1567
36,13,35,3,0.0007
36,13,36,2,0.0517
36,13,36,3,0.0008
36,14,34,2,0.0966
36,14,35,2,0.0843
36,14,35,3,0.0002
36,14,36,2,0.0368
36,14,36,3,0.0003
36,15,34,2,0.1539
36,15,34,3,0.0872
36,15,35,2,0.1164
36,15,35,3,0.088
36,15,36,2,0.025
36,15,36,3,0.001
36,16,34,2,0.2938
36,16,35,2,0.3756
36,16,35,3,0.0002
36,16,36,3,0.0002
36,17,34,1,0.0597
36,17,34,2,0.1123
36,17,35,1,0.0299
36,17,35,2,0.0915
36,17,35,3,0.0029
36,17,36,2,0.6668
36,17,36,3,0.0035
36,18,34,1,0.0781
36,18,34,2,0.0032
36,18,35,3,0.0008
36,18,36,1,0.0196
36,18,36,2,0.9764
36,18,36,3,0.001
36,19,34,2,0.3655
36,19,35,3,0.0002
36,19,36,1,0.0702
36,19,36,2,0.4513
36,19,36,3,0.0002
36,20,34,1,0.0529
36,20,34,2,0.2111
36,20,35,1,0.036
36,20,35,2,0.3017
36,20,35,3,0.001
36,20,36,1,0.0422
36,20,36,2,0.0527
36,20,36,3,0.0012
36,21,34,1,0.0535
36,21,34,2,0.0932
36,21,34,3,0.0002
36,21,35,1,0.0479
36,21,35,2,0.2107
36,21,35,3,0.0004
36,21,36,1,0.0736
36,21,36,2,0.021
36,21,36,3,0.0003
36,22,34,2,0.1103
36,22,34,3,0.0022
36,22,35,1,0.0054
36,22,35,2,0.0942
36,22,35,3,0.002
36,22,36,1,0.0031
36,22,36,2,0.1306
36,22,36,3,0.001
36,23,34,1,0.0311
36,23,34,2,0.2374
36,23,34,3,0.0006
