 mnumyr,mnumnr,m24,m4,LDLM
34,1,1,1,3550.393
34,1,2,1,3523.270
34,1,3,1,3464.603
34,1,4,1,3429.836
34,1,5,1,3392.586
34,1,6,1,3398.495
34,1,7,1,3510.308
34,1,8,1,3740.220
34,1,9,1,4390.079
34,1,10,1,5289.841
34,1,11,1,5356.183
34,1,12,1,5453.280
34,1,13,1,5322.687
34,1,14,1,5086.977
34,1,15,1,4967.021
34,1,16,1,4486.333
34,1,17,1,4414.999
34,1,18,1,3926.407
34,1,19,1,3737.279
34,1,20,1,3604.430
34,1,21,1,3575.015
34,1,22,1,3629.554
34,1,23,1,3664.299
34,1,24,1,3636.607
34,1,1,2,4079.985
34,1,2,2,4242.335
34,1,3,2,4520.234
34,1,4,2,4729.128
34,1,5,2,4929.507
34,1,6,2,4937.017
34,1,7,2,4853.158
34,1,8,2,5030.317
34,1,9,2,6092.981
34,1,10,2,6002.551
34,1,11,2,6350.446
34,1,12,2,6491.305
34,1,13,2,6646.625
34,1,14,2,6747.029
34,1,15,2,6847.393
34,1,16,2,6449.231
34,1,17,2,5263.060
34,1,18,2,4467.465
34,1,19,2,4275.191
34,1,20,2,4157.550
34,1,21,2,4068.198
34,1,22,2,4054.753
34,1,23,2,4094.606
34,1,24,2,4053.204
34,1,1,3,2463.159
34,1,2,3,2425.326
34,1,3,3,2436.354
34,1,4,3,2459.095
34,1,5,3,2498.048
34,1,6,3,2498.926
34,1,7,3,2505.312
34,1,8,3,2815.741
34,1,9,3,3402.521
34,1,10,3,3535.870
34,1,11,3,3667.442
34,1,12,3,3833.969
34,1,13,3,3974.995
34,1,14,3,3986.542
34,1,15,3,3899.045
34,1,16,3,3732.156
34,1,17,3,2944.678
34,1,18,3,2705.025
34,1,19,3,2576.522
34,1,20,3,2506.123
34,1,21,3,2512.669
34,1,22,3,2533.344
34,1,23,3,2537.861
34,1,24,3,2503.135
34,1,1,4,6159.046
34,1,2,4,6087.667
34,1,3,4,5964.390
34,1,4,4,5880.964
34,1,5,4,5902.314
34,1,6,4,5909.229
34,1,7,4,5993.047
34,1,8,4,6557.254
34,1,9,4,7912.020
34,1,10,4,9539.466
34,1,11,4,10001.091
34,1,12,4,9618.540
34,1,13,4,9487.608
34,1,14,4,9208.694
34,1,15,4,8967.198
34,1,16,4,8476.052
34,1,17,4,7741.446
34,1,18,4,6749.974
34,1,19,4,6336.404
34,1,20,4,6379.066
34,1,21,4,6408.462
34,1,22,4,6379.890
34,1,23,4,6379.247
34,1,24,4,6301.323
34,2,1,1,1674.332
34,2,2,1,1638.391
34,2,3,1,1593.183
34,2,4,1,1557.145
34,2,5,1,1509.034
34,2,6,1,1515.584
34,2,7,1,1774.360
34,2,8,1,2334.357
34,2,9,1,4630.513
34,2,10,1,6619.352
34,2,11,1,7965.294
34,2,12,1,7867.963
34,2,13,1,6092.710
34,2,14,1,5906.425
34,2,15,1,5541.104
34,2,16,1,4168.185
34,2,17,1,2832.495
34,2,18,1,2231.428
34,2,19,1,1884.377
34,2,20,1,1765.537
34,2,21,1,1759.927
34,2,22,1,1716.829
34,2,23,1,1703.167
34,2,24,1,1680.865
34,2,1,2,1700.845
34,2,2,2,1660.038
34,2,3,2,1607.932
34,2,4,2,1567.626
34,2,5,2,1518.241
34,2,6,2,1517.625
34,2,7,2,2530.674
34,2,8,2,4099.215
34,2,9,2,7744.387
34,2,10,2,10982.593
34,2,11,2,11801.580
34,2,12,2,10180.835
34,2,13,2,9117.783
34,2,14,2,8310.945
34,2,15,2,6498.750
34,2,16,2,5706.935
34,2,17,2,4709.503
34,2,18,2,3183.413
34,2,19,2,1974.939
34,2,20,2,1826.736
34,2,21,2,1806.329
34,2,22,2,1764.314
34,2,23,2,1743.037
34,2,24,2,1717.768
34,2,1,3,1100.159
34,2,2,3,1065.569
34,2,3,3,1033.331
34,2,4,3,1008.913
34,2,5,3,977.156
34,2,6,3,982.375
34,2,7,3,1473.329
34,2,8,3,2249.575
34,2,9,3,4383.887
34,2,10,3,6139.748
34,2,11,3,6771.277
34,2,12,3,5450.103
34,2,13,3,5392.563
34,2,14,3,4768.792
34,2,15,3,3727.107
34,2,16,3,2777.696
34,2,17,3,2390.408
34,2,18,3,1746.596
34,2,19,3,1251.002
34,2,20,3,1178.729
34,2,21,3,1160.087
34,2,22,3,1122.146
34,2,23,3,1108.187
34,2,24,3,1094.203
34,2,1,4,3317.525
34,2,2,4,3269.916
34,2,3,4,3183.022
34,2,4,4,3117.472
34,2,5,4,3024.027
34,2,6,4,3027.339
34,2,7,4,3225.326
34,2,8,4,3962.723
34,2,9,4,7897.576
34,2,10,4,11821.851
34,2,11,4,14505.028
34,2,12,4,14144.904
34,2,13,4,11844.454
34,2,14,4,11455.192
34,2,15,4,9884.655
34,2,16,4,7075.035
34,2,17,4,5504.716
34,2,18,4,4265.312
34,2,19,4,3743.960
34,2,20,4,3513.337
34,2,21,4,3451.102
34,2,22,4,3368.452
34,2,23,4,3352.771
34,2,24,4,3326.215
34,3,1,1,1861.146
34,3,2,1,1860.176
34,3,3,1,1845.026
34,3,4,1,1830.068
34,3,5,1,1832.950
34,3,6,1,1838.433
34,3,7,1,1853.474
34,3,8,1,1957.489
34,3,9,1,2051.837
34,3,10,1,2116.683
34,3,11,1,2157.926
34,3,12,1,2182.440
34,3,13,1,2191.611
34,3,14,1,2194.036
34,3,15,1,2156.345
34,3,16,1,2099.585
34,3,17,1,2003.945
34,3,18,1,1808.501
34,3,19,1,1800.966
34,3,20,1,1793.127
34,3,21,1,1830.857
34,3,22,1,1847.896
34,3,23,1,1845.474
34,3,24,1,1843.475
34,3,1,2,2876.412
34,3,2,2,2865.941
34,3,3,2,2871.056
34,3,4,2,2868.199
34,3,5,2,2865.804
34,3,6,2,2793.249
34,3,7,2,2635.190
34,3,8,2,2752.761
34,3,9,2,2851.497
34,3,10,2,2987.117
34,3,11,2,3122.309
34,3,12,2,3171.576
34,3,13,2,3202.962
34,3,14,2,3198.209
34,3,15,2,3162.078
34,3,16,2,3043.307
34,3,17,2,2800.590
34,3,18,2,2450.948
34,3,19,2,2445.241
34,3,20,2,2598.677
34,3,21,2,2732.813
34,3,22,2,2800.488
34,3,23,2,2836.410
34,3,24,2,2862.615
34,3,1,3,1648.678
34,3,2,3,1653.888
34,3,3,3,1636.213
34,3,4,3,1630.011
34,3,5,3,1621.502
34,3,6,3,1618.776
34,3,7,3,1635.119
34,3,8,3,1727.611
34,3,9,3,1791.418
34,3,10,3,1806.304
34,3,11,3,1844.050
34,3,12,3,1868.745
34,3,13,3,1871.551
34,3,14,3,1864.114
34,3,15,3,1814.873
34,3,16,3,1752.611
34,3,17,3,1598.126
34,3,18,3,1457.603
34,3,19,3,1514.992
34,3,20,3,1577.585
34,3,21,3,1623.964
34,3,22,3,1633.343
34,3,23,3,1652.416
34,3,24,3,1655.574
34,3,1,4,3429.445
34,3,2,4,3421.363
34,3,3,4,3420.395
34,3,4,4,3419.964
34,3,5,4,3424.934
34,3,6,4,3426.173
34,3,7,4,3459.582
34,3,8,4,3615.833
34,3,9,4,3947.817
34,3,10,4,4018.622
34,3,11,4,4056.183
34,3,12,4,4079.694
34,3,13,4,4086.124
34,3,14,4,4080.957
34,3,15,4,4001.562
34,3,16,4,3808.280
34,3,17,4,3601.619
34,3,18,4,3392.313
34,3,19,4,3445.399
34,3,20,4,3446.792
34,3,21,4,3449.196
34,3,22,4,3438.296
34,3,23,4,3443.669
34,3,24,4,3427.461
34,4,1,1,1675.590
34,4,2,1,1688.647
34,4,3,1,1685.344
34,4,4,1,1681.940
34,4,5,1,1672.699
34,4,6,1,1710.054
34,4,7,1,1798.210
34,4,8,1,1941.885
34,4,9,1,2079.882
34,4,10,1,2139.345
34,4,11,1,2144.933
34,4,12,1,2152.034
34,4,13,1,2161.844
34,4,14,1,2149.180
34,4,15,1,2124.484
34,4,16,1,2112.556
34,4,17,1,1968.713
34,4,18,1,1801.619
34,4,19,1,1719.382
34,4,20,1,1633.644
34,4,21,1,1636.319
34,4,22,1,1621.046
34,4,23,1,1643.136
34,4,24,1,1672.402
34,4,1,2,1829.460
34,4,2,2,1884.874
34,4,3,2,1887.739
34,4,4,2,1886.802
34,4,5,2,1985.298
34,4,6,2,1910.822
34,4,7,2,1800.350
34,4,8,2,2545.081
34,4,9,2,3108.517
34,4,10,2,3263.303
34,4,11,2,3409.513
34,4,12,2,3491.781
34,4,13,2,3515.711
34,4,14,2,3507.622
34,4,15,2,3414.342
34,4,16,2,3267.989
34,4,17,2,2537.895
34,4,18,2,1629.806
34,4,19,2,1278.206
34,4,20,2,1481.587
34,4,21,2,1674.888
34,4,22,2,1768.173
34,4,23,2,1799.143
34,4,24,2,1810.511
34,4,1,3,1365.293
34,4,2,3,1369.474
34,4,3,3,1365.541
34,4,4,3,1370.791
34,4,5,3,1378.405
34,4,6,3,1427.620
34,4,7,3,1481.415
34,4,8,3,1647.336
34,4,9,3,1796.279
34,4,10,3,1903.003
34,4,11,3,1961.136
34,4,12,3,2016.661
34,4,13,3,2032.315
34,4,14,3,1991.493
34,4,15,3,1903.779
34,4,16,3,1758.833
34,4,17,3,1534.502
34,4,18,3,1262.689
34,4,19,3,1268.326
34,4,20,3,1398.247
34,4,21,3,1398.966
34,4,22,3,1386.512
34,4,23,3,1389.648
34,4,24,3,1377.232
34,4,1,4,3083.776
34,4,2,4,3070.215
34,4,3,4,3040.594
34,4,4,4,3026.929
34,4,5,4,2995.494
34,4,6,4,3024.046
34,4,7,4,3194.682
34,4,8,4,3448.221
34,4,9,4,3883.187
34,4,10,4,4106.526
34,4,11,4,4212.761
34,4,12,4,4224.813
34,4,13,4,4227.190
34,4,14,4,4196.767
34,4,15,4,4101.228
34,4,16,4,3849.260
34,4,17,4,3508.327
34,4,18,4,3280.721
34,4,19,4,3147.444
34,4,20,4,3126.683
34,4,21,4,3117.824
34,4,22,4,3078.087
34,4,23,4,3073.349
34,4,24,4,3069.369
34,5,1,1,1035.569
34,5,2,1,1034.892
34,5,3,1,1019.345
34,5,4,1,1011.052
34,5,5,1,1005.710
34,5,6,1,1026.425
34,5,7,1,1035.220
34,5,8,1,1045.325
