! Note: From IDM team MECS 2018 calculations
! Unit: Annual mmMT of hydrogen supplied. ICR is Census Region 1-4 in normal order
Composite Table:
subindustry                 icr      h_chem_feed_supply_reg
industrial_gases            1        0
industrial_gases            2        0.044523
industrial_gases            3        1.00919
industrial_gases            4        0.133569
other_inorganics            1        0.029682
other_inorganics            2        0
other_inorganics            3        0.0964665
other_inorganics            4        0.0074205
petrochemicals              1        0
petrochemicals              2        0
petrochemicals              3        0
petrochemicals              4        0
other_organics              1        0
other_organics              2        0
other_organics              3        0.541697
other_organics              4        0.0074205
resins                      1        0.0074205
resins                      2        0
resins                      3        0.541697
resins                      4        0
agricultural_chemicals      1        0
agricultural_chemicals      2        0.704948
agricultural_chemicals      3        1.68445
agricultural_chemicals      4        0.0074205
;
