! Note: Sourced from H2A. discounted over lifetime with financials factored in
! Unit: $/kg of H2 produced
Composite Table:
regNERC    prodTech    base_PUCCostElectrolyzer
TRE        PEM         14.1871
FRCC       PEM         14.1871
MISW       PEM         14.1871
MISC       PEM         14.1871
MISE       PEM         14.1871
MISS       PEM         14.1871
ISNE       PEM         14.1871
NYCW       PEM         14.1871
NYUP       PEM         14.1871
PJME       PEM         14.1871
PJMW       PEM         14.1871
PJMC       PEM         14.1871
PJMD       PEM         14.1871
SRCA       PEM         14.1871
SRSE       PEM         14.1871
SRCE       PEM         14.1871
SPPS       PEM         14.1871
SPPC       PEM         14.1871
SPPN       PEM         14.1871
SRSG       PEM         14.1871
CANO       PEM         14.1871
CASO       PEM         14.1871
NWPP       PEM         14.1871
RMRG       PEM         14.1871
BASN       PEM         14.1871
;
