! Note: Sourced from H2A. discounted over lifetime with financials factored in
! Unit: $/kg H2
Composite Table:
regCen           prodTech         base_PUCCostNonElectrolyzer
NewEngland       SMR              2.86032
NewEngland       SMR_CCS          7.1003
NewEngland       SMR_CCS_OFF      2.86032
NewEngland       ATR_CCS          5.60945
MidAtlantic      SMR              2.86032
MidAtlantic      SMR_CCS          7.1003
MidAtlantic      SMR_CCS_OFF      2.86032
MidAtlantic      ATR_CCS          5.60945
ENCentral        SMR              2.86032
ENCentral        SMR_CCS          7.1003
ENCentral        SMR_CCS_OFF      2.86032
ENCentral        ATR_CCS          5.60945
WNCentral        SMR              2.86032
WNCentral        SMR_CCS          7.1003
WNCentral        SMR_CCS_OFF      2.86032
WNCentral        ATR_CCS          5.60945
SAtlantic        SMR              2.86032
SAtlantic        SMR_CCS          7.1003
SAtlantic        SMR_CCS_OFF      2.86032
SAtlantic        ATR_CCS          5.60945
ESCentral        SMR              2.86032
ESCentral        SMR_CCS          7.1003
ESCentral        SMR_CCS_OFF      2.86032
ESCentral        ATR_CCS          5.60945
WSCentral        SMR              2.86032
WSCentral        SMR_CCS          7.1003
WSCentral        SMR_CCS_OFF      2.86032
WSCentral        ATR_CCS          5.60945
Mountain         SMR              2.86032
Mountain         SMR_CCS          7.1003
Mountain         SMR_CCS_OFF      2.86032
Mountain         ATR_CCS          5.60945
Pacific          SMR              2.86032
Pacific          SMR_CCS          7.1003
Pacific          SMR_CCS_OFF      2.86032
Pacific          ATR_CCS          5.60945
;
