! Note: Sourced from H2A. Variable OM less energy
! Unit: $/kg of H2 produced
Composite Table:
seas    regCen           prodTech         base_VarOM_NonElectrolyzer
1       NewEngland       SMR              0.0256
1       NewEngland       SMR_CCS          0.0597
1       NewEngland       SMR_CCS_OFF      0.0256
1       NewEngland       ATR_CCS          0.0434
2       NewEngland       SMR              0.0256
2       NewEngland       SMR_CCS          0.0597
2       NewEngland       SMR_CCS_OFF      0.0256
2       NewEngland       ATR_CCS          0.0434
3       NewEngland       SMR              0.0256
3       NewEngland       SMR_CCS          0.0597
3       NewEngland       SMR_CCS_OFF      0.0256
3       NewEngland       ATR_CCS          0.0434
4       NewEngland       SMR              0.0256
4       NewEngland       SMR_CCS          0.0597
4       NewEngland       SMR_CCS_OFF      0.0256
4       NewEngland       ATR_CCS          0.0434
1       MidAtlantic      SMR              0.0256
1       MidAtlantic      SMR_CCS          0.0597
1       MidAtlantic      SMR_CCS_OFF      0.0256
1       MidAtlantic      ATR_CCS          0.0434
2       MidAtlantic      SMR              0.0256
2       MidAtlantic      SMR_CCS          0.0597
2       MidAtlantic      SMR_CCS_OFF      0.0256
2       MidAtlantic      ATR_CCS          0.0434
3       MidAtlantic      SMR              0.0256
3       MidAtlantic      SMR_CCS          0.0597
3       MidAtlantic      SMR_CCS_OFF      0.0256
3       MidAtlantic      ATR_CCS          0.0434
4       MidAtlantic      SMR              0.0256
4       MidAtlantic      SMR_CCS          0.0597
4       MidAtlantic      SMR_CCS_OFF      0.0256
4       MidAtlantic      ATR_CCS          0.0434
1       ENCentral        SMR              0.0256
1       ENCentral        SMR_CCS          0.0597
1       ENCentral        SMR_CCS_OFF      0.0256
1       ENCentral        ATR_CCS          0.0434
2       ENCentral        SMR              0.0256
2       ENCentral        SMR_CCS          0.0597
2       ENCentral        SMR_CCS_OFF      0.0256
2       ENCentral        ATR_CCS          0.0434
3       ENCentral        SMR              0.0256
3       ENCentral        SMR_CCS          0.0597
3       ENCentral        SMR_CCS_OFF      0.0256
3       ENCentral        ATR_CCS          0.0434
4       ENCentral        SMR              0.0256
4       ENCentral        SMR_CCS          0.0597
4       ENCentral        SMR_CCS_OFF      0.0256
4       ENCentral        ATR_CCS          0.0434
1       WNCentral        SMR              0.0256
1       WNCentral        SMR_CCS          0.0597
1       WNCentral        SMR_CCS_OFF      0.0256
1       WNCentral        ATR_CCS          0.0434
2       WNCentral        SMR              0.0256
2       WNCentral        SMR_CCS          0.0597
2       WNCentral        SMR_CCS_OFF      0.0256
2       WNCentral        ATR_CCS          0.0434
3       WNCentral        SMR              0.0256
3       WNCentral        SMR_CCS          0.0597
3       WNCentral        SMR_CCS_OFF      0.0256
3       WNCentral        ATR_CCS          0.0434
4       WNCentral        SMR              0.0256
4       WNCentral        SMR_CCS          0.0597
4       WNCentral        SMR_CCS_OFF      0.0256
4       WNCentral        ATR_CCS          0.0434
1       SAtlantic        SMR              0.0256
1       SAtlantic        SMR_CCS          0.0597
1       SAtlantic        SMR_CCS_OFF      0.0256
1       SAtlantic        ATR_CCS          0.0434
2       SAtlantic        SMR              0.0256
2       SAtlantic        SMR_CCS          0.0597
2       SAtlantic        SMR_CCS_OFF      0.0256
2       SAtlantic        ATR_CCS          0.0434
3       SAtlantic        SMR              0.0256
3       SAtlantic        SMR_CCS          0.0597
3       SAtlantic        SMR_CCS_OFF      0.0256
3       SAtlantic        ATR_CCS          0.0434
4       SAtlantic        SMR              0.0256
4       SAtlantic        SMR_CCS          0.0597
4       SAtlantic        SMR_CCS_OFF      0.0256
4       SAtlantic        ATR_CCS          0.0434
1       ESCentral        SMR              0.0256
1       ESCentral        SMR_CCS          0.0597
1       ESCentral        SMR_CCS_OFF      0.0256
1       ESCentral        ATR_CCS          0.0434
2       ESCentral        SMR              0.0256
2       ESCentral        SMR_CCS          0.0597
2       ESCentral        SMR_CCS_OFF      0.0256
2       ESCentral        ATR_CCS          0.0434
3       ESCentral        SMR              0.0256
3       ESCentral        SMR_CCS          0.0597
3       ESCentral        SMR_CCS_OFF      0.0256
3       ESCentral        ATR_CCS          0.0434
4       ESCentral        SMR              0.0256
4       ESCentral        SMR_CCS          0.0597
4       ESCentral        SMR_CCS_OFF      0.0256
4       ESCentral        ATR_CCS          0.0434
1       WSCentral        SMR              0.0256
1       WSCentral        SMR_CCS          0.0597
1       WSCentral        SMR_CCS_OFF      0.0256
1       WSCentral        ATR_CCS          0.0434
2       WSCentral        SMR              0.0256
2       WSCentral        SMR_CCS          0.0597
2       WSCentral        SMR_CCS_OFF      0.0256
2       WSCentral        ATR_CCS          0.0434
3       WSCentral        SMR              0.0256
3       WSCentral        SMR_CCS          0.0597
3       WSCentral        SMR_CCS_OFF      0.0256
3       WSCentral        ATR_CCS          0.0434
4       WSCentral        SMR              0.0256
4       WSCentral        SMR_CCS          0.0597
4       WSCentral        SMR_CCS_OFF      0.0256
4       WSCentral        ATR_CCS          0.0434
1       Mountain         SMR              0.0256
1       Mountain         SMR_CCS          0.0597
1       Mountain         SMR_CCS_OFF      0.0256
1       Mountain         ATR_CCS          0.0434
2       Mountain         SMR              0.0256
2       Mountain         SMR_CCS          0.0597
2       Mountain         SMR_CCS_OFF      0.0256
2       Mountain         ATR_CCS          0.0434
3       Mountain         SMR              0.0256
3       Mountain         SMR_CCS          0.0597
3       Mountain         SMR_CCS_OFF      0.0256
3       Mountain         ATR_CCS          0.0434
4       Mountain         SMR              0.0256
4       Mountain         SMR_CCS          0.0597
4       Mountain         SMR_CCS_OFF      0.0256
4       Mountain         ATR_CCS          0.0434
1       Pacific          SMR              0.0256
1       Pacific          SMR_CCS          0.0597
1       Pacific          SMR_CCS_OFF      0.0256
1       Pacific          ATR_CCS          0.0434
2       Pacific          SMR              0.0256
2       Pacific          SMR_CCS          0.0597
2       Pacific          SMR_CCS_OFF      0.0256
2       Pacific          ATR_CCS          0.0434
3       Pacific          SMR              0.0256
3       Pacific          SMR_CCS          0.0597
3       Pacific          SMR_CCS_OFF      0.0256
3       Pacific          ATR_CCS          0.0434
4       Pacific          SMR              0.0256
4       Pacific          SMR_CCS          0.0597
4       Pacific          SMR_CCS_OFF      0.0256
4       Pacific          ATR_CCS          0.0434
;
