notes,,,
ak_region_number,region_number,oil_resources,gas_resources
1,11,700000000,0
1,11,350000000,0
1,11,350000000,0
1,11,180000000,0
1,11,180000000,0
1,11,180000000,0
1,11,90000000,0
1,11,90000000,0
1,11,90000000,0
1,11,90000000,0
1,11,45000000,0
1,11,45000000,0
1,11,45000000,0
1,11,45000000,0
1,11,25000000,0
1,11,25000000,0
1,11,25000000,0
1,11,25000000,0
1,11,12000000,0
1,11,12000000,0
2,12,350000000,0
2,12,350000000,0
2,12,180000000,0
2,12,180000000,0
2,12,180000000,0
2,12,180000000,0
2,12,180000000,0
2,12,90000000,0
2,12,90000000,0
2,12,90000000,0
2,12,90000000,0
2,12,90000000,0
2,12,90000000,0
2,12,45000000,0
2,12,45000000,0
2,12,45000000,0
2,12,45000000,0
2,12,45000000,0
2,12,45000000,0
2,12,45000000,0
3,13,65000000,0
3,13,38000000,0
3,13,21000000,0
3,13,21000000,0
1,11,0,8260000000
1,11,0,6330000000
1,11,0,670000000
1,11,0,370000000
1,11,0,260000000
1,11,0,230000000
1,11,0,190000000
2,12,0,2283000000
2,12,0,800000000
2,12,0,624000000
2,12,0,488000000
2,12,0,395000000
2,12,0,387000000
2,12,0,342000000
2,12,0,309000000
2,12,0,248000000
2,12,0,105000000
3,13,0,200000000
3,13,0,200000000
3,13,0,200000000
3,13,0,200000000
3,13,0,200000000
3,13,0,200000000
