year,region,gas_type,baseline_prod
2005,Alberta,Shale,0.0
2006,Alberta,Shale,0.0
2007,Alberta,Shale,0.0
2008,Alberta,Shale,0.0
2009,Alberta,Shale,0.0
2010,Alberta,Shale,0.0
2011,Alberta,Shale,0.0
2012,Alberta,Shale,3.65
2013,Alberta,Shale,10.95
2014,Alberta,Shale,25.55
2015,Alberta,Shale,47.45
2016,Alberta,Shale,91.25
2017,Alberta,Shale,105.85
2018,Alberta,Shale,124.10000000000001
2019,Alberta,Shale,153.29999999999998
2020,Alberta,Shale,160.6
2021,Alberta,Shale,167.9
2022,Alberta,Shale,211.7
2023,Alberta,Shale,222.65
2024,Alberta,Shale,215.35
2025,Alberta,Shale,177.59369265822468
2026,Alberta,Shale,133.1215784010152
2027,Alberta,Shale,101.7721373317143
2028,Alberta,Shale,83.64182683144004
2029,Alberta,Shale,64.00666305775476
2030,Alberta,Shale,56.81312854241762
2031,Alberta,Shale,48.842509466213514
2032,Alberta,Shale,41.39991022318573
2033,Alberta,Shale,38.2624050352421
2034,Alberta,Shale,35.58681046049206
2035,Alberta,Shale,32.71916852800743
2036,Alberta,Shale,33.09541800451767
2037,Alberta,Shale,33.213945248421666
2038,Alberta,Shale,33.193804865647536
2039,Alberta,Shale,33.04611926261408
2040,Alberta,Shale,29.19480466685978
2041,Alberta,Shale,25.408774790261926
2042,Alberta,Shale,18.046954795044645
2043,Alberta,Shale,17.933881406473876
2044,Alberta,Shale,14.084215652118662
2045,Alberta,Shale,13.876861838138144
2046,Alberta,Shale,13.765047069088427
2047,Alberta,Shale,13.776298574658526
2048,Alberta,Shale,13.885680077041782
2049,Alberta,Shale,14.132396330294862
2050,Alberta,Shale,18.19499841782061
2005,Alberta,Coalbed Methane,105.85
2006,Alberta,Coalbed Methane,204.4
2007,Alberta,Coalbed Methane,262.8
2008,Alberta,Coalbed Methane,284.7
2009,Alberta,Coalbed Methane,299.29999999999995
2010,Alberta,Coalbed Methane,324.85
2011,Alberta,Coalbed Methane,317.55
2012,Alberta,Coalbed Methane,299.29999999999995
2013,Alberta,Coalbed Methane,288.35
2014,Alberta,Coalbed Methane,277.4
