year,region,gas_type,wells
2005,Alberta,Shale,0.0
2006,Alberta,Shale,0.0
2007,Alberta,Shale,0.0
2008,Alberta,Shale,0.0
2009,Alberta,Shale,0.0
2010,Alberta,Shale,1.0
2011,Alberta,Shale,9.0
2012,Alberta,Shale,41.0
2013,Alberta,Shale,79.0
2014,Alberta,Shale,111.0
2015,Alberta,Shale,117.0
2016,Alberta,Shale,105.0
2017,Alberta,Shale,122.0
2018,Alberta,Shale,138.0
2019,Alberta,Shale,102.0
2020,Alberta,Shale,58.0
2021,Alberta,Shale,148.23
2022,Alberta,Shale,197.0
2023,Alberta,Shale,103.37
2024,Alberta,Shale,103.31
2025,Alberta,Shale,106.32
2026,Alberta,Shale,105.2
2027,Alberta,Shale,101.08
2028,Alberta,Shale,101.0
2029,Alberta,Shale,99.75
2030,Alberta,Shale,95.97
2031,Alberta,Shale,95.84
2032,Alberta,Shale,97.99
2033,Alberta,Shale,98.44
2034,Alberta,Shale,100.25
2035,Alberta,Shale,102.92
2036,Alberta,Shale,106.07
2037,Alberta,Shale,109.03
2038,Alberta,Shale,112.09
2039,Alberta,Shale,115.23
2040,Alberta,Shale,118.26
2041,Alberta,Shale,121.09
2042,Alberta,Shale,123.97
2043,Alberta,Shale,127.12
2044,Alberta,Shale,130.27
2045,Alberta,Shale,133.29
2046,Alberta,Shale,136.11
2047,Alberta,Shale,138.89
2048,Alberta,Shale,141.66
2049,Alberta,Shale,144.25
2050,Alberta,Shale,146.76
2005,Alberta,Coalbed Methane,4646.0
2006,Alberta,Coalbed Methane,2967.0
2007,Alberta,Coalbed Methane,2521.0
2008,Alberta,Coalbed Methane,2188.0
2009,Alberta,Coalbed Methane,1048.0
2010,Alberta,Coalbed Methane,1139.0
2011,Alberta,Coalbed Methane,663.0
2012,Alberta,Coalbed Methane,183.0
2013,Alberta,Coalbed Methane,192.0
2014,Alberta,Coalbed Methane,215.0
2015,Alberta,Coalbed Methane,54.0
2016,Alberta,Coalbed Methane,18.0
2017,Alberta,Coalbed Methane,22.0
2018,Alberta,Coalbed Methane,20.0
2019,Alberta,Coalbed Methane,21.0
2020,Alberta,Coalbed Methane,22.0
