NOTES:,,,,,,,,,,,,,,,,
US2,P12,EE2,AP2,P22,2A2,2B2,2C2,P32,3A2,3B2,3C2,3D2,3E2,P42,P52,year
1559,25,0,0,289,0,0,0,1046,0,0,0,0,0,121,78,1990
1659,24,0,0,313,0,0,0,1096,0,0,0,0,0,135,91,1991
1697,26,0,0,315,0,0,0,1126,0,0,0,0,0,129,102,1992
1736,28,6,21,313,18,12,282,1162,621,120,239,21,161,133,101,1993
1727,26,5,21,313,16,12,285,1158,615,117,238,23,166,132,97,1994
1762,26,4,22,302,18,11,273,1188,608,128,265,24,162,139,107,1995
1830,21,4,17,308,17,10,280,1226,617,137,265,24,184,158,117,1996
1817,26,4,22,299,18,11,270,1241,605,130,280,23,204,153,97,1997
1759,26,4,22,287,16,11,259,1219,605,128,267,17,203,140,87,1998
1850,26,4,21,288,16,12,261,1286,591,149,329,16,201,168,82,1999
1911,26,4,22,270,14,12,244,1323,589,170,343,14,207,209,83,2000
1868,26,3,22,308,58,12,238,1245,565,127,328,12,212,211,78,2001
1880,23,2,20,306,66,12,229,1260,575,131,336,10,208,215,75,2002
1719,18,2,15,288,69,12,208,1131,538,110,263,10,210,206,76,2003
1809,18,2,16,308,78,12,218,1192,575,118,287,11,200,212,79,2004
1717,17,1,16,298,74,13,211,1123,582,109,230,12,189,202,77,2005
1739,22,1,21,301,73,14,215,1149,605,108,233,14,189,200,66,2006
1783,20,0,20,305,73,14,219,1178,625,97,258,16,182,216,64,2007
1784,18,0,18,311,67,14,230,1126,637,91,206,18,174,262,66,2008
1910,20,0,20,335,77,16,242,1179,669,89,226,17,178,311,65,2009
2074,27,0,27,384,84,20,281,1253,730,92,242,16,173,350,60,2010
2216,36,0,36,422,87,25,310,1314,806,109,212,17,170,385,59,2011
2408,45,0,45,446,85,40,320,1476,958,135,200,18,165,379,61,2012
2606,87,0,87,471,84,57,330,1663,1132,168,182,21,160,320,65,2013
3015,194,0,194,592,134,104,354,1834,1256,200,190,24,165,332,62,2014
3342,278,0,277,703,174,169,360,1956,1346,224,189,27,168,340,66,2015
3509,361,0,360,779,192,204,383,1942,1356,198,183,34,171,364,63,2016
3783,427,0,427,841,193,223,425,2058,1464,188,189,32,185,391,66,2017
4369,497,0,497,980,186,266,528,2400,1779,174,188,30,230,429,63,2018
4825,552,0,551,1030,175,299,556,2752,2132,165,195,22,239,436,55,2019
5175,613,0,613,1004,167,311,526,3006,2392,147,166,18,284,493,58,2020
5425,635,0,635,1066,160,375,531,3133,2494,142,175,15,307,529,62,2021
5933,633,0,633,1103,165,400,538,3596,2897,160,168,14,357,531,69,2022
6499,697,0,696,1177,185,433,559,4013,3246,165,174,12,415,549,63,2023
