NOTES:,,,,,,,,,,,,,,,,
US2,P12,EE2,AP2,P22,2A2,2B2,2C2,P32,3A2,3B2,3C2,3D2,3E2,P42,P52,year
151,1,0,0,21,0,0,0,116,0,0,0,0,0,8,6,1990
169,1,0,0,23,0,0,0,122,0,0,0,0,0,10,12,1991
189,1,0,0,23,0,0,0,140,0,0,0,0,0,11,13,1992
192,1,0,1,23,2,0,20,144,33,76,25,2,9,10,14,1993
195,1,0,1,20,2,0,18,151,32,83,24,2,10,10,13,1994
185,1,0,1,19,2,0,17,140,32,71,25,2,10,10,14,1995
192,1,0,1,23,2,0,21,142,32,73,25,2,9,10,16,1996
191,1,0,1,21,2,0,19,139,31,69,26,2,10,10,20,1997
181,1,0,1,17,2,0,16,136,32,67,25,2,10,10,17,1998
187,1,0,1,17,2,0,16,143,31,70,29,2,10,11,15,1999
188,1,0,1,17,2,0,16,145,32,72,30,1,10,12,13,2000
198,1,0,1,22,3,0,19,150,34,74,31,1,11,11,14,2001
201,1,0,1,19,4,0,15,157,36,76,31,1,13,11,13,2002
183,1,0,1,20,4,0,16,138,36,65,25,1,12,10,14,2003
168,2,0,2,18,5,0,13,122,38,47,25,1,11,11,16,2004
168,2,0,2,19,4,0,15,121,38,52,20,1,10,10,17,2005
163,2,0,2,19,4,0,15,117,36,52,19,1,10,9,16,2006
176,2,0,2,20,5,0,15,129,37,61,20,1,9,9,17,2007
173,2,0,2,22,6,0,16,121,38,56,16,2,9,11,17,2008
188,2,0,2,23,7,1,15,135,39,68,17,2,9,12,17,2009
187,2,0,2,24,6,1,17,135,42,65,18,1,9,13,13,2010
211,4,0,4,29,7,1,21,148,46,76,15,1,9,14,15,2011
225,6,0,6,29,6,2,22,160,57,79,14,1,9,15,15,2012
246,7,0,7,34,9,3,22,175,70,82,13,2,8,16,13,2013
268,11,0,11,43,12,5,26,184,79,81,14,2,8,18,11,2014
301,14,0,14,48,18,8,22,205,90,89,14,3,9,22,11,2015
343,18,0,18,54,16,9,29,235,85,122,13,3,12,24,11,2016
352,21,0,21,53,16,9,27,240,92,120,12,3,13,25,13,2017
387,24,0,24,59,16,12,31,264,106,128,12,2,15,27,13,2018
418,27,0,27,62,17,15,31,286,124,130,13,2,17,32,11,2019
430,29,0,29,63,14,18,32,296,145,120,11,2,19,33,9,2020
415,30,0,30,62,14,19,29,283,139,112,11,2,20,32,8,2021
428,30,0,30,65,15,19,31,293,135,127,10,2,19,32,8,2022
440,31,0,31,62,12,21,30,306,147,127,10,1,20,34,6,2023
