NOTES:,,,,,,,,,,,,,,,,
US2,P12,EE2,AP2,P22,2A2,2B2,2C2,P32,3A2,3B2,3C2,3D2,3E2,P42,P52,year
149,4,0,0,38,0,0,0,72,0,0,0,0,0,17,18,1990
150,3,0,0,37,0,0,0,70,0,0,0,0,0,20,19,1991
137,4,0,0,36,0,0,0,58,0,0,0,0,0,16,23,1992
142,4,1,3,37,3,4,31,60,78,-59,19,4,17,16,25,1993
136,4,1,3,40,2,3,34,54,77,-67,23,4,17,16,23,1994
151,4,1,3,39,2,3,34,68,74,-52,25,4,17,18,23,1995
150,3,1,2,34,2,3,29,69,74,-54,26,4,19,18,26,1996
144,4,1,3,35,2,3,30,72,72,-51,27,4,20,17,15,1997
148,4,1,3,35,2,3,30,78,71,-44,28,3,20,19,13,1998
155,4,1,3,33,2,3,27,86,68,-36,32,3,20,20,13,1999
160,4,1,3,30,2,3,25,88,67,-34,33,3,20,23,15,2000
133,4,1,3,29,5,3,20,63,62,-55,34,2,20,24,12,2001
131,3,1,3,33,5,3,24,59,61,-56,34,2,18,25,11,2002
129,3,1,2,30,6,3,21,61,57,-46,30,2,19,24,12,2003
152,3,0,3,34,6,3,24,80,58,-28,30,2,18,25,11,2004
134,3,0,3,30,6,4,21,67,59,-35,25,2,17,24,10,2005
136,4,0,4,30,5,4,21,71,64,-36,24,2,17,24,7,2006
128,4,0,4,29,4,4,22,64,66,-47,25,2,17,26,5,2007
134,3,0,3,29,3,3,22,65,67,-41,20,3,16,31,6,2008
136,4,0,4,36,4,4,28,57,69,-54,24,3,16,34,5,2009
155,5,0,5,40,4,5,32,66,74,-51,25,2,16,37,7,2010
157,5,0,5,45,3,6,35,62,82,-59,21,3,15,40,6,2011
179,6,0,6,48,6,10,32,78,98,-57,19,3,15,41,6,2012
219,15,0,15,55,5,14,37,98,115,-53,18,3,15,42,9,2013
277,24,0,24,72,14,22,37,124,130,-46,19,4,17,46,10,2014
333,36,0,36,96,19,30,47,137,144,-50,21,4,18,52,12,2015
293,37,0,37,97,20,35,42,95,142,-90,20,5,18,54,11,2016
315,43,0,42,103,17,37,48,105,154,-91,21,3,18,54,11,2017
365,49,0,49,117,16,46,55,130,184,-100,21,3,22,58,10,2018
432,61,0,61,131,18,54,60,167,220,-101,22,3,24,63,9,2019
462,70,0,70,121,15,55,52,188,234,-96,19,2,28,70,13,2020
507,71,0,71,124,13,60,52,221,257,-91,20,2,33,75,15,2021
560,66,0,66,128,13,61,54,273,313,-103,19,2,42,73,19,2022
623,71,0,71,146,19,69,57,313,351,-103,20,2,44,75,18,2023
