NOTES:,,,,,,,,,,,,,,,,
US2,P12,EE2,AP2,P22,2A2,2B2,2C2,P32,3A2,3B2,3C2,3D2,3E2,P42,P52,year
477,7,0,0,77,0,0,0,364,0,0,0,0,0,28,0,1990
530,7,0,0,94,0,0,0,394,0,0,0,0,0,35,0,1991
541,7,0,0,97,0,0,0,404,0,0,0,0,0,33,0,1992
556,8,2,7,94,2,0,91,421,213,51,87,3,67,33,0,1993
559,8,2,7,94,2,0,92,420,216,51,82,3,68,36,0,1994
573,8,2,7,87,2,0,85,441,219,57,94,4,67,36,0,1995
627,8,2,6,96,3,0,93,468,229,65,89,3,82,55,0,1996
637,8,2,6,91,4,0,88,485,228,61,98,3,95,53,0,1997
607,8,1,7,94,4,0,91,467,227,53,89,2,95,38,0,1998
675,8,2,6,103,4,0,99,505,229,60,121,2,93,59,0,1999
717,7,1,6,95,3,0,92,530,232,70,128,2,97,85,0,2000
692,7,1,6,113,28,0,84,487,219,56,110,2,100,85,0,2001
700,5,1,5,110,32,0,78,497,225,58,116,1,97,87,0,2002
625,3,1,2,108,37,0,71,432,204,44,84,1,99,83,0,2003
686,1,0,0,121,40,0,81,479,229,51,100,3,95,86,0,2004
649,0,0,0,116,37,0,79,450,229,48,79,3,91,82,0,2005
676,1,0,1,120,38,0,82,473,241,49,89,4,90,82,0,2006
709,0,0,0,127,39,0,88,491,252,45,103,5,86,90,0,2007
701,0,0,0,124,33,0,92,464,255,39,82,6,83,112,0,2008
769,0,0,0,131,35,0,95,493,278,40,86,5,84,144,0,2009
869,0,0,0,160,45,0,115,543,315,42,99,5,82,165,0,2010
926,1,0,1,169,46,0,123,570,346,50,89,5,80,186,0,2011
974,0,0,0,163,38,0,125,638,410,61,86,5,77,173,0,2012
970,3,0,3,147,28,1,117,709,483,73,76,5,73,111,0,2013
1091,58,0,58,174,38,11,126,755,519,85,78,5,68,103,0,2014
1130,85,0,85,192,43,39,110,772,533,94,73,5,66,81,0,2015
1273,149,0,149,235,59,55,120,798,562,93,70,8,65,91,0,2016
1426,180,0,180,278,67,59,151,855,605,92,75,11,71,114,0,2017
1713,214,0,214,345,62,64,219,1021,757,81,75,11,96,133,0,2018
1829,215,0,215,338,49,61,227,1165,918,70,74,6,97,111,0,2019
2016,233,0,233,342,58,61,223,1301,1046,67,64,5,119,140,0,2020
2149,245,0,245,394,57,100,237,1350,1086,71,71,3,118,161,0,2021
2406,258,0,258,404,60,121,223,1576,1285,81,66,3,141,167,0,2022
2652,290,0,290,418,69,114,235,1779,1441,84,70,2,182,165,0,2023
