NOTES:,,,,,,,,,,,,,,,,
US2,P12,EE2,AP2,P22,2A2,2B2,2C2,P32,3A2,3B2,3C2,3D2,3E2,P42,P52,year
474,10,0,0,107,0,0,0,304,0,0,0,0,0,42,10,1990
487,10,0,0,113,0,0,0,312,0,0,0,0,0,43,10,1991
499,10,0,0,113,0,0,0,323,0,0,0,0,0,42,10,1992
513,10,2,8,113,7,6,100,336,188,29,67,6,47,43,10,1993
510,10,2,8,113,7,5,101,335,182,29,67,7,49,43,9,1994
519,10,1,9,111,7,5,99,340,179,32,75,7,47,48,10,1995
525,7,1,6,111,7,5,100,346,178,33,76,7,52,49,11,1996
528,10,1,9,109,7,5,97,349,174,31,80,7,56,47,12,1997
513,10,1,9,100,6,5,90,344,173,33,78,5,56,47,11,1998
529,10,1,9,98,5,6,87,358,168,35,95,4,56,51,12,1999
539,10,1,9,91,4,6,81,366,165,41,100,4,56,60,12,2000
538,10,1,9,102,18,6,79,354,159,34,100,3,58,61,11,2001
549,10,1,9,104,20,6,77,361,163,34,104,3,57,61,12,2002
506,8,1,8,97,19,5,73,328,154,31,82,3,57,59,13,2003
526,9,1,9,102,23,6,73,341,162,33,89,3,54,60,13,2004
499,9,0,9,100,23,6,71,320,165,30,71,3,51,57,13,2005
501,11,0,11,99,22,7,70,323,170,29,70,4,51,56,13,2006
507,11,0,10,96,21,7,68,330,176,25,75,4,49,58,13,2007
512,10,0,10,101,21,7,73,318,180,24,61,5,47,70,13,2008
546,11,0,11,110,25,9,76,334,187,23,72,4,49,78,13,2009
586,15,0,15,121,25,11,86,350,201,24,74,4,47,87,12,2010
631,19,0,19,135,27,13,95,369,226,29,62,4,47,96,11,2011
712,25,0,25,156,30,22,104,419,274,37,57,4,47,100,12,2012
823,48,0,48,178,36,30,113,482,328,49,53,5,46,101,14,2013
985,78,0,78,230,59,50,120,551,380,61,57,6,48,113,13,2014
1144,110,0,110,277,77,69,132,616,426,69,60,8,53,128,12,2015
1166,121,0,120,299,81,79,139,600,419,55,59,10,56,136,11,2016
1236,142,0,142,311,79,85,147,633,454,51,60,8,60,139,10,2017
1401,163,0,163,348,78,104,166,732,544,50,60,7,72,148,10,2018
1589,194,0,194,375,78,121,177,848,651,51,65,6,76,162,9,2019
1682,219,0,219,360,69,127,164,917,725,43,56,5,87,178,9,2020
1744,226,0,226,365,66,139,159,959,760,39,56,5,99,186,8,2021
1871,218,0,218,379,68,143,168,1082,868,42,55,4,113,184,8,2022
2021,233,0,233,408,73,163,172,1183,958,42,58,4,121,189,7,2023
