NOTES:,,,,,,,,,,,,,,,,
US2,P12,EE2,AP2,P22,2A2,2B2,2C2,P32,3A2,3B2,3C2,3D2,3E2,P42,P52,year
309,4,0,0,46,0,0,0,191,0,0,0,0,0,25,43,1990
324,3,0,0,47,0,0,0,197,0,0,0,0,0,27,50,1991
332,4,0,0,46,0,0,0,200,0,0,0,0,0,28,54,1992
334,4,1,2,46,3,3,39,201,110,23,42,6,21,31,52,1993
326,3,0,2,46,3,3,40,199,108,20,43,7,21,27,52,1994
335,3,0,2,46,4,3,39,198,104,21,46,7,21,27,60,1995
336,2,0,2,44,3,3,38,200,104,20,47,7,22,26,64,1996
318,3,0,2,42,3,3,36,197,100,19,48,7,23,26,50,1997
309,3,0,2,39,3,3,33,195,102,19,47,6,22,26,46,1998
303,3,0,2,37,3,3,31,194,95,19,52,5,23,27,42,1999
306,3,0,3,36,3,3,30,195,94,21,53,4,23,30,42,2000
307,3,0,3,42,3,3,36,190,91,18,53,4,24,30,41,2001
300,3,0,3,41,4,3,34,187,90,19,51,3,23,31,39,2002
275,2,0,2,33,4,3,27,172,87,16,43,3,23,30,38,2003
277,3,0,3,34,4,3,27,171,88,16,43,3,22,31,39,2004
266,3,0,3,33,4,3,26,163,91,14,35,3,20,30,37,2005
263,4,0,4,34,4,3,27,165,95,14,32,3,21,30,30,2006
263,4,0,4,33,4,3,26,165,95,13,35,3,20,32,29,2007
264,3,0,3,35,4,3,28,158,96,13,26,4,19,38,30,2008
271,3,0,3,36,5,3,28,159,97,12,28,4,19,42,30,2009
277,5,0,5,39,4,4,31,159,99,12,27,3,18,47,27,2010
291,6,0,6,44,5,5,34,165,107,13,24,3,19,49,27,2011
317,8,0,8,50,5,7,38,181,121,15,23,5,18,51,28,2012
347,14,0,14,57,6,10,41,198,135,17,22,6,18,50,29,2013
394,22,0,22,73,11,16,46,220,148,19,22,7,24,52,28,2014
434,32,0,32,89,17,22,50,225,153,21,22,7,22,57,30,2015
434,36,0,36,95,16,27,52,215,148,17,21,8,20,59,30,2016
453,41,0,41,97,14,31,51,225,159,16,21,7,22,59,31,2017
504,46,0,46,112,14,40,58,254,188,16,19,7,24,62,30,2018
557,55,0,55,122,13,48,60,286,219,15,20,6,26,68,25,2019
584,63,0,63,117,11,51,55,304,241,12,16,5,30,72,28,2020
609,64,0,64,120,10,56,54,320,251,12,17,4,36,75,30,2021
609,64,0,64,120,10,56,54,320,251,12,17,4,36,75,30,2022
609,64,0,64,120,10,56,54,320,251,12,17,4,36,75,30,2023
