notes,,,,,,,,,,,,,
year,oilprc1,oilprc2,oilprc3,oilprc4,oilprc5,oilprc6,oilprc7,oilprc8,oilprc9,oilprc10,oilprc11,oilprc12,oilprc13
1990,23.11,23.96,22.88,22.38,21.64,20.88,21.84,0,22.45,16.91,0,15.23,21.16
1991,19.9,20.6,19.52,19.08,18.21,16.05,18.6,0,19.47,12.34,0,11.57,15.36
1992,19.03,19.65,18.53,18.35,17.31,15.82,17.7,0,18.4,11.72,0,11.73,15.56
1993,16.97,17.49,16.17,16.22,15.46,14.11,15.17,0,16.21,10.05,0,10.84,14.11
1994,15.69,16.26,14.99,15.03,14.49,14.15,13.85,0,14.81,10.06,0,9.77,13.87
1995,16.75,17.93,16.38,16.43,16.1,16.32,15.35,0,16.23,11.5,0,11.12,15.28
1996,20.46,22.15,20.41,20.38,20,19.48,19.28,0,20.08,14.51,0,15.32,18.43
1997,18.59,20.33,18.8,18.71,17.98,18.56,17.45,0,18.66,13.76,0,14.84,17.43
1998,12.5,13.26,12.43,12.29,11.44,11.22,11.38,0,12.06,7.79,0,8.47,11.55
1999,16.99,18.71,17.44,17.32,16.85,16.33,16.65,0,16.7,12.52,0,12.46,17.44
2000,27.84,30.79,28.64,28.63,27.56,28.7,28.07,0,27.64,23.84,0,23.62,28.23
2001,23.15,25.66,24.08,23.46,22.61,23.12,23.43,0,23.33,18.99,0,18.18,23.3
2002,23.48,25.94,23.99,23.83,23.05,25.03,23.66,0,23.53,19.99,0,19.37,24.47
2003,28.76,32.17,29.16,29.2,28.01,30.32,29.03,0,28.77,25.01,0,23.78,28.48
2004,38.59,42.36,39.42,38.87,37.18,39.63,38.95,0,37.16,33.04,0,33.03,38.76
2005,52.39,55.96,53.76,52.65,49.69,54.31,52.48,0,49.87,44.8,0,47.05,54.19
2006,60.97,65.54,61.91,61.38,57.29,66.29,56.6,0,60.87,54.83,0,56.86,64.1
2007,66.68,73.93,68.07,68.41,61.63,75.15,64.97,0,67.5,61.51,0,63.69,69.6
2008,94.56,103.22,94.57,96.75,87.74,104.14,89.08,0,99.14,87.45,0,90.1,95.04
2009,55.98,61.23,55.75,57.35,51.99,64.39,53.5,0,58.24,54.53,0,54.41,56.11
2010,72.87,81.04,74.24,76.13,69.62,85.76,70.24,0,77.08,71.58,0,72.33,74.51
2011,89.29,100.57,90.25,91.81,85.01,117.43,88.71,0,105.66,98.52,0,98.79,102.5
2012,89.44,97.95,89.9,91.71,83.13,120.16,83.95,0,105.95,100.06,0,98.7,104.1
2013,93.16,99.07,93.93,95.12,87.26,119.61,90.09,0,103.33,96.22,0,95.79,102.53
2014,84.86,89.02,88.23,86.35,81.21,107.06,82.72,0,93.34,85.6,0,86.41,92.14
2015,39.64,45.79,44.54,44.84,40.73,52.41,41.36,0,47.68,41.88,0,41.11,45.63
2016,37.5,40.01,39.13,39.32,37.15,43.32,36.45,0,38.66,37.96,0,33.13,37.96
2017,46.41,49.27,47.92,48.45,46.23,56.46,46.93,0,48.48,49.54,0,45.21,49.54
2018,60.39,61.19,62.26,59.2,59.25,78.07,60.17,0,65.98,68.12,0,62.21,68.12
2019,52.01,56.03,54.3,54.63,50.87,71.26,52.5,0,59.46,62.98,0,57.55,62.98
2020,33.36,37.64,36.9,37.1,32.79,46,35.52,0,37.97,40.21,0,33.98,40.21
2021,61.52,67.33,65.66,66.88,64.76,80.6,63.09,0,65.44,68.33,0,62.2,68.33
2022,88.66,95.82,93.35,94.8,90.25,114.45,91.48,0,93.14,96.51,0,93.56,96.51
2023,70.25,77.46,75.31,76.76,73.21,89.13,73.12,0,77.08,78.03,0,73.94,78.03
