Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category,type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Thermal,Steam,444137,449073,454009,434905,415801,417575,419349,429179.5,439010,428342.5,417675,391696,365717,352985,340253,313460.5,286668.1,280930,275192,274320,273448,278820,284192,274534,264876,248822.9,232769.8,215800,215800,215800,215800,215800,215800,215800
Thermal,Cumbustion in situ,6090,5396,4702,3611,2520,3502.5,4485,4622.5,4760,3770.5,2781,2582.5,2384,2142.5,1901,7580.5,13260,15142.5,17025,16946.5,16868,17419.5,17971,17971,17971,18104.7,18238.4,14000,14000,14000,14000,14000,14000,14000
Thermal,Hot water,3985,2982.5,1980,1115,250,250,250,1225,2200,1253,306,1833,3360,3360,3360,3865,4370,3073,1776,1726,1676,1676,1676,1676,1676,1915.5,2155.1,4500,4500,4500,4500,4500,4500,4500
Chemical,Micellar-polymer,617,435.5,254,159,64,32,0,0,0,0,0,0,0,0,0,0,0,0,0,35,70,35,0,0,0,0,0,0,0,0,0,0,0,0
Chemical,Polymer,11219,6579.5,1940,1884,1828,983.5,139,139,139,868.5,1598,799,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.5,2709,1600,1600,1600,1600,1600,1600,1600
Chemical,Caustic/alkaline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical,Surfactant,20,10,0,0,0,0,0,0,0,30,60,60,60,60,60,30,0,0,0,0,0,0,0,0,0,35.9,71.7,0,0,0,0,0,0,0
Gas,Hydrocarbon,55386,84229,113072,106382.5,99693,97978,96263,99158,102053,113276.5,124500,109900,95300,96300,97300,96550,95800,88400,81000,81050,81100,81100,81100,104300,127500,114001.8,100503.5,150100,151000,151000,151000,151000,151000,151000
Gas,CO2 miscible,95591,120282,144973,153229.5,161486,166100.5,170715,174869.5,179024,184258.5,189493,188451.5,187410,196592.5,205775,220559.7,235344.3,237828.7,240313,256211,272109,267471,262833,264281,265729,279247.7,292766.4,297600,302513.4,307507.9,312584.8,317745.6,322991.6,328324.1
Gas,CO2 immiscible,95,95,95,47.5,0,0,0,0,0,33,66,66,66,84,102,1400,2698,6024,9350,9255,9160,15260,21360,27620,33880,27308.2,20736.4,12700,12700,12700,12700,12700,12700,12700
Gas,Nitrogen,22260,22420,22580,22815,23050,25533.5,28017,28067,28117,21408.5,14700,14700,14700,14700,14700,14700,14700,17200,19700,14350,9000,8500,8000,8000,8000,7627,7254,13000,13000,13000,13000,13000,13000,13000
Gas,Flue gas,17300,14150,11000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350,4700,0,0,0,0,0,0,0
Gas,Other,0,3150,6300,5350,4400,4375,4350,4350,4350,2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,Carbonated waterflood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,Microbial,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
