,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,4.223,4.535,7.49,9.112,10.068,13.268,12.597,10.764,9.658,8.419,7.517,4.714,4.795,3.388,3.021,3.733,3.666,3.322,3.248,3.459,4.097,4.625,7.017,8.191,7.475,7.474,7.594,7.909,6.683,5.033,4.281,3.976,2.726,2.537
2,13.333,13.777,16.263,11.678,13.099,15.648,12.153,6.054,1.217,0.916,0.639,0.947,0.746,0.598,0.871,0.809,0.35,0.319,0.303,0.289,0.254,0.208,0.162,0.125,0.1,0.103,0.588,0.525,0.716,0.581,0.137,0.061,0.062,0.066
3,310.809,310.169,348.508,345.578,474.435,396.702,402.756,388.462,388.517,384.283,375.746,383.906,335.398,300.35,199.254,177.847,125.308,103.122,83.203,68.01,61.269,49.492,41.862,38.364,36.311,36.141,34.078,35.249,30.836,26.502,27.509,25.239,28.114,25.341
4,0.063,0.061,0.059,0.048,0.023,0.015,0.026,0.029,0.019,0.003,0.001,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0
5,1.589,1.437,1.501,1.883,1.553,1.341,1.21,1.781,1.929,1.847,1.864,1.872,1.535,2.12,1.591,1.453,2.667,1.798,1.405,1.596,1.353,1.244,1.099,0.933,0.819,0.748,0.748,0.69,0.728,0.468,0.544,0.373,0.595,0.494
6,63.593,63.976,60.457,54.848,52.562,52.195,49.645,51.224,54.005,40.732,41.155,44.279,41.35,39.567,39.177,39.372,38.022,36.19,34.537,35.021,38.262,35.466,37.868,37.381,36.889,38.311,34.796,36.414,35.082,36.298,30.924,36.017,29.306,39.661
7,10.734,9.742,9.41,9.741,9.76,9.617,9.642,7.071,6.838,1.489,1.139,1.107,1.141,1.717,0.969,1.445,1.647,1.404,1.324,2.291,2.004,1.866,1.818,1.535,1.614,1.526,1.712,1.567,1.452,1.304,1.198,1.108,0.67,1.445
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
