,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,28.423,51.926,98.03,113.647,124.867,133.904,139.273,153.158,151.735,144.822,141.005,100.211,103.233,107.98,108.06,104.118,101.173,99.819,97.317,93.338,87.194,79.032,88.814,81.372,75.179,70.513,65.914,61.541,55.107,51.294,46.297,45.392,38.286,37.19
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.227,0.872,0.882,1.88,1.354,0.931,1.268,0.901,1.022,0.751,0.635,1.452,2.151,2.179,2.428,3.072,3.836,3.787,3.531,3.428,2.723,2.396,2.229,1.965,1.727,1.53,1.401,1.266,1.141,0.96,0.95,0.975,0.809,0.758
6,0.001,0.003,0.001,0.011,0.003,0.003,0.004,0.002,0.002,0.001,0.001,0.003,0.003,0.003,0.001,0.001,0.002,0.003,0.003,0.001,0,0,0.006,0.003,0.003,0.002,0.001,0.002,0.002,0.001,0.001,0.001,0.002,0
7,23.851,44.598,74.683,120.232,173.495,221.637,266.117,322.073,375.355,397.422,406.308,431.074,479.026,503.871,508.603,506.57,489.601,466.073,472.659,498.467,495.307,487.889,479.398,431.535,409.946,386.282,360.01,347.991,346.619,319.103,280.7,277.269,228.068,221.144
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.826,1.875,2.587,2.748,2.705,2.527,2.368,2.549,2.66,2.435,2.233,2.92,4.743,9.097,12.439,17.248,25.493,38.325,45.99,45.067,39.748,38.09,34.211,30.504,26.533,24.669,21.625,19.742,17.341,15.597,13.459,12.447,10.326,9.648
19,0,0,0,0,0,0,0,0,0.009,0.033,0.021,0.011,0.015,0.027,0.021,0.001,0.017,0.038,0,0,0,0.014,0.002,0.002,0,0,0,0,0,0,0,0,0,0
20,0.385,0.31,0.296,0.276,0.243,0.201,0.22,0.184,0.389,0.235,0.185,0.187,0.18,0.133,0.136,0.146,0.256,0.585,0.933,0.718,0.644,0.645,0.526,0.364,0.178,0.118,0.075,0.043,0.044,0.05,0.047,0.038,0.037,0.078
