stsub,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,30.152,33.03,68.613,62.373,65.828,63.447,63.973,80.375,66.19,59.409,50.536,31.71,28.397,25.098,24.27,21.569,19.06,18.938,19.753,17.54,18.329,19.039,20.618,18.66,16.963,17.401,15.304,13.932,15.328,15.275,13.268,13.058,9.459,8.36
2,6.53,9.964,21.227,27.846,30.384,32.245,39.082,49.498,48.427,48.304,48.949,28.567,26.015,21.971,17.127,15.901,14.271,11.525,10.912,10.212,8.461,6.773,6.959,6.398,4.96,4.457,3.193,2.881,1.908,1.361,2.854,3.033,2.867,2.626
3,30.572,23.232,19.868,16.378,22.724,17.739,16.685,16.45,15.968,18.287,28.311,29.091,73.864,139.229,226.039,267.172,282.463,295.3,283.561,300.897,287.253,281.032,284.257,276.159,287.777,287.839,279.133,287.547,288.228,281.082,287.961,290.278,320.247,318.901
4,2.062,0.736,0.437,0.492,0.717,0.501,0.387,0.333,0.315,0.274,0.231,0.196,0.212,0.289,0.211,0.146,0.525,0.59,0.456,0.657,0.154,0.107,0.087,0.071,0.098,0.093,0.047,0.056,0.042,0.066,0.066,0.066,0,0
5,166.332,156.832,193.576,186.415,178.362,176.953,196.111,185.689,168.045,156.76,160.593,155.652,151.954,159.688,177.742,179.122,238.483,173.145,168.175,156.808,146.748,127.341,111.872,102.217,92.48,81.634,73.842,70.092,65.214,58.32,60.047,63.075,57.591,56.27
6,173.574,192.365,183.621,149.338,141.752,117.579,112.886,98.869,98.623,104.525,99.626,103.322,100.758,96.592,87.702,92.331,94.987,94.705,92.692,86.47,98.385,76.101,66.617,56.393,45.558,41.205,34.036,34.013,33.483,32.876,24.923,27.272,28.096,34.835
7,16.831,17.272,18.657,19.384,18.627,20.455,24.941,27.202,24.655,23.062,20.252,18.369,28.721,39.028,33.117,29.085,26.788,23.129,27.944,24.502,22.311,21.686,23.224,19.294,18.971,16.521,14.563,12.856,12.052,12.21,11.489,12.457,8.338,20.267
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.002,0.238,0.063,0.126,0.186,0.384,0.174,0.397,0.062,0.098,0.256,0.443,0.051,0.071,0.066,0.179,0.38,0.177,0.438,0.056,11.162,14.074,0.7,0.266,0.249,0.5,0.475,0.472,0.546,0.532,0.448,0.431,0.656,0.382
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.596,0.366,0.247,0.254,0.253,0.258,0.234,0.031,0.139,0.14,0.147,0.15,0.133,0.126,0.121,0.12,0.123,1.346,1.151,1.412,1.357,1.078,2.125,2.887,1.882,2.038,2.141,2.089,2.425,2.112,1.815,1.815,1.974,2.554
16,0.399,0.232,0.174,0.192,0.107,0.249,0.36,0.526,0.615,0.855,0.899,1.064,1.309,1.464,3.401,3.135,2.921,3.606,4.701,4.927,6.802,9.075,8.814,7.938,6.616,7.25,6.205,5.914,5.054,5.044,4.197,4.197,3.836,3.826
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,503.672,548.673,575.29,604.823,628.085,638.614,630.876,615.711,528.445,478.099,456.574,415.81,387.966,351.96,324.299,302.079,290.334,277.172,277.509,261.401,239.369,225.833,222.448,228.969,227.134,229.186,192.544,169.439,154.096,141.81,127.034,127.659,115.182,107.468
19,73.434,76.723,77.348,84.714,34.695,34.542,34.297,24.547,22.769,21.187,21.964,19.445,19.352,19.301,21.273,20.133,19.742,17.355,19.598,15.751,18.021,15.6,11.76,11.6,16.542,11.329,9.149,10.224,15.04,13.206,10.424,0,24.611,0
20,184.018,163.062,145.672,143.874,149.591,143.019,130.206,113.576,127.137,150.662,140.373595,159.9714209,140.7747122,145.9061593,148.857914,164.2260335,161.906991,170.2400424,162.8157122,145.598256,146.8588911,184.1056674,147.8039248,111.6619307,96.60291401,75.58478826,65.9870513,93.39654683,126.4125992,165.320462,238.6897452,176.3430299,149.558903,105.959
21,672.915,655.683,624.958,665.26,692.532,661.618,542.476,440.002,561.033,646.195,591.87,696.057,595.461,565.837,572.53,511.124,511.054,483.819,438.493,366.888,307.934,296.474,283.509,308.665,275.722,234.749,178.559,166.889,151.312,128.115,86.256,78.524,90.241,73.78
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0.033,0.028,0.026,0.022,0.135,0.118,0.063,0.018,0.034,0.032,0.022,0.048,0.034,0.046,0.048,0.035,0.028,0.043,0.043,0.034,0.044,0.032,0.02,0.038,0.034,0.032,0.013,0.013,0.01,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,117.191,130.921,119.045,111.308,111.21,101.592,92.867,94.5,83.625,81.481,82.083,77.591,74.255,63.693,66.501,61.469,60.487,53.702,30.382,27.424,22.899,23.969,21.543,22.481,19.499,16.958,15.158,15.225,12.232,11.894,7.336,8.974,7.583,8.512
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,58.413,66.115,57.353,51.622,44.902,70.6,78.599,82.403,85.08,85.308,62.781,76.538,78.26,101.934,41.673,32.969,39.685,51.644,73.217,57.441,44.664,56.526,50.29,45.429,41.288,42.939,37.299,29.371,27.33,24.85,22.035,22.18,22.65,21.902
