Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,24,18,12,4,4,7,9,15,13,10,26,10,10,15,8,9,14,7,7,5,8,3,0,2,7,0,5,0,2,2,0,1,4,2,3
2,0,2,1,0,0,1,0,1,0,3,0,2,1,1,0,2,0,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
3,7,3,12,3,4,7,4,8,7,11,9,16,16,27,38,22,21,27,23,32,21,17,15,29,40,34,28,18,12,9,25,21,34,20,23
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0
5,288,237,235,247,243,235,235,238,230,189,248,330,269,418,529,517,543,447,368,220,160,76,64,36,29,19,5,10,11,14,7,23,32,16,3
6,126,132,128,112,138,64,86,207,102,172,121,172,113,85,137,164,208,189,182,110,121,96,36,26,23,11,16,26,61,44,33,14,58,102,63
7,9,31,66,42,26,49,28,19,37,44,19,37,51,74,69,25,33,201,302,158,250,194,227,50,13,6,7,5,19,3,5,2,0,6,14
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9,2,7,8,5,0,6,7,5,2,11,9,1,8,2,6,3,3,13,3,0,1,0,0,0,1,0,1,1,0,1,0,0,0,
16,27,14,24,24,13,27,79,49,38,14,7,38,14,93,52,29,33,41,25,30,19,11,16,14,18,14,6,6,7,1,2,4,3,0,
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,904,640,514,508,775,729,589,634,377,262,382,460,277,345,348,483,501,379,508,332,325,298,318,387,551,280,117,68,81,78,45,49,119,61,48
19,121,138,128,109,754,160,142,65,346,210,184,173,203,192,243,190,347,441,244,171,149,148,72,59,15,69,40,42,53,11,19,15,13,13,13
