,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,9.946,10.071,11.128,11.449,11.356,12.053,11.019,9.89,8.284,7.153,6.5,5.648,5.186,4.658,4.566,5.199,5.291,5.165,5.692,5.299,5.49,6.839,7.963,8.66,8.024,8.004,6.9,5.754,4.973,4.118,3.633,3.597,3.126,2.912
2,8.585,8.561,7.892,7.223,6.973,6.662,5.803,4.892,4.067,3.929,3.819,3.492,3.164,2.862,2.58,2.445,2.117,1.885,1.894,1.807,1.588,1.459,1.377,1.322,1.196,1.055,0.8,0.808,0.712,0.6,0.551,0.592,0.603,0.58
3,638.257,643.149,614.094,565.479,556.12,528.906,498.373,462.634,419.11,374.088,346.099,341.922,349.673,346.874,325.291,309.184,265.029,258.768,245.673,233.036,215.695,201.502,188.947,183.736,176.24,171.12,174.94,176.572,170.43,165.905,160.194,156.942,157.039,153.215
4,0.1,0.098,0.088,0.071,0.062,0.064,0.077,0.074,0.072,0.063,0.057,0.059,0.061,0.046,0.053,0.049,0.054,0.042,0.053,0.045,0.036,0.036,0.051,0.06,0.056,0.037,0.008,0.013,0.01,0.007,0.005,0.006,0,0
5,7.999,7.959,7.878,7.771,7.615,7.08,6.543,6.326,6.111,5.604,6.002,6.549,6.345,6.275,5.671,5.196,5.055,5.053,5.055,4.808,4.7,6.236,4.599,4.568,4.689,4.368,4.05,4.038,3.925,3.839,3.297,3.389,3.523,3.446
6,235.844,237.138,219.972,206.378,196.024,183.649,192.315,200.335,204.961,202.488,204.5,196.605,194.336,188.09,182.307,174.285,168.675,166.132,164.587,160.587,155.077,152.196,154.193,155.041,161.43,164.906,156.814,146.416,135.343,133.075,120.04,114.699,104.072,100.962
7,20.782,21.159,18.928,17.133,15.792,15.777,14.259,14.144,12.189,9.771,9.354,7.878,8.869,8.508,8.139,8.083,7.897,7.794,7.459,6.878,6.791,6.789,6.757,7.176,7.515,6.612,6.094,5.531,5.486,5.079,4.624,4.272,4.124,3.902
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5.675,4.725,5.425,5.604,6.093,5.693,6.292,6.381,5.971,4.895,4.626,4.426,3.634,3.263,2.904,2.585,2.36,2.078,1.953,0.696,1.777,2.023,2.135,2.174,2.227,2.208,1.934,1.923,1.839,1.937,1.488,1.49,1.214,1.022
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,19.954,19.068,19.303,17.406,17.148,16.19,15.575,16.115,13.732,12.065,12.206,10.092,11.1,11.697,10.984,10.207,10.324,9.609,9.43,9.099,9.067,9.158,9.733,9.539,9.546,9.52,8.639,8.313,8.42,8.243,7.15,7.057,6.925,6.892
16,3,3.014,3.016,2.761,2.492,2.778,2.523,2.43,2.208,1.964,2.098,2.022,1.962,1.865,1.755,1.727,1.773,1.727,1.859,1.803,1.835,1.987,2.35,2.399,2.507,2.219,1.817,1.779,1.684,1.579,1.402,1.523,1.689,1.53
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,46.371,47.725,44.943,41.905,39.506,36.915,35.034,33.419,29.868,24.422,29.023,28.693,28.15,28.847,28.75,28.562,30.839,32.075,35.117,35.177,36.436,37.573,39.823,42.939,45.797,42.037,34.858,32.871,31.896,30.547,25.909,25.55,25.816,25.362
19,0,0,0,0,3.77,3.304,3.473,2.808,2.758,2.629,3.322,2.866,2.576,2.362,2.358,2.287,2.115,2.451,2.295,2.165,2.133,2.039,2.63,1.986,2,1.913,2.087,2.157,1.801,1.703,1.619,1.839,1.824,0
20,20.492,20.115,19.847,18.445,15.99,14.848,14.736,14.081,12.907,11.121,9.773,9.359,8.591,8.193,7.99,8.123,8.129,7.945,7.948,7.783,7.633,8.7,9.522,10.082,9.823,9.509,9.041,8.917,8.621,8.005,6.385,6.068,5.843,5.511
21,92.879,90.875,89.213,86.598,78.559,75.465,82.373,79.494,75.726,71.261,65.854,67.148,61.654,58.371,55.427,51.661,50.979,52.423,48.784,46.84,45.756,45.927,46.507,46.505,44.278,39.95,34.954,31.009,29.046,27.222,21.62,21.058,22.513,20.979
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,19.548,17.475,15.544,13.694,12.08,11.253,10.72,9.894,8.843,7.686,7.768,7.24,7.067,6.288,5.764,5.529,5.622,5.494,6.157,6.062,6.808,6.874,7.288,7.644,7.299,6.431,5.51,5.437,5.39,5.108,4.089,4.515,4.5,4.775
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,17.431,17.866,17.253,15.616,14.165,14.022,13.631,14.837,16.304,13.42,14.504,14.496,13.898,13.384,12.762,10.893,10.114,12.095,13.399,14.578,15.66,16.139,16.798,16.755,16.598,16.03,13.615,11.973,11.356,11.417,9.668,9.344,8.933,8.934
28,0.04,0.033,0.028,0.037,0.031,0.042,0.074,0.051,0.038,0.038,0.037,0.029,0.026,0.026,0.024,0.018,0.014,0.014,0.007,0.008,0.008,0.018,0.012,0.012,0.015,0.036,0.018,0.01,0.008,0.006,0.006,0.008,0.009,0.007
29,0.143,0.145,0.138,0.13,0.118,0.115,0.111,0.11,0.09,0.09,0.093,0.091,0.093,0.087,0.088,0.086,0.087,0.08,0.099,0.106,0.146,0.118,0.175,0.199,0.195,0.149,0.123,0.116,0.096,0.085,0,0,0,0
