Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,38,22,25,11,31,28,8,13,8,6,9,9,6,6,17,55,23,21,21,16,27,35,36,33,34,18,8,10,7,3,2,0,0,1,4
2,1,1,5,5,6,2,2,1,1,0,2,1,0,0,2,9,1,1,1,0,1,1,0,0,1,2,0,0,1,0,0,1,0,0,1
3,101,132,102,125,134,122,164,139,165,89,107,130,120,110,107,71,71,68,78,75,66,66,63,67,71,82,69,51,39,69,33,18,45,68,67
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22,26,17,20,53,28,17,18,3,8,374,277,31,25,47,32,62,46,51,37,12,25,20,40,35,20,6,14,9,12,5,8,18,11,2
6,2026,1723,859,1054,933,1240,1627,2295,2230,1400,1915,1841,1646,1699,1888,1870,2172,1889,2488,1513,1892,2089,2354,2485,2552,1995,876,863,1650,1518,962,1283,733,682,955
7,57,73,58,74,26,39,24,18,6,65,15,10,15,13,15,63,77,21,21,20,29,29,32,59,59,22,9,15,16,14,14,5,1,3,2
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,1,2,6,2,1,2,5,3,0,9,0,2,5,2,3,0,0,1,0,1,3,2,3,2,0,0,3,0,1,3,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,413,368,364,256,282,256,282,325,200,152,247,290,240,229,191,240,276,228,318,186,240,354,430,372,383,227,83,107,150,130,36,66,82,65,
16,50,66,62,44,30,46,55,51,25,22,31,46,43,50,57,68,74,65,94,78,54,66,76,100,119,30,19,23,35,31,17,44,20,21,
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1930,839,763,529,551,401,507,685,271,236,356,393,395,362,440,1166,915,872,1069,925,1051,1221,1483,1543,1563,797,478,511,456,387,211,328,459,325,209
19,86,65,47,41,1501,247,224,73,465,392,1125,453,378,192,500,320,399,600,600,428,424,614,254,453,551,340,169,285,220,161,83,129,140,140,140
20,279,263,255,195,161,158,128,126,49,26,67,61,46,56,104,126,182,140,222,176,148,228,376,449,437,219,104,117,133,97,44,41,74,55,65
21,225,229,217,154,126,130,117,168,89,68,127,137,90,126,123,110,152,144,147,80,133,199,250,192,189,81,42,45,67,56,36,38,42,37,34
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,31,23,14,17,17,12,18,30,12,12,6,21,31,6,12,25,21,37,68,25,44,34,50,37,28,13,9,14,13,13,8,14,21,12,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,109,85,82,83,74,90,87,103,66,52,109,87,30,47,56,60,82,128,111,99,155,182,270,149,134,72,34,32,89,51,14,59,57,50,27
28,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2,0,0,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0
29,0,19,13,4,0,2,8,0,1,3,7,0,0,2,0,1,7,2,91,13,2,33,57,10,0,3,0,0,1,0,0,0,0,0,0
30,116,142,97,107,105,103,98,137,138,127,168,149,82,105,67,104,101,101,91,84,69,49,77,98,73,41,20,23,38,45,31,26,19,18,13
