Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,558,115,55,41,36,52,33,24,28,36,37,32,32,37,41,44,61,49,43,65,64,61,52,51,97,32,10,23,14,9,8,8,11,3,5
2,3,2,2,3,4,2,1,6,1,2,1,0,2,4,5,3,4,0,2,4,7,10,2,0,3,0,0,0,2,0,1,0,0,0,0
3,20,41,43,40,34,15,40,43,41,21,43,57,61,53,119,88,70,81,83,86,142,105,128,115,138,135,96,110,100,62,38,27,35,10,31
4,1,0,1,2,4,6,1,10,0,2,0,2,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,113,77,81,75,61,84,80,129,67,28,4,3,3,13,30,53,163,198,206,188,171,128,130,123,151,94,10,19,28,15,8,11,20,17,12
6,313,214,154,232,146,166,237,303,314,220,195,260,130,118,134,264,197,342,356,131,185,258,257,219,174,106,35,39,63,3,9,5,4,3,3
7,531,446,436,486,446,338,234,262,322,448,640,811,699,779,813,458,446,433,374,241,176,215,159,156,121,58,54,52,63,29,14,10,2,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
