,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
1,0,4125,5414,5802,5140,4830,4868,5033,4968,4604,4287,4149,3915,3884,4301,4120,3965,3911,3994,3290,2871,2629,2475,2228,1597,2036,2182,1791,1510,1262,1387,1493,1261.834,1219.849,1219.849,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,8939,9300,9553,9638,9907,9733,9497,9294,10562,9927,9734,9237,8800,8468,8285,8407,8171,10245,11917,7699,9101,8838,9424,9579,7316,6745,4566,3316,6574,8811,9297,36176,103913.216,125130.873,125130.873,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1772,1731,1669,1750,1552,1607,1563,1470,1475,1328,1542,1581,1616,1650,1663,1835,1964,2269,3305,5626,10869,14178,16370,11035,13518,12789,8339,7416,8267,6740,5834,4981,5892.539,5973.278,5973.278,
6,3143,2993,2945,2715,2618,2341,2184,2033,2217,2200,2311,2758,2596,2499,2367,2548,3138,2704,2658,2349,2716,2581,2852,1933,1812,2031,1775,1252,1514,1391,1225,1022,1248.846,902.529,902.529,
7,4274,4555,5767,6198,6722,6753,7256,7710,6828,7881,8987,10428,12527,13888,15436,14743,16596,17149,21851,23302,23058,24119,24821,20666,22381,20851,17139,17761,26573,24114,22332,18653,25350.177,21335.498,21335.498,
8,83,70,75,92,94,65,69,67,43,38,66,42,82,99,134,110,131,138,239,270,349,350,379,222,179,176,123,112,163,91,50,42,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,46,45,38,47,50,98,92,96,96,88,84,82,84,91,79,78,77,45,108,1,7,56,6,16,15,0,0,1,0,0,0,0,0,0,0,
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.002,1.905,3.002,15
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.596,30.522,19.596,16
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,10091,9614,9358,9681,9348,9156,8571,7694,6989,6402,5753,5299,5101,4983,4819,4652,4314,3931,3982,3557,3279,3673,3486,3308,3592,4359,3183,2821,2654,2449,2125,1989,2261.274,2970.444,2970.444,
19,992,1016,1155,1084,1003,969,1044,983,1364,1222,1435,1760,1860,1907,1889,1880,2151,2227,2469,2714,2782,2613,2006,1408,1663,1611,1362,1123,1136,1324,1275,1158,1308.278,1328.006,1328.006,
20,2652,2588,2384,2311,2325,2537,2788,3105,3093,2898,3079,3298,3881,4245,5074,5770,6695,6715,6344,7876,17143,26030,27337,18418,17044,19722,13593,15620,33805,32251,34863,35958,45192.484,35922.025,35922.025,
