,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,173,166,153,159,144,135,115,112,106,89,99,80,74,80,79,74,85,60,63,52,53,60,65,69,58,79,79,57,54,60,48,39,26.306,17.508,17.508
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6674,6524,6083,6022,5775,5767,5580,5274,5161,5052,4900,4861,4851,4678,4446,4327,4171,3879,4163,3507,3566,3722,3852,3352,2898,2857,2104,1574,2016,2421,2680,2425,3858.812,3328.378,3328.378
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,67,62,72,60,67,54,51,60,49,49,50,50,45,50,51,52,41,39,32,31,29,42,40,55,41,67,53,41,38,33,33,29,21.374,20.47,20.47
6,4378,4242,3957,3661,3544,3354,3264,3259,3572,3689,3738,3617,3449,3436,3279,3190,3232,3189,3113,2568,2671,2772,2809,2778,2667,2658,2181,1770,2062,2107,2035,1377,1518.947,1125.838,1125.838
7,377,322,345,337,308,309,282,264,218,237,229,245,243,281,287,328,348,370,411,392,376,501,555,760,1171,1451,1413,1309,1593,1711,1557,1169,1506.453,1301.59,1301.59
8,41,44,47,31,36,21,22,18,19,14,17,17,22,16,18,17,28,29,41,35,45,63,76,109,134,178,201,212,277,131,102,89,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,50,42,37,36,40,71,71,97,91,71,85,76,75,73,68,65,59,38,32,3,9,19,22,24,38,70,16,14,20,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,123,131,128,138,116,117,119,94,92,81,100,111,92,107,125,92,95,89,101,54,66,64,54,51,42,34,31,36,38,0,0,0,35.482,44.908,35.482
16,16,12,16,17,15,15,13,11,10,13,10,15,12,15,19,11,16,12,17,15,8,8,7,13,8,8,8,4,5,0,0,0,10.691,12.27,10.691
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,340,323,302,312,273,262,277,268,246,249,178,240,218,239,246,249,287,268,210,249,264,302,350,382,390,451,365,390,323,330,313,277,189.582,245.322,245.322
19,34,34,31,34,27,26,25,22,21,24,24,24,17,28,26,28,24,26,25,21,24,16,22,13,22,21,11,10,9,9,8,4,6.405,8.768,8.768
20,143,140,148,144,127,129,132,152,166,124,133,123,114,94,85,79,94,97,107,87,81,131,136,138,159,166,135,103,130,113,92,73,68.364,59.58,59.58
21,675,617,583,568,515,514,523,509,561,491,526,469,482,442,396,370,364,377,397,341,343,342,328,370,396,405,335,333,323,299,298,267,334.054,298.031,298.031
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,146,139,137,118,103,102,83,79,73,52,58,59,48,66,79,57,65,69,60,52,52,55,59,71,67,55,44,56,59,43,49,40,33.955,28.2,28.2
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,227,235,201,171,141,157,145,169,187,146,170,188,175,185,174,183,194,192,206,255,252,254,245,276,235,241,176,134,124,137,117,93,123.394,85.264,85.264
