,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.031,0.048,0.063,0.087,0.018,0.02,0.003,0.008,0.011,0.01,0.004,0.004,0.003,0.001,0.002,0.004,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.342,2.085,2.657,2.495,3.074,5.232,20.369,17.558,15.211,8.79,6.982,6.234,4.825,4.29,3.917,5.62,23.686,90.013,272.171,516.669,772.188,936.415,1023.303,1026.682,1019.008,918.799,741.488,618.059,518.994,461.384,416.443,413.663,354.619,329.764
6,0,0,0,0,0,0.54,0.479,0.404,0,0.254,0.235,0.195,0.104,0.052,0.035,0.025,0.025,0.17,0.223,0.24,0.164,0.12,0.108,0.06,0.036,0.033,0.046,0.035,0.064,0.072,0.069,0.053,0.068,0.084
7,15.955,18.439,15.059,15.498,15.448,15.936,14.546,13.558,12.31,12.327,13.006,13.566,12.834,13.948,16.578,18.863,22.362,16.227,12.202,13.438,13.088,15.66,23.075,19.503,21.76,25.565,23.591,19.718,20.042,16.506,13.867,13.804,12.638,11.066
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.296,0.171,0.251,0.177,0.134,0.104,0.097,0.159,0.541,0.471,0.385,0.268,0.289,0.454,0.351,0.243,0.216,0.184,0.164,0.126,0.095,0.083,0.077,0.074,0.079,0.067,0.056,0.063,0.061,0.055,0.049,0.052,0.049,0.044
19,0,0,0,0,33.925,34.914,42.355,51.589,54.016,50.94,56.07,56.971,63.051,63.17,66.851,67.587,70.356,72.487,87.049,89.033,104.927,96.926,82.31,72.002,64.523,73.438,74.086,69.414,58.4,54.215,51.352,0,49.192,0
20,10.917,14.788,14.516,19.532,17.468,22.186,20.476,20.498,50.131,25.286,19.06154438,22.67394719,17.07631322,14.33998821,13.87336259,14.18621212,13.16751228,12.78742403,34.5890105,384.8043614,1200.597717,2040.125279,2078.061958,1493.153539,1161.471281,1044.491281,1060.10021,1409.830747,2119.885834,2514.978607,2559.629655,2689.751982,3553.763786,3922.597
21,73.053,67.343,59.493,60.757,45.489,37.782,32.31,27.508,67.226,49.559,48.919,71.308,60.286,60.938,48.845,56.792,73.663,61.8,52.398,44.722,32.861,23.95,23.802,23.138,17.658,19.967,24.574,26.559,25.1,22.879,19.015,14.89,17.494,4.958
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,22.502,34.907,49.056,70.447,90.021,115.977,132.507,188.919,175.753,178.869,197.369,183.099,185.465,161.132,180.599,186.656,189.657,199.073,113.447,118.708,100.1,105.663,98.93,92.08,87.567,83.466,80.174,74.744,70.954,67.061,54.432,52.211,57.965,56.882
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5.854,12.157,12.276,11.255,4.798,5.465,6.006,5.576,4.175,2.874,1.698,2.167,3.619,4.06,1.822,1.266,1.665,1.313,2.67,1.741,1.357,1.401,1.103,0.85,0.611,0.527,0.635,0.382,0.302,0.324,0.218,0.174,0.206,0.408
