,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.554,0.437,0.493,0.435,0.354,0.268,0.226,0.119,0.085,0.075,0.179,0.14,0.126,0.118,0.198,0.141,0.097,0.078,0.103,0.073,0.043,0.034,0.039,0.033,0.036,0.033,0.039,0.036,0.031,0.032,0.03,0.026,0.028,0.028
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.428,0.275,0.057,0.009,0.033,0.041,0.082,0.12,0.191,0.136,0.109,0.088,0.153,0.12,0.086,0.085,0.065,0.066,0.055,0.028,0.06,0.03,0,0.008,0,0,0,0,0,0,0,0,0
5,1.629,2.251,2.267,2.365,2.074,1.687,1.71,1.385,0.764,0.581,0.563,0.495,0.409,0.347,0.457,0.371,0.576,0.402,0.492,0.899,3.016,3.66,5.675,5.162,5.876,4.864,1.933,2.844,1.542,1.501,1.309,1.208,0.984,0.741
6,15.011,14.914,14.139,12.719,12.53,11.753,11.785,10.3,8.781,125.949,127.764,124.833,115.84,107.712,100.915,94.854,99.103,93.374,85.234,80.413,77.24,72.989,83.317,95.84,96.209,109.742,104.474,111.403,104.999,100.031,90.356,80.56,75.3775,36.366
7,155.652,172.069,178.602,206.568,202.861,218.743,223.657,228.74,243.086,257.395,277.277,315.564,374.639,409.145,470.583,528.033,609.902,679.767,797.344,865.565,931.58,978.229,1031.197,938.85,926.458,915.973,968.696,980.502,997.819,1109.169,1222.349,1263.18,1136.537,967.031
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,38.607,36.246,37.518,35.039,35.2,33.072,31.759,30.775,26.352,24.471,22.531,22.631,22.707,22.659,25.459,26.139,24.275,22.133,22.345,20.898,19.257,19.314,18.344,17.476,16.219,15.207,12.665,11.775,11.05,10.144,8.766,9.15,8.489,6.421
19,0,0,0,0,1.967,2.54,2.497,2.701,3.102,2.722,2.957,2.824,3.092,2.81,2.871,2.606,2.633,2.685,3.76,4.205,6.708,6.118,4.634,3.897,4.123,3.585,2.764,2.909,3.252,3.057,2.788,0,1.628,0
20,105.502,109.786,102.953,108.571,117.7,117.145,113.133,107.283,232.025,122.09,110.1918365,160.4644402,175.296369,211.2497296,255.3451311,308.7683248,346.6321002,372.62669,435.004419,377.7445265,298.616706,257.0732136,255.0576333,264.0132017,267.4046646,300.2610732,335.8974907,342.5621988,320.3389873,289.1650584,229.8440225,181.8317595,169.4616397,167.942
21,4.06,2.771,2.594,2.385,5.776,4.925,3.662,2.818,7.894,4.19,7.707,11.074,6.972,8.308,3.152,1.905,1.309,1.555,1.232,0.663,0.391,0.324,0.38,0.391,0.305,0.278,0.21,0.224,0.633,0.805,0.41,0.213,0.228,0.07
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4.664,4.429,3.687,2.723,2.065,1.807,1.254,1.245,0.924,0.741,0.699,0.596,0.55,0.517,0.512,0.426,0.408,0.363,0.195,0.149,0.166,0.185,0.163,0.14,0.053,0.051,0.042,0.024,0.022,0.019,0.018,0.005,0.004,0.13
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,11.69,11.502,8.091,6.782,5.942,8.012,7.301,6.566,6.12,6.162,4.401,4.377,3.806,4.704,2.066,1.34,1.562,2.735,2.553,4.549,5.02,4.75,4.417,4.156,4.323,4.243,3.411,2.683,2.768,2.224,1.69,1.683,1.674,1.957
28,0.097,0.068,0.063,0.131,0.099,0.158,0.173,0.167,0.139,0.12,0.118,0.096,0.061,0.056,0,0,0,0.019,0.377,0.073,0.024,0.023,0.037,0.008,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,25.842,28.222,30.298,31.044,29.168,30.277,31.713,33.834,38.332,42.575,50.202,56.833,58.359,61.147,65.905,72.234,74.27,87.97,68.2,56.141,51.095,45.021,37.314,33.772,31.762,26.414,24.834,24.185,22.4,20.67,19.544,18.576,17.777,17.225
31,0.19,0.139,0.489,1.391,2.151,1.602,1.379,1.197,1.27,1.084,0.907,0.936,0.94,1.205,1.234,0.962,1.019,1.327,2.903,2.757,2.104,1.853,1.262,0.95,0.351,0.387,0.47,0.404,0.392,0.351,0.33,0.345,0.289,0.26
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,192.758,188.187,214.081,229.464,226.816,217.762,221.96,233.053,233.31,239.783,290.145,316.937,306.743,287.154,266.86,262.948,237.635,217.338,200.066,164.498,144.432,119.438,107.661,93.372,94.938,87.02,82.9,85.125,79.164,72.462,64.722,56.872,55.8755,99.041
36,294.928,254.96,326.83,383.113,424.671,435.653,404.408,422.133,413.862,437.251,500.841,508.604,504.473,504.45,510.683,497.891,489.511,470.969,456.523,441.53,419.425,418.051,402,371.119,369.418,348.01,335.24,328.654,328.284,326.897,322.357,278.123,262.6565,465.29
37,18.873,16.213,17.464,15.899,14.395,13.04,12.245,11.314,11.08,9.412,9.083,9.245,8.854,8.357,8.031,8.145,8.582,9.573,10.009,10.403,10.335,9.748,8.985,8.505,7.607,6.788,5.975,5.49,5.103,5.533,4.753,0,5.031,4.249
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,99.869,95.421,87.63,80.507,73.065,69.116,59.137,57.978,56.307,51.606,52.192,50.432,53.051,48.243,46.968,44.916,47.227,50.005,49.168,52.467,45.86,44.771,41.916,38.214,32.816,30.51,28.163,27.531,25.521,25.207,22.771,22.172,19.605,14.484
41,733.546,708.46,666.739,717.524,689.106,645.372,615.351,603.743,611.065,570.462,604.325,613.421,611.323,609.498,638.013,623.739,716.273,704.356,687.891,615.264,547.368,542.709,568.104,558.815,667.366,712.348,670.083,727.732,943.45,1041.201,980.303,941.471,949.786,880.73
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,32.264,80.336,64.028,76.201,71.978,63.538,94.537,56.07,90.077,126.006,108.574,98.889,122.857,124.267,149.875,128.757,131.259,132.501,133.597,140.373,160.086,167.575,150.855,135.409,170.099,235.822,205.823,190.538,197.489,127.602,94.225,79.285,79.761,73.412
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,79.302,69.727,64.953,65.121,65.958,66.588,79.011,91.414,95.463,94.458,65.49153964,75.09521199,69.39581907,72.12465123,70.27649238,75.45602853,65.31590978,57.47218627,52.80217401,46.88600084,40.3750755,33.29505766,32.10011895,32.22012163,30.47745964,26.66564826,24.16076277,21.81575109,20.57527126,20.49291436,18.130765,18.13496544,24.07834085,30.02171625
49,79.895,72.6,65.109,65.962,73.047,70.133,66.363,69.796,83.001,106.559,125.9303096,110.9615316,108.7718124,109.6854169,96.11619768,117.239989,126.7130777,123.8853796,127.9688588,106.9193015,82.3941804,62.37988325,45.57138099,34.19615585,32.60070607,36.13840409,34.1684458,30.16176343,32.14837414,39.55696084,35.7306419,38.14643978,38.15793597,38.16943217
50,113.51,113.791,128.576,177.365,234.801,315.288,350.211,343.662,313.837,333.858,285.1231346,238.7824077,198.0160996,184.150809,164.6944368,160.0734334,161.8305532,164.5584629,170.4164772,160.5187827,143.8623004,129.3672398,113.7678656,105.865608,110.8360791,107.8359638,90.84238278,82.85113436,91.8228034,104.2812683,78.04879427,65.26885237,65.26885237,65.26885237
51,551.337,589.478,612.881,689.103,696.718,670.209,647.288,650.948,730.275,734.609,766.8652385,730.8539713,721.1591499,700.6057961,617.4191528,622.3045032,628.5471345,673.7114117,704.3790861,610.787547,511.2999855,427.1128994,375.5772419,316.7390852,293.3347153,259.711664,211.1042031,196.3449743,177.0441188,178.3442226,159.8468878,151.6869436,213.7492766,275.8116097
52,88.428,91.074,90.147,103.267,115.565,116.413,130.101,158.059,171.446,163.889,218.975,256.638,275.943,335.557,341.07,373.593,386.019,410.23,466.572,480.988,445.446,429.661,373.884,343.25,299.822,254.546,214.868,194.519,180.226,179.668,157.016,134.59,146.7945,158.999
53,303.758,322.222,342.717,408.382,423.587,420.817,424.009,431.637,455.897,442.144,456.447,430.255,405.609,422.005,437.451,522.701,580.335,647.465,749.2,704.041,611.09,544.774,516.824,497.474,493.843,484.134,414.18,385.615,381.67,385.196,342.11,310.796,292.93,275.064
54,5.129,4.268,4.012,4.497,4.853,4.983,4.564,4.138,4.009,4.189,5.148,3.95,3.196,3.412,2.939,2.876,2.848,2.669,3.259,3.417,3.524,3.442,3.224,3.357,3.253,2.998,2.382,2.244,2.107,1.605,1.223,1.028,1.631,1.479
55,142.314,150.628,139.907,161.798,179.662,191.95,203.847,212.477,211.091,196.62,186.999,178.707,183.521,191.057,181.552,193.958,207.121,204.491,197.232,184.375,161.223,143.809,128.841,112.128,102.904,93.889,83.126,78.056,70.884,64.087,55.392,52.975,50.3455,60.86
56,154.311,155.21,147.754,147.061,139.868,129.87,124.955,120.3,123.043,117.998,110.096,95.818,85.844,81.977,72.47,71.311,57.747,61.893,60.196,54.073,51.191,47.858,44.343,40.638,39.425,35.357,44.583,62.731,137.185,188.709,176.791,145.125,138.673,156.542
57,15.645,16.435,16.54,16.275,13.011,10.712,13.382,14.223,15.005,20.956,26.028,26.624,20.793,25.225,80.062,9.718,7.429,9.24,12.262,15.107,17.342,22.368,22.548,17.194,12.858,15.378,21.491,14.531,16.613,16.792,18.304,20.453,21.8325,31.094
58,7.646,7.352,6.502,8.849,7.515,6.629,6.04,5.234,5.501,5.824,5.51,5.27,5.382,6.053,6.401,7.236,5.843,5.864,5.715,5.19,4.586,5.246,6.253,5.963,5.153,4.302,3.342,3.095,2.815,2.87,2.543,2.469,2.5005,3.141
59,188.909,182.823,175.535,175.807,177.888,173.722,165.004,163.311,171.778,163.936,164.233,147.785,138.583,138.03,159.574,209.22,257.389,306.221,370.074,307.085,333.683,405.225,402.514,390.947,370.662,325.648,261.838,227.985,223.81,201.713,166.737,146.4,173.15,159.311
60,29.45,29.524,42.167,64.43,73.716,65.079,81.133,82.6,91.667,92.333,102.188,110.995,119.447,124.211,147.156,178.783,232.859,261.486,317.708,328.846,319.507,345.573,379.698,361.087,336.428,303.303,265.203,221.723,201.405,180.742,160.961,154.325,146.794,165.623
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.821,0.859,1.459,1.775,2.552,2.416,2.449,2.274,1.842,1.91,1.684,1.616,1.676,2.655,1.401,1.31,1.263,1.276,1.216,1.138,1.042,0.971,0.907,0.857,0.804,0.751,0.723,0.705,0.671,0.648,0.637,0.649,0.579,0.564
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,9.217,9.523,8.606,8.349,9.118,9.893,8.259,8.51,8.68,8.155,12.991,8.204,7.921,7.639,7.248,7.726,7.56,7.035,7.093,7.937,7.6,8.948,7.911,7.639,8.033,6.902,7.003,7.945,7.805,7.407,7.269,7.279,7.716,5.387
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,279.595,537.839,397.834,318.639,361.304,338.308,330.086,383.659,486.245,518.378,558.141,671.258,715.646,774.29,811.438,865.614,957.55,1119.342,1272.99,1258.214,1227.87,1151.064,1092.628,1017.082,983.282,1040.607,963.504,885.943,910.698,868.412,719.285,668.431,483.576,502.916
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0.215,0.047,0.155,0.029,0.014,0,0,0,0.035,0,0,0.028,0.039,0,0.173,0.244,0.403,0.072,0.051,0.04,0.129,0.074,0.096,0.115,0.098,0.039,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
