,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
district_number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.007,0.005,0.004,0.003,0.003,0.003,0.005,0.006,0.003,0.002,0.107,0.15,0.243,0.34,0.262,0.18,0.094,0.086,0.073,0.051,0.043,0.052,0.174,0.4,0.589,0.612,0.388,0.251,0.183,0.123,0.094,0.081,0.072,0.086
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.021,0.013,0.006,0.002,0.003,0.007,0.007,0.008,0.006,0.003,0.002,0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0
5,2.387,2.346,2.382,2.204,1.953,1.83,2.271,2.103,1.887,1.546,1.152,1.043,0.907,0.934,1.076,0.979,0.893,0.978,1.024,0.947,1.033,1.702,2.005,2.101,2.086,1.861,1.469,1.25,1.079,0.994,0.846,0.824,0.922,1.004
6,36.142,32.337,28.717,25.644,24.369,21.963,21.437,21.121,20.727,19.778,18.723,19.539,20.451,19.262,19.124,18.419,17.578,17.073,15.665,14.502,13.878,14.692,14.768,14.005,13.314,13.214,12.174,11.14,10.681,10.124,9.346,7.938,8.576,7.861
7,9.671,10.223,10.859,12.265,12.821,12.2,10.694,11.473,10.175,8.698,9.127,8.642,11.653,13,14.393,15.144,16.604,18.389,22.487,23.516,26.277,32.728,43.003,59.043,88.146,115.584,109.899,124.426,163.674,187.159,167.011,149.151,156.025,162.888
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9.057,9.203,8.67,7.72,7.226,6.852,6.755,6.416,5.673,4.624,5.44,5.249,5.23,5.126,5.129,5.058,4.829,4.515,4.546,4.289,4.034,3.927,3.928,3.907,3.721,3.444,3.086,2.954,2.819,2.659,2.352,2.355,2.345,2.309
19,0,0,0,0,0.243,0.188,0.129,0.18,0.163,0.148,0.143,0.103,0.145,0.176,0.19,0.248,0.225,0.215,0.35,0.444,0.386,0.287,0.568,0.319,0.626,0.949,0.508,0.32,0.464,0.802,0.646,0.625,0.428,0
20,5.474,6.557,5.497,5.378,4.82,4.902,7.558,11.928,17.382,13.15,8.938,7.364,5.083,3.988,3.408,3.101,3.398,3.818,4.507,3.706,2.907,2.922,3.053,3.414,3.631,3.807,3.861,3.686,3.126,2.627,2.34,2.19,2.312,2.136
21,4.796,4.222,4.455,3.887,3.55,3.486,3.005,3.767,4.492,3.893,3.341,2.575,1.896,1.946,1.641,1.68,1.416,1.319,1.072,0.931,0.962,1.133,1.46,1.617,1.564,1.599,1.269,1.133,0.91,0.824,0.736,0.602,0.74,0.661
