year,region_number,region_name,units,production
2003,1.0,east_coast,mmbbl,0.099975
2003,2.0,gulf_coast,mmbbl,1.307447
2003,3.0,midcontinent,mmbbl,0.32143
2003,4.0,southwest,mmbbl,29.180032999999998
2003,5.0,rocky_mountain,mmbbl,40.865427
2003,6.0,northern_great_plains,mmbbl,9.138687
2003,7.0,west_coast,mmbbl,15.425557
2003,9.0,gulf_of_mexico,mmbbl,561.765997
2003,10.0,pacific,mmbbl,29.737475
2003,12.0,alaska_onshore_north,mmbbl,4.333845
2004,1.0,east_coast,mmbbl,0.093364
2004,2.0,gulf_coast,mmbbl,1.2934970000000001
2004,3.0,midcontinent,mmbbl,0.3542505
2004,4.0,southwest,mmbbl,27.423606499999998
2004,5.0,rocky_mountain,mmbbl,41.213803
2004,6.0,northern_great_plains,mmbbl,9.365587999999999
2004,7.0,west_coast,mmbbl,13.974739
2004,9.0,gulf_of_mexico,mmbbl,535.284315
2004,10.0,pacific,mmbbl,27.507983
2004,12.0,alaska_onshore_north,mmbbl,4.699669
2005,1.0,east_coast,mmbbl,0.091409
2005,2.0,gulf_coast,mmbbl,1.156107
2005,3.0,midcontinent,mmbbl,0.5161945
2005,4.0,southwest,mmbbl,23.889193000000002
2005,5.0,rocky_mountain,mmbbl,42.5157035
2005,6.0,northern_great_plains,mmbbl,10.2895555
2005,7.0,west_coast,mmbbl,14.551453
2005,9.0,gulf_of_mexico,mmbbl,466.80051
2005,10.0,pacific,mmbbl,26.542513
2005,12.0,alaska_onshore_north,mmbbl,4.241853
2006,1.0,east_coast,mmbbl,0.108664
2006,2.0,gulf_coast,mmbbl,1.101819
2006,3.0,midcontinent,mmbbl,0.663436
2006,4.0,southwest,mmbbl,22.7310005
2006,5.0,rocky_mountain,mmbbl,45.108165
2006,6.0,northern_great_plains,mmbbl,11.468983999999999
2006,7.0,west_coast,mmbbl,14.456596
2006,9.0,gulf_of_mexico,mmbbl,471.875063
2006,10.0,pacific,mmbbl,25.992104
