year,region_number,region_name,units,production
2003,1.0,east_coast,bcf,4.615313
2003,2.0,gulf_coast,bcf,75.30081
2003,3.0,midcontinent,bcf,32.435466500000004
2003,4.0,southwest,bcf,286.87306
2003,5.0,rocky_mountain,bcf,2490.7016869999998
2003,6.0,northern_great_plains,bcf,32.667294
2003,7.0,west_coast,bcf,27.684048
2003,9.0,gulf_of_mexico,bcf,4430.27075
2003,10.0,pacific,bcf,58.402708
2003,12.0,alaska_onshore_north,bcf,64.984772
2004,1.0,east_coast,bcf,4.479308
2004,2.0,gulf_coast,bcf,77.177405
2004,3.0,midcontinent,bcf,33.474288
2004,4.0,southwest,bcf,274.495931
2004,5.0,rocky_mountain,bcf,2658.11666
2004,6.0,northern_great_plains,bcf,37.0610035
2004,7.0,west_coast,bcf,20.533807
2004,9.0,gulf_of_mexico,bcf,4007.012372
2004,10.0,pacific,bcf,54.647898
2004,12.0,alaska_onshore_north,bcf,67.404848
2005,1.0,east_coast,bcf,4.386612
2005,2.0,gulf_coast,bcf,84.32659100000001
2005,3.0,midcontinent,bcf,32.5255535
2005,4.0,southwest,bcf,254.5781315
2005,5.0,rocky_mountain,bcf,2787.3945
2005,6.0,northern_great_plains,bcf,41.7841555
2005,7.0,west_coast,bcf,18.026867
2005,9.0,gulf_of_mexico,bcf,3154.480998
2005,10.0,pacific,bcf,54.185609
2005,12.0,alaska_onshore_north,bcf,67.021782
2006,1.0,east_coast,bcf,4.590092
2006,2.0,gulf_coast,bcf,81.028822
2006,3.0,midcontinent,bcf,32.548808
2006,4.0,southwest,bcf,244.0805075
2006,5.0,rocky_mountain,bcf,2995.633244
2006,6.0,northern_great_plains,bcf,46.1320185
2006,7.0,west_coast,bcf,17.025176
2006,9.0,gulf_of_mexico,bcf,2921.495069
2006,10.0,pacific,bcf,47.15392
2006,12.0,alaska_onshore_north,bcf,64.165674
2007,1.0,east_coast,bcf,4.517201
2007,2.0,gulf_coast,bcf,73.263228
2007,3.0,midcontinent,bcf,31.851834
2007,4.0,southwest,bcf,235.2581255
2007,5.0,rocky_mountain,bcf,3172.5764670000003
2007,6.0,northern_great_plains,bcf,50.494671000000004
2007,7.0,west_coast,bcf,15.391634
2007,9.0,gulf_of_mexico,bcf,2813.193041
2007,10.0,pacific,bcf,45.739848
2007,12.0,alaska_onshore_north,bcf,62.687998
2008,1.0,east_coast,bcf,4.334213
2008,2.0,gulf_coast,bcf,69.23527
2008,3.0,midcontinent,bcf,35.083999
2008,4.0,southwest,bcf,223.0697585
2008,5.0,rocky_mountain,bcf,3464.4071830000003
2008,6.0,northern_great_plains,bcf,52.068486
2008,7.0,west_coast,bcf,13.536471
2008,9.0,gulf_of_mexico,bcf,2330.408394
2008,10.0,pacific,bcf,47.236128
2008,12.0,alaska_onshore_north,bcf,65.880256
2009,1.0,east_coast,bcf,3.971175
2009,2.0,gulf_coast,bcf,56.284310999999995
2009,3.0,midcontinent,bcf,41.0581755
2009,4.0,southwest,bcf,209.790311
2009,5.0,rocky_mountain,bcf,3582.0227600000003
2009,6.0,northern_great_plains,bcf,48.887443
2009,7.0,west_coast,bcf,10.692225
2009,9.0,gulf_of_mexico,bcf,2451.144683
2009,10.0,pacific,bcf,41.819649
2009,12.0,alaska_onshore_north,bcf,57.764139
2010,1.0,east_coast,bcf,3.723621
2010,2.0,gulf_coast,bcf,49.8495635
2010,3.0,midcontinent,bcf,41.4548635
2010,4.0,southwest,bcf,201.843017
2010,5.0,rocky_mountain,bcf,3540.565459
2010,6.0,northern_great_plains,bcf,43.9724435
2010,7.0,west_coast,bcf,10.9683015
2010,9.0,gulf_of_mexico,bcf,2250.779266
2010,10.0,pacific,bcf,41.752856
2010,12.0,alaska_onshore_north,bcf,52.425168
2011,1.0,east_coast,bcf,3.517535
2011,2.0,gulf_coast,bcf,53.6166775
2011,3.0,midcontinent,bcf,35.89728
2011,4.0,southwest,bcf,207.7932135
2011,5.0,rocky_mountain,bcf,3469.722566
2011,6.0,northern_great_plains,bcf,40.727533
2011,7.0,west_coast,bcf,15.270475
2011,9.0,gulf_of_mexico,bcf,1826.640409
2011,10.0,pacific,bcf,39.124269
2011,12.0,alaska_onshore_north,bcf,45.799274
2012,1.0,east_coast,bcf,3.069798
2012,2.0,gulf_coast,bcf,57.112932
2012,3.0,midcontinent,bcf,36.8621445
2012,4.0,southwest,bcf,234.430523
2012,5.0,rocky_mountain,bcf,3369.1736655
2012,6.0,northern_great_plains,bcf,38.799068
2012,7.0,west_coast,bcf,13.708090499999999
2012,9.0,gulf_of_mexico,bcf,1535.382408
2012,10.0,pacific,bcf,27.841015
2012,12.0,alaska_onshore_north,bcf,36.354787
2013,1.0,east_coast,bcf,3.765286
2013,2.0,gulf_coast,bcf,45.775642
2013,3.0,midcontinent,bcf,33.5154105
2013,4.0,southwest,bcf,244.4627
2013,5.0,rocky_mountain,bcf,3139.515455
2013,6.0,northern_great_plains,bcf,40.495417
2013,7.0,west_coast,bcf,11.179856000000001
2013,9.0,gulf_of_mexico,bcf,1327.885329
2013,10.0,pacific,bcf,27.50237
2013,12.0,alaska_onshore_north,bcf,42.875495
2014,1.0,east_coast,bcf,2.86903
2014,2.0,gulf_coast,bcf,43.236182
2014,3.0,midcontinent,bcf,35.6933255
2014,4.0,southwest,bcf,266.2118855
2014,5.0,rocky_mountain,bcf,3073.306952
2014,6.0,northern_great_plains,bcf,43.537445
2014,7.0,west_coast,bcf,11.638669
2014,9.0,gulf_of_mexico,bcf,1276.870381
2014,10.0,pacific,bcf,28.313387
2014,12.0,alaska_onshore_north,bcf,46.711994000000004
2015,1.0,east_coast,bcf,2.366955
2015,2.0,gulf_coast,bcf,44.255447
2015,3.0,midcontinent,bcf,38.087438999999996
2015,4.0,southwest,bcf,302.078886
2015,5.0,rocky_mountain,bcf,2969.950153
2015,6.0,northern_great_plains,bcf,56.429936500000004
2015,7.0,west_coast,bcf,13.0092225
2015,9.0,gulf_of_mexico,bcf,1307.090779
2015,10.0,pacific,bcf,14.80801
2015,12.0,alaska_onshore_north,bcf,48.888071999999994
2016,1.0,east_coast,bcf,2.20746
2016,2.0,gulf_coast,bcf,35.9121035
2016,3.0,midcontinent,bcf,34.0182555
2016,4.0,southwest,bcf,325.1000805
2016,5.0,rocky_mountain,bcf,2776.0779255
2016,6.0,northern_great_plains,bcf,59.270401
2016,7.0,west_coast,bcf,12.610897999999999
2016,9.0,gulf_of_mexico,bcf,1220.570323
2016,10.0,pacific,bcf,4.501298
2016,12.0,alaska_onshore_north,bcf,46.368728
2017,1.0,east_coast,bcf,6.857014
2017,2.0,gulf_coast,bcf,32.6503995
2017,3.0,midcontinent,bcf,30.549498
2017,4.0,southwest,bcf,366.6940695
2017,5.0,rocky_mountain,bcf,2693.2590975
2017,6.0,northern_great_plains,bcf,72.33702749999999
2017,7.0,west_coast,bcf,11.8407605
2017,9.0,gulf_of_mexico,bcf,1077.889768
2017,10.0,pacific,bcf,3.949942
2017,12.0,alaska_onshore_north,bcf,44.998938
2018,1.0,east_coast,bcf,4.610163
2018,2.0,gulf_coast,bcf,31.420341
2018,3.0,midcontinent,bcf,29.837194999999998
2018,4.0,southwest,bcf,495.9523355
2018,5.0,rocky_mountain,bcf,2674.408082
2018,6.0,northern_great_plains,bcf,83.738224
2018,7.0,west_coast,bcf,12.0928205
2018,9.0,gulf_of_mexico,bcf,992.865291
2018,10.0,pacific,bcf,3.427945
2018,12.0,alaska_onshore_north,bcf,39.736694
2019,1.0,east_coast,bcf,4.339741
2019,2.0,gulf_coast,bcf,42.7186435
2019,3.0,midcontinent,bcf,28.854821
2019,4.0,southwest,bcf,672.854261
2019,5.0,rocky_mountain,bcf,2519.275091
2019,6.0,northern_great_plains,bcf,99.362723
2019,7.0,west_coast,bcf,9.435610500000001
2019,9.0,gulf_of_mexico,bcf,1034.517173
2019,10.0,pacific,bcf,2.875797
2019,12.0,alaska_onshore_north,bcf,42.944857
2020,1.0,east_coast,bcf,4.438051000000001
2020,2.0,gulf_coast,bcf,43.521335
2020,3.0,midcontinent,bcf,25.447721
2020,4.0,southwest,bcf,791.4498060000001
2020,5.0,rocky_mountain,bcf,2260.934358
2020,6.0,northern_great_plains,bcf,96.4357555
2020,7.0,west_coast,bcf,9.8492065
2020,9.0,gulf_of_mexico,bcf,806.634392
2020,10.0,pacific,bcf,2.751783
2020,12.0,alaska_onshore_north,bcf,42.519253
2021,1.0,east_coast,bcf,4.728751
2021,2.0,gulf_coast,bcf,53.856097
2021,3.0,midcontinent,bcf,22.8810505
2021,4.0,southwest,bcf,1038.1158114999998
2021,5.0,rocky_mountain,bcf,2134.8128475
2021,6.0,northern_great_plains,bcf,129.7346435
2021,7.0,west_coast,bcf,9.1557625
2021,9.0,gulf_of_mexico,bcf,794.315251
2021,10.0,pacific,bcf,2.783947
2021,12.0,alaska_onshore_north,bcf,39.992841999999996
2022,1.0,east_coast,bcf,6.140464
2022,2.0,gulf_coast,bcf,98.749146
2022,3.0,midcontinent,bcf,23.0643365
2022,4.0,southwest,bcf,1365.125385
