year,OGSM1,OGSM2,OGSM3,OGSM4,OGSM5,OGSM6,OGSM7,OGSM8,OGSM9,OGSM10,OGSM11,OGSM12,OGSM13
1990,0.174706849,0.988150685,0.543452055,1.414030137,0.469657534,0.75,0.159383562,0,0.804465753,0.146821918,0,1.742917808,0.030539726
1991,0.163457534,1.006024658,0.532243836,1.410164384,0.448980822,0.748084932,0.156526027,0,0.867750685,0.149978082,0,1.756183562,0.042021918
1992,0.157639344,0.975775956,0.501784153,1.342860656,0.432349727,0.714737705,0.144625683,0,0.887161202,0.176226776,0,1.672456284,0.041540984
1993,0.141624658,0.92459726,0.473931507,1.289523288,0.399356164,0.68910137,0.136610959,0,0.890690411,0.195679452,0,1.544238356,0.037942466
1994,0.136386301,0.841589041,0.446109589,1.253553425,0.369980822,0.671353425,0.124810959,0,0.924049315,0.213745206,0,1.516180822,0.042583562
1995,0.127906849,0.77350411,0.423860274,1.222312329,0.361830137,0.65569589,0.129339726,0,1.01020548,0.250775343,0,1.441476712,0.04250411
1996,0.122724044,0.767377049,0.411204918,1.203773224,0.334445355,0.66213388,0.135226776,0,1.08531694,0.230745902,0,1.353595628,0.039846995
1997,0.119621918,0.749306849,0.397994521,1.230383562,0.328227397,0.664410959,0.144364384,0,1.192391781,0.206756164,0,1.262232877,0.033517808
1998,0.105084932,0.718424658,0.365654795,1.189016438,0.303468493,0.661142466,0.145893151,0,1.286791781,0.184624658,0,1.14260274,0.032334247
1999,0.093457534,0.630756164,0.322167123,1.065753425,0.273531507,0.644989041,0.134024658,0,1.404849315,0.160273973,0,1.019947945,0.029909589
2000,0.0975847,0.596614754,0.335030055,1.055087432,0.269806011,0.640693989,0.134745902,0,1.477502732,0.14565847,0,0.941543716,0.028934426
2001,0.087350685,0.572210959,0.33070411,1.025375343,0.25469589,0.621153425,0.133879452,0,1.584736986,0.131709589,0,0.931271233,0.031506849
2002,0.090071233,0.535273973,0.321169863,0.98769589,0.253926027,0.617293151,0.134265753,0,1.598112329,0.132484932,0,0.953641096,0.030967123
2003,0.089438356,0.513873973,0.31819726,0.972854795,0.249254795,0.592512329,0.137172603,0,1.584567123,0.125071233,0,0.946756164,0.02749589
2004,0.086617486,0.496532787,0.313254098,0.952434426,0.252576503,0.570661202,0.156357924,0,1.502669399,0.117887978,0,0.885836066,0.022472678
2005,0.083750685,0.489873973,0.307339726,0.94529589,0.259693151,0.546778082,0.191386301,0,1.308087671,0.114616438,0,0.844594521,0.019479452
2006,0.083728767,0.490484932,0.324517808,0.935786301,0.269860274,0.528545206,0.211712329,0,1.319591781,0.112424658,0,0.723956164,0.017087671
2007,0.083136986,0.495446575,0.326772603,0.931517808,0.281726027,0.518367123,0.22290137,0,1.313123288,0.107619178,0,0.707142466,0.015035616
2008,0.085404372,0.496199454,0.352213115,0.962587432,0.295210383,0.509210383,0.261251366,0,1.183620219,0.104125683,0,0.669737705,0.013032787
2009,0.081479452,0.470049315,0.355835616,0.963016438,0.29550411,0.494854795,0.299427397,0,1.588630137,0.09760548,0,0.63769589,0.007536986
2010,0.084665753,0.501019178,0.377030137,1.007652055,0.313367123,0.476931507,0.382175343,0,1.580224658,0.095484932,0,0.589419178,0.010317808
2011,0.08609589,0.673808219,0.444306849,1.116016438,0.33729589,0.469139726,0.488287671,0,1.345468493,0.088460274,0,0.550936986,0.010238356
2012,0.096959016,1.042672131,0.529319672,1.293185792,0.384603825,0.466811475,0.739349727,0,1.293748634,0.084308743,0,0.514540984,0.011147541
2013,0.118693151,1.471830137,0.611336986,1.46669863,0.46220548,0.467194521,0.941082192,0,1.283372603,0.089772603,0,0.49999726,0.014860274
2014,0.150893151,1.88200548,0.684052055,1.74510411,0.601468493,0.4828,1.167991781,0,1.423758904,0.089810959,0,0.478161644,0.018084932
2015,0.18430137,1.993712329,0.695534247,1.977331507,0.69950137,0.480087671,1.259849315,0,1.538857534,0.067060274,0,0.46449863,0.018317808
2016,0.149535519,1.596860656,0.615139344,2.104571038,0.620251366,0.445527322,1.099453552,0,1.622349727,0.048229508,0,0.474685792,0.015418033
2017,0.147693151,1.509230137,0.631046575,2.555082192,0.680241096,0.416884932,1.130482192,0,1.699589041,0.044750685,0,0.48020548,0.014443836
2018,0.164915069,1.626876712,0.721769863,3.557046575,0.830309589,0.384082192,1.323983562,0,1.776087671,0.041391781,0,0.463665753,0.015241096
2019,0.190041096,1.669164384,0.754964384,4.438369863,0.931632877,0.378558904,1.484506849,0,1.916734247,0.037087671,0,0.451334247,0.014276712
2020,0.17560929,1.414245902,0.604172131,4.521019126,0.819120219,0.339680328,1.239595628,0,1.681333333,0.036934426,0,0.43560929,0.012073771
2021,0.161852055,1.323161644,0.531016438,4.764586301,0.774128767,0.317068493,1.164761644,0,1.718854795,0.039416438,0,0.427838356,0.009484932
2022,0.158487671,1.330564384,0.539126027,5.37489863,0.841109589,0.288156164,1.117120548,0,1.744153425,0.034128767,0,0.427860274,0.009432877
2023,0.191334247,1.404958904,0.549610959,5.994276712,0.904317808,0.269082192,1.251778082,0,1.875923288,0.027413699,0,0.417375343,0.008556164
