"note:100% cf, tons per year",,,,,,,CAPEX,,,,,,INCREMENTAL OPEX,,,,,,PARASITIC LOAD,,,,REPORTING METRICS,,,,,
facility_id,facility_name,state,co2_capture_tons,ng_thruput_tons,dry_cooling_systempref,ccs_retrofit_applicable,compressors_mm2018$,after_cooler_mm2018$,cool_water_sys_mm2018$,plant_balance_mm2018$,tpc_mm2018$,total_cap_mm2018$,fixed_labor_mm2018$,fixed_taxinsur_mm2018$,fixed_omcost_mm2018$,variable_chemwaste_mm2018$,variable_maintenance_mm2018$,total_om_cost_mm2018$,cool_systemload_MW,CCSretfit_Elec_LoadMW,misc_parasitic_loadMW,tot_parasitic_retfitloadMW,power_cost_mm2018$,tot_incremental_costmm2018$,co2_ts_$ton,tot_increment_cop$ton,cost_co2_capture$tonne,cost_co2_avoid$Tonne
1011930,PECOS GAS PROCESSING PLANT,TX,71.90442191,2385586.171,Y,TRUE,0.09785761,0.000320586,0.006182302,0.032092,0.136452498,0.165809848,0.002693368,0.002729132,0.0054225,0.001366318,0.001541157,0.001775411,2.03E-05,0.000603882,0,0.000624171,0.000176284,0.017400318,0.000273437,0.012218246,436.8400972,446.8400972
r2,REP_FACILITY_CDIV2,PA,86.86188,11181.74759,N,TRUE,0.109814457,0.000365928,0.003207591,0.036630961,0.150018938,0.182295068,0.002961149,0.003000469,0.005961618,0.001502161,0.001694383,0.001951927,1.32E-05,0.0007295,0,0.000742731,0.000244534,0.019181024,0.07047187,2.879649783,398.6240087,408.6240087
1012675,EAST TOYAH GAS PROCESSING PLANT,TX,88.45667745,4353440.25,Y,TRUE,0.111039979,0.000370619,0.007147147,0.03710046,0.155658204,0.189147606,0.00307246,0.003113257,0.006185717,0.001558628,0.001758075,0.0020253,2.50E-05,0.000742894,0,0.000767855,0.000216865,0.019865184,0.000184329,0.007657022,405.3991764,415.3991764
1011497,NATRIUM EXTRACTION AND FRACTIONATION FACILITY,WV,731.3249248,4232253.512,N,TRUE,0.40279217,0.001625897,0.014252001,0.162759041,0.581429109,0.706521859,0.011476541,0.011628931,0.023105471,0.005821932,0.006566928,0.007565091,0.000111393,0.006141954,0,0.006253347,0.002061794,0.075454037,0.001567599,0.030763908,186.2485936,196.2485936
1011160,OAK GROVE PLANT,WV,1285.202551,7437601.024,N,TRUE,0.568128209,0.002412658,0.021148458,0.241517144,0.833206469,1.012468372,0.016446249,0.016664629,0.033110878,0.008343014,0.009410617,0.010841017,0.000195758,0.010793635,0,0.010989393,0.003623318,0.108796744,0.001567599,0.025522819,152.81473,162.81473
1013737,APR - BASIN 430 - GATHERING & BOOSTING,TX,2393.491747,170683.475,Y,TRUE,0.830200844,0.003728534,0.07190244,0.373241747,1.279073564,1.554262451,0.025246998,0.025582238,0.050829237,0.012807544,0.014446446,0.016642284,0.000675394,0.020101482,0,0.020776877,0.005867996,0.167322035,0.127214528,1.73259809,126.1949863,136.1949863
1006160,MIDMAR WEST GAS PLANT,TX,2473.227344,824686.7832,Y,TRUE,0.846963616,0.003815053,0.073570905,0.381902663,1.306252237,1.587288536,0.025783465,0.026125828,0.051909293,0.013079688,0.014753414,0.016995911,0.000697894,0.020771133,0,0.021469027,0.00606348,0.17094821,0.027206411,0.366669589,124.7732293,134.7732293
1010777,BUFFALO CREEK PROCESSING PLANT,OK,2653.16638,1291364.86,Y,TRUE,0.884036154,0.004007291,0.077278096,0.401146492,1.366468033,1.660459581,0.026972034,0.02733018,0.054302214,0.013682637,0.015433519,0.017779391,0.000748669,0.022282332,0,0.023031001,0.005539727,0.178025336,0.018638535,0.244400097,121.1262374,131.1262374
1011129,TARGA SILVER OAK GAS PLANT,TX,2676.659904,190876.6197,Y,TRUE,0.888803054,0.004032097,0.077756465,0.403629681,1.374221297,1.669880937,0.027125072,0.02748525,0.054610322,0.013760271,0.015521088,0.01788027,0.000755299,0.02247964,0,0.023234938,0.006562225,0.180026507,0.127214528,1.671760613,121.412712,131.412712
1012146,COASTAL BASIN GATHERING & BOOSTING - CHEVRON USA INC.,CA,2807.298136,200192.6273,Y,TRUE,0.915018128,0.004168864,0.080393928,0.417320612,1.416901531,1.721743697,0.027967516,0.02833888,0.056306396,0.014187634,0.016003138,0.018435592,0.000792162,0.023576791,0,0.024368953,0.019875683,0.198727378,0.127214528,1.7528635,127.787997,137.787997
