state,base_yr_eleccost$MWh,base_yr_ngcost$MMBtu
AL,58.41389629,3.580772123
AK,142.1312372,4.885629761
AZ,58.29534758,3.985379143
AR,58.54611293,6.321984681
CA,152.4748605,7.636957494
CO,74.86353067,5.007011867
CT,100.403148,6.321984681
DC,84.53831921,8.951930308
DE,78.56513119,10.90415918
FL,72.04985707,5.553231343
GA,55.92307363,3.803305984
HI,247.4240386,20.77657045
ID,61.70838634,3.712269404
IL,69.26475747,4.309064758
IN,68.04308242,5.472309939
IA,60.18848707,3.975263967
KS,68.76951087,3.418929315
KY,53.07370615,3.540311421
LA,49.02974668,2.599600101
ME,110.6387893,7.940412759
MD,84.53831921,8.951930308
MA,111.8541919,9.407113205
MI,75.36514889,5.917377661
MN,70.49699412,4.03595502
MS,55.97892663,4.106761248
MO,63.27904472,5.836456257
MT,59.13464443,6.058990118
NE,58.12535382,3.92468809
NV,60.98702995,6.069105293
NH,88.07691929,8.567553639
NJ,77.47855725,7.626842319
NM,55.18344165,3.0952437
NY,41.82643022,7.080622842
NC,62.77869374,5.300351956
ND,72.85339813,2.0634958
OH,73.88969437,5.998299065
OK,44.96645148,2.316375187
OR,56.76257088,4.784478006
PA,61.54895469,8.07191004
RI,189.1248533,9.265500748
SC,60.18396191,3.965148792
SD,69.146099,4.450677215
TN,53.9250968,4.207913003
TX,52.798625,2.336605538
UT,57.5423944,5.128393973
VT,104.0035812,3.530196246
VA,63.95134453,3.793190808
WA,52.91571096,7.808915477
WV,61.63760791,2.37706624
WI,70.36630855,4.491137917
WY,64.31743593,4.207913003
