Notes,,,,,,,,,,,,,,,,,
facility_id,facility_name,ccs_retrofit_eligible,rep_facility,existing_45q,existing_ntc,retrofit_status,years_operating,ng_thruput_mmcf,vintage,state,census_division,avg_co2tputrat_cdvn,med_co2tputrat_cdvn,co2_capture_mmcf,co2_capture_tonnes,throughput_tons,45q_eligible
1011064,RED HILLS GAS PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,TRUE,1,426651.6959,post,NM,8,0.05746,0.06545,27925.31617,520300.9,8762614.415,TRUE
1004301,Century Gas Plant,TRUE,FALSE,FALSE,TRUE,TRUE,14,3061914.439,post,TX,7,0.04069,0.01402,27940810.75,800000,149084.6141,TRUE
r8,REP_FACILITY_CDIV8,FALSE,TRUE,TRUE,TRUE,FALSE,0,3686624.526,pre,CO,8,0.05746,0.06545,228689.4646,4260912.696,75716256.44,TRUE
r7,REP_FACILITY_CDIV7,FALSE,TRUE,TRUE,TRUE,FALSE,0,6919955.62,pre,TX,7,0.04069,0.01402,103233.0543,1923424.992,142122727.9,TRUE
r3,REP_FACILITY_CDIV3,FALSE,TRUE,TRUE,TRUE,FALSE,0,1842068.012,pre,MI,3,0.03277,0.01402,25468.27055,474521.542,37832573.67,TRUE
r1,REP_FACILITY_CDIV1,FALSE,TRUE,TRUE,TRUE,FALSE,0,74479.11889,pre,NH,1,0.03277,0.01402,21278.53254,396458.8821,1529659.456,TRUE
r6,REP_FACILITY_CDIV6,FALSE,TRUE,TRUE,TRUE,FALSE,0,736416.0662,pre,MS,6,0.03277,0.01402,10181.62386,189702.7065,15124585.46,TRUE
r9,REP_FACILITY_CDIV9,FALSE,TRUE,TRUE,TRUE,FALSE,0,411324.5726,pre,CA,9,0.03277,0.01402,5686.93742,105958.2867,8447824.453,TRUE
r4,REP_FACILITY_CDIV4,FALSE,TRUE,TRUE,TRUE,FALSE,0,173775.1266,pre,KS,4,0.03277,0.01402,2402.59964,44764.92751,3569010.61,TRUE
r5,REP_FACILITY_CDIV5,FALSE,TRUE,TRUE,TRUE,FALSE,0,1300026.386,pre,WV,5,0.00017,0.00017,221.48494,4126.67894,26700069.53,TRUE
r2,REP_FACILITY_CDIV2,FALSE,TRUE,TRUE,TRUE,FALSE,0,337.19333,pre,PA,2,0.03277,0.01402,4.66201,86.86188,6925.30967,TRUE
1002150,SHUTE CREEK FACILITY,TRUE,FALSE,FALSE,TRUE,TRUE,38,1311239.271,pre,WY,8,0.05746,0.06545,85823.56892,1599053.7,26930360.88,TRUE
1002265,ContangoResources_LOST CABIN,TRUE,FALSE,TRUE,FALSE,FALSE,0,16116220.08,post,WY,8,0.05746,0.06545,49706.81727,664050.0628,784698.7557,TRUE
1000002,TERRELL GAS PROCESSING,TRUE,FALSE,FALSE,TRUE,TRUE,52,16593.62427,pre,TX,7,0.04069,0.01402,232.69214,500000,340801.4842,TRUE
1000001,CORE ENERGY CO2-EOR,TRUE,FALSE,FALSE,TRUE,TRUE,21,11615.53699,pre,MI,3,0.03277,0.01402,162.8845,100000,238561.0389,TRUE
1002943,"BARGATH, INC.- PARACHUTE",TRUE,FALSE,FALSE,FALSE,FALSE,0,8258293.456,pre,CO,8,0.05746,0.06545,25470.82888,96150.97391,402096.3084,TRUE
