,,,,,,Bbl/d,Mcf/d,Bbl/d,Mcf/d,,,,,,,,,,Bbl/year,Mcf/year,Bbl/year,Mcf/year
field_name,field_nickname,evaluation_unit,oil_or_gas,water_depth_ft,field_size_class,initial_oil_prod_rate_day,initial_gas_prod_rate_day,max_oil_production_rate_day,max_gas_production_rate_day,oil_decline_rate,gas_decline_rate,predecline_prod_fraction_oil,predecline_prod_fraction_gas,platform_type,discovery_year,year_production_start,ramp_up_years,hyper_decline_coef,initial_oil_prod_rate,initial_gas_prod_rate,max_oil_production_rate,max_gas_production_rate
MU741,G03304,WGOM0002,gas,101.706,6,192.8767,1852.603,294.5206,3782.467,0.25,0.3,0.5,0.5,FP,1980,2041,2,1,70399.9955,676200.095,107500.019,1380600.455
HIA560,HIA 560 G02711,WGOM0002,gas,239.5013,6,183.5616,1933.151,265.2055,4007.672,0.25,0.3,0.5,0.5,FP,1981,2045,2,1,66999.984,705600.115,96800.0075,1462800.28
HIA287p2,HIA 287 G03751,WGOM0002,gas,180.4462,6,218.3562,1875.617,440.548,3808.768,0.25,0.3,0.5,0.5,FP,1981,2040,2,1,79700.013,684600.205,160800.02,1390200.32
HIA500,HIA 500 G03309,WGOM0002,both,180.4462,6,237.2603,1719.452,414.2466,3328.768,0.25,0.3,0.5,0.5,FP,1981,2043,2,1,86600.0095,627599.98,151200.009,1215000.32
BAA23,BAA 23 G32731,WGOM0002,gas,127.9528,5,181.3699,1658.631,282.4658,3340.275,0.25,0.3,0.5,0.5,FP,1981,2044,2,1,66200.0135,605400.315,103100.017,1219200.375
MUA51,MUA 51 G03925,WGOM0002,both,200.1312,6,247.9452,1776.987,434.7945,3452.055,0.25,0.3,0.5,0.5,FP,1982,2043,2,1,90499.998,648600.255,158699.9925,1260000.075
EB128,G06273,WGOM0002,gas,521.6536,5,294.5206,2464.11,390.411,4086.576,0.25,0.3,0.5,0.5,SS,1984,2040,2,1,107500.019,899400.15,142500.015,1491600.24
GC153p2,Marathon,CGOM0408,oil,2460.63,8,4745.205,0,4745.205,0,0.25,0.3,0.5,0.5,SS,1984,2034,2,1,1731999.825,0,1731999.825,0
MUA52,MUA 52 G03926,WGOM0002,gas,200.1312,5,179.726,1765.48,270.137,3614.795,0.25,0.3,0.5,0.5,FP,1984,2044,2,1,65599.99,644400.2,98600.005,1319400.175
GC069p2,El Toro,CGOM0408,oil,1463.255,6,698.9042,897.5345,72648.49,48427.41,0.25,0.3,0.5,0.5,SS,1984,2037,2,1,255100.033,327600.0925,26516698.85,17676004.65
GC228,Sable,CGOM0408,both,1692.913,9,4902.192,25035.62,4902.192,25035.62,0.25,0.3,0.5,0.5,SS,1985,2034,2,1,1789300.08,9138001.3,1789300.08,9138001.3
GC166p2,Bison,CGOM0408,oil,2358.924,8,1678.082,3355.069,16572.6,19648.77,0.25,0.3,0.5,0.5,SS,1986,2035,2,1,612499.93,1224600.185,6048999,7171801.05
AT001,G07075,CGOM0408,oil,2440.945,9,3187.945,5352.33,6344.11,5352.33,0.25,0.3,0.5,0.5,SS,1986,2033,2,1,1163599.925,1953600.45,2315600.15,1953600.45
