,notes
evaluation_unit,cumulative_nfws
WGOM0002,814
WGOMDG02,74
WGOM0204,57
WGOM0408,88
WGOM0816,76
WGOM1624,33
WGOM2400,6
CGOM0002,1539
CGOMDG02,295
CGOM0204,81
CGOM0408,122
CGOM0816,249
CGOM1624,156
CGOM2400,15
EGOM0002,40
EGOM0204,0
EGOM0408,1
EGOM0816,3
EGOM1624,12
EGOM2400,6
EGOML181,20
NATL0002,0
NATL0208,0
NATL0800,0
MATL0002,0
MATL0208,0
MATL0800,0
SATL0002,0
SATL0208,0
SATL0800,0
FLST0002,0
FLST0208,0
FLST0800,0
PNW0002,16
PNW0208,0
NCA0002,7
NCA0208,0
NCA0816,0
NCA1624,0
CCA0002,32
CCA0208,17
CCA0816,0
SCA0002,51
SCA0208,20
SCA0816,0
SCA1624,0
