,FSC,"Note, NRR normalized search coefficient, Previously: Maximum Field Discovery Rate (%/Year)",,,,,,,,,,,,,,
evaluation_unit,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
WGOM0002,0.001278323,0.002524212,0.003876245,0.016807694,0.026676744,0.03530898,0.072892591,0.073907205,0.077027125,0.070254479,0.017557878,0.00313775,0.001494343,0.000444752,8.73E-05,1.36E-05
WGOMDG02,5.01E-05,0.000236208,0.000906773,0.002834845,0.007217507,0.013863053,0.028557933,0.034747607,0.038912766,0.032875549,0.026357756,0.016437775,0.007852972,0.003150198,0.001029127,0.000273796
WGOM0204,0.002356441,0.007348581,0.024320954,0.024320954,0.097283815,0.282357528,0.104054123,0.128041613,0.307696168,0.610926133,0.021340269,0.141178764,0.037794833,0.016322996,0.005978868,0.001857333
WGOM0408,0.00304539,0.005834417,0.015753345,0.015936824,0.013822674,0.029024183,0.012431015,0.041468022,0.110273415,0.060114545,0.012678611,0.013822674,0.011199365,0.006581563,0.003505068,0.001691592
WGOM0816,6.27E-07,8.79E-06,8.87E-05,0.000642869,0.003351819,0.013560771,0.027341423,0.071160521,0.086362843,0.156755795,0.043181421,0.029360994,0.015141162,0.003433794,0.000662138,9.18E-05
WGOM1624,0.005834537,0.010893063,0.018746857,0.02974005,0.043490029,0.069741108,0.106151244,0.031927429,0.065809185,0.147441857,0.118706379,0.063606229,0.036860464,0.034071163,0.022069007,0.013176905
WGOM2400,4.15E-13,3.36E-10,1.11E-07,1.52E-05,0.000847035,0.019402833,0.182321557,0.702781135,1.111248973,0.720795148,0.191788048,0.020933432,0.000937278,1.72E-05,1.30E-07,4.01E-10
CGOM0002,0.000668519,0.003505701,0.007200692,0.010099614,0.038305887,0.044683971,0.064325337,0.079062861,0.125309334,0.101840718,0.092027464,0.042349168,0.028481783,0.006985417,0.004019286,0.001319362
CGOMDG02,0.003593381,0.003500394,0.007092715,0.016218939,0.018289064,0.026386549,0.026474659,0.03136706,0.144686278,0.022601674,0.033516985,0.003900774,0.005073692,0.00223843,0.000860404,0.000288138
CGOM0204,0.007045514,0.01822727,0.040689344,0.081378688,0.162757376,0.372058951,0.197162394,0.315917114,0.412133705,0.459516369,0.324790399,0.568539529,0.099348019,0.098564898,0.050475442,0.022820563
CGOM0408,0.00019089,0.000838537,0.00299537,0.009432199,0.019305784,0.039881814,0.069793174,0.03601861,0.136733619,0.147719891,0.018290455,0.034089206,0.011363069,0.004276733,0.001277332,0.00031023
CGOM0816,0.000184746,0.000589423,0.004480794,0.003969229,0.004131934,0.01271799,0.004058489,0.03411751,0.072401743,0.096975163,0.135817801,0.028377177,0.03483145,0.004885122,0.007549009,0.003502803
CGOM1624,1.90E-05,0.000104901,0.000477262,0.00179338,0.00663393,0.013362437,0.026913168,0.026702433,0.134374651,0.111581757,0.185839261,0.029233896,0.041461269,0.035546009,0.012464662,0.004719077
CGOM2400,0.004923106,0.009679508,0.01798371,0.031573098,0.071216743,0.08211618,0.068095383,0.170289507,0.209379526,0.286201687,0.543673102,0.493360481,0.250668602,0.390257279,0.367552906,0.327115115
EGOM0002,0.000789135,0.002444172,0.004489938,0.010906637,0.026340129,0.032424428,0.055620062,0.06200505,0.082015276,0.069757251,0.04441944,0.018437716,0.012150555,0.003011753,0.001664553,0.000540315
EGOM0204,0.004700978,0.012787925,0.032505149,0.052849821,0.130020595,0.32720824,0.150608259,0.221979363,0.359914936,0.535221251,0.173065334,0.354859147,0.068571426,0.057443947,0.028227155,0.012338948
EGOM0408,0.00161814,0.003336477,0.009374358,0.012684512,0.016564229,0.034452999,0.041112095,0.038743316,0.123503517,0.103917218,0.015484533,0.02395594,0.011281217,0.005429148,0.0023912,0.001000911
EGOM0816,9.27E-05,0.000299109,0.002284731,0.002306049,0.003741876,0.01313938,0.015699956,0.052639016,0.079382293,0.126865479,0.089499611,0.028869085,0.024986306,0.004159458,0.004105573,0.00179731
EGOM1624,0.00292679,0.005498982,0.009612059,0.015766715,0.02506198,0.041551773,0.066532206,0.029314931,0.100091918,0.129511807,0.15227282,0.046420062,0.039160867,0.034808586,0.017266834,0.008947991
EGOM2400,0.002461553,0.004839754,0.008991911,0.015794134,0.036031889,0.050759507,0.12520847,0.436535321,0.660314249,0.503498417,0.367730575,0.257146956,0.12580294,0.195137247,0.183776518,0.163557558
EGOML181,0.000789135,0.002444172,0.004489938,0.010906637,0.026340129,0.032424428,0.055620062,0.06200505,0.082015276,0.069757251,0.04441944,0.018437716,0.012150555,0.003011753,0.001664553,0.000540315
NATL0002,0.000973421,0.003014957,0.005538469,0.013453654,0.032491315,0.039996475,0.068608964,0.076485033,0.101168229,0.086047598,0.054792671,0.022743459,0.014988063,0.003715084,0.002053274,0.000666495
