notes,year,years,fraction
evaluation_unit,year_available,lag_years,buffer_fraction
WGOM0002,1990,1,0
WGOMDG02,1990,3,0
WGOM0204,1990,2,0
WGOM0408,1990,2,0
WGOM0816,1990,4,0
WGOM1624,1990,6,0
WGOM2400,1990,10,0
CGOM0002,1990,1,0
CGOMDG02,1990,3,0
CGOM0204,1990,2,0
CGOM0408,1990,2,0
CGOM0816,1990,4,0
CGOM1624,1990,6,0
CGOM2400,1990,10,0
EGOM0002,2033,1,0
EGOM0204,2033,2,0
EGOM0408,2033,2,0
EGOM0816,2033,3,0
EGOM1624,2033,6,0
EGOM2400,2033,10,0
EGOML181,2033,5,0
NATL0002,2023,6,0.5
NATL0208,2023,8,0.3
NATL0800,2023,10,0
MATL0002,2033,5,0.75
MATL0208,2033,6,0.15
MATL0800,2033,8,0
SATL0002,2033,5,0.75
SATL0208,2033,6,0.05
SATL0800,2033,8,0
FLST0002,2033,5,0
FLST0208,2033,6,0
FLST0800,2033,7,0
PNW0002,2023,9,0
PNW0208,2023,11,0
NCA0002,2023,3,0
NCA0208,2023,3,0
NCA0816,2023,4,0
NCA1624,2023,6,0
CCA0002,2023,3,0
CCA0208,2023,4,0
CCA0816,2023,4,0
SCA0002,2023,3,0
SCA0208,2023,3,0
SCA0816,2023,5,0
SCA1624,2023,6,0
