,fraction (boe/boe),(Bbl/MMcf),(Scf/Bbl),(Bbl/Mcf),(Mcf/Bbl)
evaluation_unit,gas_proportion,condensate_yield_old,gas_oil_ratio_old,condensate_yield,gas_oil_ratio
WGOM0002,0.85,0.4,750,0.0004,0.75
WGOMDG02,0.95,0.4,750,0.0004,0.75
WGOM0204,0.65,1,850,0.001,0.85
WGOM0408,0.63,1,850,0.001,0.85
WGOM0816,0.49,14.5,1000,0.0145,1
WGOM1624,0.32,14.5,1000,0.0145,1
WGOM2400,0.29,14.5,1000,0.0145,1
CGOM0002,0.7,0.4,750,0.0004,0.75
CGOMDG02,0.9,0.4,750,0.0004,0.75
CGOM0204,0.65,1,850,0.001,0.85
CGOM0408,0.6,1,850,0.001,0.85
CGOM0816,0.39,14.5,1000,0.0145,1
CGOM1624,0.32,14.5,1000,0.0145,1
CGOM2400,0.29,14.5,1000,0.0145,1
EGOM0002,0.61,0.4,1000,0.0004,1
EGOM0204,0.67,1,1000,0.001,1
EGOM0408,0.67,1,1000,0.001,1
EGOM0816,0.68,1,1000,0.001,1
EGOM1624,0.52,1,1000,0.001,1
EGOM2400,0.43,1,2000,0.001,2
EGOML181,0.43,1,2000,0.001,2
NATL0002,0.61,0.4,1000,0.0004,1
NATL0208,0.59,0.4,1000,0.0004,1
NATL0800,0.66,0.4,1000,0.0004,1
MATL0002,0.62,0.4,1000,0.0004,1
MATL0208,0.6,0.4,1000,0.0004,1
MATL0800,0.62,0.4,1000,0.0004,1
SATL0002,0.64,0.4,1000,0.0004,1
SATL0208,0.61,0.4,1000,0.0004,1
SATL0800,0.64,0.4,1000,0.0004,1
FLST0002,0.13,0.4,1000,0.0004,1
FLST0208,0.13,1,1000,0.001,1
FLST0800,0.13,1,1000,0.001,1
PNW0002,0.51,0.01,1000,0.00001,1
PNW0208,0.51,0.01,1000,0.00001,1
NCA0002,0.23,0.01,1000,0.00001,1
NCA0208,0.23,0.01,1000,0.00001,1
NCA0816,0.23,0.01,1000,0.00001,1
NCA1624,0.23,0.01,1000,0.00001,1
CCA0002,0.16,0.01,1000,0.00001,1
CCA0208,0.16,0.01,1000,0.00001,1
CCA0816,0.16,0.01,1000,0.00001,1
SCA0002,0.24,0.01,1000,0.00001,1
SCA0208,0.24,0.01,1000,0.00001,1
SCA0816,0.24,0.01,1000,0.00001,1
SCA1624,0.24,0.01,1000,0.00001,1
