,api_well_number,year,oil_bdp,gas_mcfpd,gor,federal_land,region_number
0,1.77004E+11,2022,89.09116809,882.2962963,7.792726265,federal,9
1,1.77004E+11,2023,430.9847222,536.5243056,7.792726265,federal,9
2,1.77004E+11,2024,14.66666667,0,7.792726265,federal,9
3,1.77004E+11,2025,4.058802462,31.62913655,7.792726265,federal,9
4,1.77004E+11,2026,1.448530029,11.287998,7.792726265,federal,9
5,1.77004E+11,2027,0.837133041,6.523548632,7.792726265,federal,9
6,1.77004E+11,2028,0.572033791,4.457702749,7.792726265,federal,9
7,1.77004E+11,2029,0.426846053,3.326294451,7.792726265,federal,9
8,1.77004E+11,2030,0.336401314,2.621483355,7.792726265,federal,9
9,1.77004E+11,2031,0.275209268,2.144630491,7.792726265,federal,9
10,1.77004E+11,2032,0.231349131,1.80284045,7.792726265,federal,9
11,1.77004E+11,2033,0.198540213,1.547169534,7.792726265,federal,9
12,1.77004E+11,2034,0.173176615,1.349517957,7.792726265,federal,9
13,1.77004E+11,2035,0.153048837,1.192667688,7.792726265,federal,9
14,1.77004E+11,2036,0.136731937,1.065514554,7.792726265,federal,9
15,1.77004E+11,2037,0.123268167,0.960595079,7.792726265,federal,9
16,1.77004E+11,2038,0.111991447,0.872718693,7.792726265,federal,9
17,1.77004E+11,2039,0.102425076,0.798170576,7.792726265,federal,9
18,1.77004E+11,2040,0.094219444,0.734226333,7.792726265,federal,9
19,1.77004E+11,2041,0.087112693,0.67884537,7.792726265,federal,9
20,1.77004E+11,2042,0.080905052,0.630470925,7.792726265,federal,9
21,1.77004E+11,2043,0.075441633,0.587895997,7.792726265,federal,9
22,1.77004E+11,2044,0.070600614,0.550171256,7.792726265,federal,9
23,1.77004E+11,2045,0.066284944,0.51654042,7.792726265,federal,9
24,1.77004E+11,2046,0.062416415,0.486394036,7.792726265,federal,9
25,1.77004E+11,2047,0.058931345,0.459235843,7.792726265,federal,9
26,1.77004E+11,2048,0.055777389,0.434657927,7.792726265,federal,9
27,1.77004E+11,2049,0.052911148,0.412322094,7.792726265,federal,9
28,1.77004E+11,2050,0.050296357,0.39194574,7.792726265,federal,9
29,1.77004E+11,2022,29.00705467,1340.492593,93.12920848,federal,9
30,1.77004E+11,2023,434.4325864,3687.746345,93.12920848,federal,9
31,1.77004E+11,2024,442.8243996,4479.455534,93.12920848,federal,9
32,1.77004E+11,2025,279.6024447,2796.024447,93.12920848,federal,9
33,1.77004E+11,2026,124.8692285,1248.692285,93.12920848,federal,9
34,1.77004E+11,2027,55.76629301,557.6629301,93.12920848,federal,9
35,1.77004E+11,2028,24.90519851,249.0519851,93.12920848,federal,9
36,1.77004E+11,2029,11.12269742,111.2269742,93.12920848,federal,9
37,1.77004E+11,2030,4.967434182,49.67434182,93.12920848,federal,9
38,1.77004E+11,2031,2.218482482,22.18482482,93.12920848,federal,9
39,1.77004E+11,2032,0.990790354,9.907903536,93.12920848,federal,9
