,notes,,years
evaluation_unit,nfw_alpha,nfw_beta,lag_years
WGOM0002,15,0.0869,1
WGOMDG02,2,0.0869,1
WGOM0204,3,0.0869,1
WGOM0408,4,0.0869,1
WGOM0816,3,0.0869,1
WGOM1624,2,0.0869,1
WGOM2400,1,0.0869,1
CGOM0002,23,0.0869,1
CGOMDG02,5,0.0869,1
CGOM0204,3,0.0869,1
CGOM0408,4,0.0869,1
CGOM0816,6,0.0869,1
CGOM1624,5,0.0869,1
CGOM2400,2,0.0869,1
EGOM0002,15,0.0869,1
EGOM0204,2,0.0869,1
EGOM0408,3,0.0869,1
EGOM0816,4,0.0869,1
EGOM1624,3,0.0869,1
EGOM2400,2,0.0869,1
EGOML181,1,0.0869,1
NATL0002,15,0.0869,1
NATL0208,2,0.0869,1
NATL0800,4,0.0869,1
MATL0002,15,0.0869,1
MATL0208,2,0.0869,1
MATL0800,4,0.0869,1
SATL0002,15,0.0869,1
SATL0208,2,0.0869,1
SATL0800,4,0.0869,1
FLST0002,15,0.0869,1
FLST0208,2,0.0869,1
FLST0800,4,0.0869,1
PNW0002,15,0.0869,1
PNW0208,2,0.0869,1
NCA0002,15,0.0869,1
NCA0208,2,0.0869,1
NCA0816,4,0.0869,1
NCA1624,3,0.0869,1
CCA0002,15,0.0869,1
CCA0208,2,0.0869,1
CCA0816,4,0.0869,1
SCA0002,15,0.0869,1
SCA0208,2,0.0869,1
SCA0816,4,0.0869,1
SCA1624,3,0.0869,1
