,minimum field size class,,,,,
evaluation_unit,field_size_class,oil_or_gas,ramp_up_years,peak_years,decline_rate,hyper_decline_coef
WGOM0002,0,oil,2,1,0.2,1
WGOMDG02,0,oil,2,1,0.2,1
WGOM0204,0,oil,2,2,0.2,1
WGOM0408,0,oil,2,2,0.2,1
WGOM0816,0,oil,2,2,0.2,1
WGOM1624,0,oil,2,2,0.2,1
WGOM2400,0,oil,2,2,0.2,1
CGOM0002,0,oil,2,1,0.2,1
CGOMDG02,0,oil,2,1,0.2,1
CGOM0204,0,oil,2,2,0.2,1
CGOM0408,0,oil,2,2,0.2,1
CGOM0816,0,oil,2,2,0.2,1
CGOM1624,0,oil,2,2,0.2,1
CGOM2400,0,oil,2,2,0.2,1
EGOM0002,0,oil,2,1,0.2,1
EGOM0204,0,oil,2,1,0.2,1
EGOM0408,0,oil,2,1,0.2,1
EGOM0816,0,oil,2,1,0.2,1
EGOM1624,0,oil,2,1,0.2,1
EGOM2400,0,oil,2,1,0.2,1
EGOML181,0,oil,2,1,0.2,1
NATL0002,0,oil,2,1,0.2,1
NATL0208,0,oil,2,1,0.2,1
NATL0800,0,oil,2,1,0.2,1
MATL0002,0,oil,2,1,0.2,1
MATL0208,0,oil,2,1,0.2,1
MATL0800,0,oil,2,1,0.2,1
SATL0002,0,oil,2,1,0.2,1
SATL0208,0,oil,2,1,0.2,1
SATL0800,0,oil,2,1,0.2,1
FLST0002,0,oil,2,1,0.2,1
FLST0208,0,oil,2,1,0.2,1
FLST0800,0,oil,2,1,0.2,1
PNW0002,0,oil,2,1,0.2,1
PNW0208,0,oil,2,1,0.2,1
NCA0002,0,oil,2,1,0.2,1
NCA0208,0,oil,2,1,0.2,1
NCA0816,0,oil,2,1,0.2,1
NCA1624,0,oil,2,1,0.2,1
CCA0002,0,oil,2,1,0.15,1
CCA0208,0,oil,2,1,0.15,1
CCA0816,0,oil,2,1,0.15,1
SCA0002,0,oil,2,1,0.15,1
SCA0208,0,oil,3,1,0.15,1
SCA0816,0,oil,2,1,0.15,1
SCA1624,0,oil,3,1,0.15,1
WGOM0002,11,oil,3,4,0.2,1
WGOMDG02,11,oil,3,4,0.2,1
WGOM0204,11,oil,3,4,0.2,1
WGOM0408,11,oil,3,4,0.15,1
WGOM0816,11,oil,3,4,0.15,1
WGOM1624,11,oil,3,4,0.15,1
WGOM2400,11,oil,3,4,0.15,1
CGOM0002,11,oil,3,4,0.2,1
CGOMDG02,11,oil,3,4,0.2,1
CGOM0204,11,oil,3,4,0.2,1
CGOM0408,11,oil,3,4,0.15,1
CGOM0816,11,oil,3,4,0.15,1
CGOM1624,11,oil,3,4,0.15,1
CGOM2400,11,oil,3,4,0.15,1
EGOM0002,11,oil,3,4,0.2,1
EGOM0204,11,oil,3,4,0.2,1
EGOM0408,11,oil,3,4,0.2,1
EGOM0816,11,oil,3,4,0.2,1
EGOM1624,11,oil,3,4,0.2,1
EGOM2400,11,oil,3,4,0.2,1
EGOML181,11,oil,3,4,0.2,1
NATL0002,11,oil,3,3,0.2,1
NATL0208,11,oil,3,3,0.2,1
NATL0800,11,oil,3,3,0.2,1
MATL0002,11,oil,3,3,0.2,1
MATL0208,11,oil,3,3,0.2,1
MATL0800,11,oil,3,3,0.2,1
SATL0002,11,oil,3,3,0.2,1
SATL0208,11,oil,3,3,0.2,1
SATL0800,11,oil,3,3,0.2,1
FLST0002,11,oil,3,3,0.2,1
FLST0208,11,oil,3,3,0.2,1
FLST0800,11,oil,3,3,0.2,1
PNW0002,11,oil,3,2,0.2,1
