,FSC,,,,,,,,,,,,,,,
evaluation_unit,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
WGOM0002,12,20,28,39,38,39,34,25,13,9,3,3,2,1,0,0
WGOMDG02,6,10,14,19,19,19,17,13,7,4,2,2,1,0,0,0
WGOM0204,0,0,1,1,1,2,3,4,4,4,2,1,0,0,0,0
WGOM0408,1,0,1,1,2,3,5,6,7,5,4,2,1,0,0,0
WGOM0816,1,1,2,6,10,16,25,29,30,23,15,8,3,1,0,0
WGOM1624,0,1,1,2,3,6,8,9,11,8,5,4,2,0,0,0
WGOM2400,0,0,1,2,3,4,5,5,6,5,3,3,1,0,0,0
CGOM0002,17,30,43,59,59,58,55,46,21,13,7,5,3,1,0,0
CGOMDG02,8,15,21,29,30,29,28,23,11,6,3,3,1,0,0,0
CGOM0204,0,0,1,2,4,5,9,12,12,10,6,2,1,0,0,0
CGOM0408,0,1,2,3,5,8,14,19,19,14,8,3,1,1,0,0
CGOM0816,1,3,4,9,17,26,47,63,63,48,32,15,5,2,0,0
CGOM1624,1,2,4,8,14,24,39,50,54,42,30,15,7,2,0,0
CGOM2400,0,2,1,4,7,14,23,29,31,26,19,11,5,2,0,0
EGOM0002,5,7,7,8,9,9,7,6,5,2,2,2,0,0,0,0
EGOM0204,2,2,2,3,3,3,2,2,1,1,1,0,0,0,0,0
EGOM0408,2,2,4,4,4,5,3,2,1,1,1,0,0,0,0,0
EGOM0816,2,1,3,3,2,2,2,1,2,1,0,0,0,0,0,0
EGOM1624,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
EGOM2400,1,1,2,1,5,7,9,12,14,12,7,4,3,1,0,0
EGOML181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NATL0002,0,1,1,0,2,3,3,5,7,3,1,1,0,0,0,0
NATL0208,0,1,0,1,2,2,2,4,4,3,2,0,0,0,0,0
NATL0800,0,1,0,1,1,3,3,5,6,5,4,3,2,1,0,0
MATL0002,1,0,1,1,2,3,3,2,2,3,2,0,0,0,0,0
MATL0208,1,1,0,0,2,3,3,4,3,3,2,1,1,0,0,0
MATL0800,1,0,0,0,2,5,6,8,10,11,9,7,5,1,0,0
SATL0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATL0208,1,1,1,0,2,4,4,2,1,1,0,0,0,0,0,0
SATL0800,0,0,1,0,5,6,6,6,5,4,2,0,0,0,0,0
FLST0002,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
FLST0208,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FLST0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNW0002,11,17,24,30,27,20,13,8,5,2,1,0,0,0,0,0
PNW0208,5,6,9,10,11,7,6,3,2,1,0,0,0,0,0,0
NCA0002,1,3,4,6,5,5,5,4,3,3,2,0,0,0,0,0
NCA0208,10,17,24,28,26,22,14,9,6,3,1,1,0,0,0,0
NCA0816,4,6,10,12,13,12,9,7,4,3,2,1,0,0,0,0
NCA1624,2,2,3,5,6,7,6,5,3,3,1,1,0,0,0,0
CCA0002,1,5,6,11,16,20,20,18,12,8,4,2,0,0,0,0
CCA0208,1,2,3,5,8,9,9,9,5,5,1,1,0,0,0,0
CCA0816,1,1,1,1,3,3,3,4,3,3,0,0,0,0,0,0
SCA0002,1,0,2,2,5,8,9,9,7,6,3,1,0,0,0,0
SCA0208,2,2,5,10,15,23,28,26,21,16,6,3,1,0,0,0
SCA0816,2,3,7,10,14,19,19,17,14,10,3,1,1,0,0,0
SCA1624,1,1,3,3,4,6,6,4,3,3,2,0,0,0,0,0
