"Notes: Category 1 - tight/shale, Category 2 - exploration conventional, Category 3 - development conventional",,,
drill_category,resource_type,region_number,dryhole_rate
1,oil,1,0.025
1,oil,2,0.195
1,oil,3,0.094
1,oil,4,0.488
1,oil,5,0.055
1,oil,6,0.122
1,oil,7,0.021
1,gas,1,0.359
1,gas,2,0.232
1,gas,3,0.132
1,gas,4,0.039
1,gas,5,0.233
1,gas,6,0.002
1,gas,7,0.003
2,oil,1,0.77
2,oil,2,1.76
2,oil,3,0.79
2,oil,4,0.53
2,oil,5,0.415
2,oil,6,0.367
2,oil,7,0.6
2,gas,1,0.77
2,gas,2,1.76
2,gas,3,0.79
2,gas,4,0.53
2,gas,5,0.415
2,gas,6,0.367
2,gas,7,0.6
3,oil,1,0.05
3,oil,2,0.095
3,oil,3,0.129
3,oil,4,0.063
3,oil,5,0.018
3,oil,6,0.069
3,oil,7,0.028
3,gas,1,0.05
3,gas,2,0.095
3,gas,3,0.129
3,gas,4,0.063
3,gas,5,0.018
3,gas,6,0.069
3,gas,7,0.028
