notes,Unified configuration for future wells (production multipliers). Production multipliers: production_multiplier = multiplier for entire curve (1.0 = no change, 0.75 = reduce 25%, 1.25 = increase 25%), multiplier_start_year = year when multiplier applies (9999 = never), multiplier_apply_every_year = 0 = apply only in start_year, 1 = apply every year. Priority: play-level > region-level > other_sgto_plays default. 
play_name,commodity_type,production_multiplier,multiplier_start_year,multiplier_apply_every_year,region_name,
other_sgto_plays,oil,1,9999,0,,
Bakken,oil,1,2025,0,,
Eagle_Ford,oil,0.7,2031,1,,
Woodford,oil,1,2025,1,,
Austin_Chalk,oil,1,9999,0,,
Spraberry,oil,1.2,2027,1,,
Niobrara,oil,1,9999,0,,
Avalon_Bone_Spring,oil,0.9,2025,1,,
Wolfcamp,oil,0.9,2025,1,,
Utica,oil,1.75,2025,1,,
other_sgto_plays,gas,1,9999,0,,
Barnett,gas,1.3,2025,1,,
Haynesville,gas,0.7,2025,1,,
Fayetteville,gas,1,9999,0,,
Woodford,gas,1,9999,0,,
Eagle_Ford,gas,1,9999,0,,
Antrim,gas,1,9999,0,,
Marcellus,gas,1,9999,0,,
Bakken,gas,1.3,2025,1,,
Utica,gas,0.6,2030,1,,
Permian,gas,1.35,2025,1,,
