notes,Region-based royalty multiplier overrides for continuous and producing projects. Multiplier acts as inflator/deflator on existing project_royalty_multiplier (e.g., 1.24 = 24% increase, 0.8 = 20% decrease). Applies to onshore projects only (regions 1-7). Separate switches for oil and gas projects by HSM region.
region_name,commodity_type,multiplier,
east_coast,oil,1,
gulf_coast,oil,0.1,
midcontinent,oil,1,
southwest,oil,0.87,
rocky_mountain,oil,0.7,
northern_great_plains,oil,0.65,
west_coast,oil,0.5,
east_coast,gas,0.3,
gulf_coast,gas,0.2,
midcontinent,gas,1,
southwest,gas,1.6,
rocky_mountain,gas,0.9,
northern_great_plains,gas,1.2,
west_coast,gas,0.5,
