notes,Play mapping for shale gas production output
play_name,play_number,output_index
Barnett,4561,1
Barnett,4562,1
Barnett,4563,1
Haynesville,4774,2
Haynesville,4775,2
Fayetteville,6261,3
Fayetteville,6262,3
Woodford,5861,4
Woodford,5862,4
Woodford,5863,4
Woodford,5875,4
Woodford,99926039,4
Eagle_Ford,4761,5
Eagle_Ford,4762,5
Eagle_Ford,4763,5
Antrim,6361,6
Marcellus,6761,7
Marcellus,6776,7
Marcellus,6777,7
Marcellus,6778,7
Marcellus,6779,7
Marcellus,6780,7
Marcellus,6781,7
Marcellus,6782,7
Marcellus,6783,7
Bakken,2804,8
Bakken,3110,8
Bakken,3111,8
Bakken,3112,8
Bakken,3113,8
Bakken,3114,8
Bakken,3115,8
Utica,6790,9
Utica,6791,9
Utica,6792,9
Utica,6793,9
Permian,4401,10
Permian,4409,10
Permian,4413,10
Permian,4415,10
Permian,4425,10
Permian,4471,10
Permian,4472,10
Permian,4473,10
Permian,4475,10
Permian,4565,10

