notes,Play mapping for tight oil production output,
play_name,play_number,output_index
Bakken,2804,1
Bakken,3110,1
Bakken,3111,1
Bakken,3112,1
Bakken,3113,1
Bakken,3114,1
Bakken,3115,1
Eagle_Ford,4761,2
Eagle_Ford,4762,2
Eagle_Ford,4763,2
Austin_Chalk,4747,4
Austin_Chalk,4748,4
Austin_Chalk,4749,4
Spraberry,4409,5
Niobrara,3904,6
Niobrara,3920,6
Avalon_Bone_Spring,4473,7
Wolfcamp,4401,9
Utica,6790,10
Utica,6791,10
Utica,6792,10
Utica,6793,10
Woodford,5861,3
Woodford,5862,3
Woodford,5863,3
Woodford,5875,3
