Notes,,,,,,
,usgs_province_num_merge,production_opex_brl,well_type_merge,transport_opex_brl,facility_capex_well,sga_opex_well
31,47,1.954863587,Coalbed Methane,0.67409117,210712.7493,392057.1541
45,62,1.415111095,Coalbed Methane,0.727138688,127149.6182,459403.0126
3,20,2.022284459,Conventional,0.915927097,432680.6705,484449.3188
12,31,2.422730329,Conventional,0.558600407,573469.626,682199.8036
14,33,4.211650927,Conventional,0.718106834,474853.5006,414246.1205
19,37,2.026321436,Conventional,0.949902369,198070.7722,331958.5996
27,44,2.66629469,Conventional,0.894979271,443310.0578,392810.4915
32,47,1.621744096,Conventional,0.597301255,336078.0805,479834.5525
39,58,1.707770409,Conventional,0.94473882,438921.3562,719979.797
43,60,1.621240603,Conventional,0.825716374,305080.6245,138832.379
46,62,1.700958579,Conventional,1.156834741,296220.1063,565532.0205
4,20,1.164549832,Shale Gas,1.711516575,404965.3615,712681.0969
20,37,1.559442067,Shale Gas,1.045176812,300043.4294,770965.0806
29,45,1.289756847,Shale Gas,1.171873006,288762.2003,1488996.816
33,47,1.192528324,Shale Gas,1.009125851,421425.4986,784114.3081
36,471,0.525107479,Shale Gas,0.738796947,434815.3105,454127.5975
40,58,1.212886076,Shale Gas,1.926483651,413111.6143,997532.8774
47,62,2.044791745,Shale Gas,1.201135571,254299.2363,918806.0252
55,671,0.288424545,Shale Gas,2.065459789,510254.6924,1051678.128
56,672,0.328010092,Shale Gas,2.121738192,404040.9361,803329.3552
5,20,1.976070919,Tight Oil,1.249376181,432680.6705,484449.3188
9,22,1.22924561,Tight Oil,1.110982589,307991.6138,545414.2916
13,31,3.158984253,Tight Oil,0.746490415,573469.626,682199.8036
15,33,2.838314083,Tight Oil,0.871108708,474853.5006,414246.1205
21,37,3.283546921,Tight Oil,1.217524717,198070.7722,331958.5996
23,39,1.649269697,Tight Oil,1.05189313,341802.2573,484210.8453
28,44,1.803690455,Tight Oil,0.789087631,443310.0578,392810.4915
34,47,2.045905387,Tight Oil,0.748604216,336078.0805,479834.5525
41,58,1.735944765,Tight Oil,1.225129528,438921.3562,719979.797
44,60,2.412718782,Tight Oil,0.911986087,305080.6245,138832.379
48,62,2.445134563,Tight Oil,1.006462185,296220.1063,565532.0205
57,672,0.423230232,Tight Oil,1.52309566,282422.8955,264306.4602
