notes,,,,,,,
region_number,fuel,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6
1,oil,175011.5284,0.000328495,0.009597636,0.062652682,11748.88602,0.000302173
2,oil,177665.2964,0.000224331,0,0.029365644,32185.29746,0.00024632
3,oil,0,0,57.22884814,0.022822632,0,0
4,oil,152884.4811,0.000308963,0,0.027877593,56715.39157,0.000224376
5,oil,106800.542,0.000299989,0,0.020808966,17576.28773,0.000209701
6,oil,149098.3784,9.32E-05,8.051230813,0.03228982,282024.3983,0.000135664
7,oil,106800.542,0.002999989,0,0.040808966,17576.28773,0.000409701
1,gas,139453.9519,0,17.70277703,0.040091678,57953.91743,2.83E-05
2,gas,362007.9246,0.000271951,0,0.025535,57768.60381,0.000257353
3,gas,277684.8382,0.00014696,0,0.027866326,160096.0261,0.000204878
4,gas,401334.1702,1.04E-06,15.43874958,0.007,140711.327,0.000271092
5,gas,175100,0.00056,0,0.003567666,64577.80553,0.000313095
6,gas,394451.065,0.000214449,0,0.023364998,74723.77447,0.000237271
7,gas,388269.0259,0.000405627,88.01255624,0.046478146,0,0
1,dry,373565.4949,0.000335422,0,0.010812916,198571.346,0.000274926
2,dry,145975.4369,0.000298125,5.732481719,0.019485239,139514.304,0.00024177
3,dry,295750.3696,0.000788459,86.14054863,0.013865231,0,0
4,dry,389495.9332,0.000416281,0,0,101481.6339,0.000320498
5,dry,300000,0.000905,0,0.033907497,94160.22038,0.000316633
6,dry,1371262.505,0.000167253,0,0,55899.52234,0.000369903
7,dry,130200,0.003,409.5898966,0.014126494,340333.6789,0.000211981
