Notes,,,,,,
,region_number,production_opex_brl,well_type_merge,transport_opex_brl,facility_capex_well,sga_opex_well
0,1,1.535616538,Coalbed Methane,0.795252856,242653.8446,496673.5498
4,2,1.359530645,Coalbed Methane,0.706382326,207225.038,352614.3226
8,3,2.272539139,Coalbed Methane,0.648401601,194472.2567,492776.3521
15,5,1.675363872,Coalbed Methane,0.662703385,177047.0609,370469.9991
1,1,1.440659609,Conventional,0.923520277,282422.8955,264306.4602
5,2,1.608212684,Conventional,0.657254424,403997.6384,391154.724
9,3,1.68614457,Conventional,0.963597099,462029.7222,714995.4501
13,4,2.605711171,Conventional,0.914565027,499973.7374,560428.2419
16,5,2.198838582,Conventional,0.762317715,412032.1671,446999.4787
20,7,2.455372763,Conventional,0.559167538,573469.626,682199.8036
2,1,0.298837265,Shale Gas,2.080263456,485307.6892,993347.0996
6,2,0.937870894,Shale Gas,0.921913542,414450.076,705228.6452
10,3,1.392989365,Shale Gas,1.76944953,388944.5133,985552.7042
17,5,1.426914968,Shale Gas,1.353232845,354094.1217,740939.9981
3,1,0.423230232,Tight Oil,1.52309566,282422.8955,264306.4602
7,2,1.81344995,Tight Oil,0.789397847,403997.6384,391154.724
11,3,1.741005372,Tight Oil,1.307316786,462029.7222,714995.4501
14,4,1.96450903,Tight Oil,0.734371023,499973.7374,560428.2419
18,5,2.250749832,Tight Oil,1.002867155,412032.1671,446999.4787
21,7,3.162007458,Tight Oil,0.745913344,573469.626,682199.8036
