Notes,,,,,,
,usgs_province_num_merge,production_opex_brl,well_type_merge,transport_opex_brl,facility_capex_well,sga_opex_well
0,20,0.774050352,Tight Oil,0.939796014,364941.894,866188.7731
1,21,0.549489315,Tight Oil,0.743472994,187968.7886,641437.2129
2,22,1.143191373,Tight Oil,1.026357571,320227.45,526119.7723
4,31,0.775036306,Tight Oil,0.764605563,424624.6424,1774162.094
5,33,1.032060394,Tight Oil,0.783125763,363997.2305,1041096.346
6,37,1.245633422,Tight Oil,0.813618152,209526.9999,1225312.716
7,39,1.134849285,Tight Oil,0.950328312,378215.4291,589751.9051
8,44,0.892351571,Tight Oil,0.796893741,440621.5326,1208756.997
9,45,0.892351571,Tight Oil,0.796893741,440621.5326,937827
10,47,0.831936066,Tight Oil,0.879382796,346719.8993,990468.9387
11,58,1.217983172,Tight Oil,0.816031905,388069.5606,1082993.579
12,60,1.006419804,Tight Oil,0.863833476,318551.73,1388493.223
14,672,1.768803242,Tight Oil,0.689528253,448431.9288,248456.7019
15,20,1.930216198,Shale Gas,0.814144168,466032.5477,546597.8863
18,37,1.188628048,Shale Gas,0.681602956,374456.353,1192905.374
20,44,0.994712308,Shale Gas,0.795938147,270845.7358,1088112.313
21,45,1.412496479,Shale Gas,1.048346031,284557.5373,937827
22,47,1.19135514,Shale Gas,0.88031782,358975.1537,999734.5702
23,471,0.86664102,Shale Gas,0.646641416,372574.613,785540.3505
24,58,2.12026128,Shale Gas,0.760893178,334088.1368,1036486.116
26,62,1.337099664,Shale Gas,0.79197585,332270.6572,971186.2624
29,671,2.429112197,Shale Gas,0.592518668,416628.2618,572130.5891
30,672,2.631443415,Shale Gas,0.571306822,391980.3226,607264.5728
34,20,0.972114702,Conventional,0.755668726,364941.894,866188.7731
35,21,1.183002344,Conventional,0.875129431,187968.7886,641437.2129
36,22,2.874237865,Conventional,1.110866088,320227.45,526119.7723
38,31,0.595233779,Conventional,0.849082814,424624.6424,1774162.094
39,33,0.563845509,Conventional,0.807819127,363997.2305,1041096.346
42,37,1.040300142,Conventional,0.782340412,209526.9999,1225312.716
43,39,1.065493778,Conventional,0.795495375,378215.4291,589751.9051
46,44,0.806815208,Conventional,0.874235618,440621.5326,1208756.997
48,47,0.782120823,Conventional,0.806760205,346719.8993,990468.9387
52,58,1.01373852,Conventional,0.834122694,388069.5606,1082993.579
53,60,0.831055162,Conventional,0.744246128,318551.73,1388493.223
65,47,1.513419861,Coalbed Methane,0.742083035,358975.1537,999734.5702
67,62,1.280785098,Coalbed Methane,0.746553725,332270.6572,971186.2624
