notes:,for now wleor.txt data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resid,state,play,district_number,rrc_number,Reg,drill_depth_ft,API,Oilvisc,Gasgrav,GOR,NGPL,NGPLET,NGPLPR,NGPLBU,NGPLIS,NGPLPP,HeatVal,CO2cont,H2Scont,N2cont,Sulfur,std_pattern_size_acres,Noilwell,Ngaswell,Ninjwell,lateral_count,lateral_length_ft,PHI,Pay,PERM,SOI,SOC,SOR,SWI,BOI,VDP,OOIP,process_code,total_pattern_size_acres,resacc,PROV,Totprod,Totinj,Totconv,Totps,past_wells,lyroil,lyrgas,numacc,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,OP25,OP26,OP27,OP28,OP29,OP30,OP31,OP32,OP33,OP34,OP35,OP36,OP37,OP38,OP39,OP40,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,GP21,GP22,GP23,GP24,GP25,GP26,GP27,GP28,GP29,GP30,GP31,GP32,GP33,GP34,GP35,GP36,GP37,GP38,GP39,GP40,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30,CO31,CO32,CO33,CO34,CO35,CO36,CO37,CO38,CO39,CO40,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP20,WP21,WP22,WP23,WP24,WP25,WP26,WP27,WP28,WP29,WP30,WP31,WP32,WP33,WP34,WP35,WP36,WP37,WP38,WP39,WP40,WI1,WI2,WI3,WI4,WI5,WI6,WI7,WI8,WI9,WI10,WI11,WI12,WI13,WI14,WI15,WI16,WI17,WI18,WI19,WI20,WI21,WI22,WI23,WI24,WI25,WI26,WI27,WI28,WI29,WI30,WI31,WI32,WI33,WI34,WI35,WI36,WI37,WI38,WI39,WI40,II1,II2,II3,II4,II5,II6,II7,II8,II9,II10,II11,II12,II13,II14,II15,II16,II17,II18,II19,II20,II21,II22,II23,II24,II25,II26,II27,II28,II29,II30,II31,II32,II33,II34,II35,II36,II37,II38,II39,II40,WL1,WL2,WL3,WL4,WL5,WL6,WL7,WL8,WL9,WL10,WL11,WL12,WL13,WL14,WL15,WL16,WL17,WL18,WL19,WL20,WL21,WL22,WL23,WL24,WL25,WL26,WL27,WL28,WL29,WL30,WL31,WL32,WL33,WL34,WL35,WL36,WL37,WL38,WL39,WL40
DOCA100200110,CA,1002,6,4,6,5600,29.5,0.606,0.7,0,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.4,10,8,0,0,4,233.345,25,166.667,600,68,64.941,25,32,1.18,0.72,1862.797,10,690,9,10,1,0.884,0.116,1,0,8.348,0,1,36.84,26.41,48.16,36.06,33.32,30.38,27.83,23.29,24.87,20.99,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,4.3,7.84,5.86,5.42,4.95,4.53,3.78,4.05,3.42,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.61,207.34,174.34,198.35,213.02,223.43,224.72,231.95,218.67,146.84,106.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.24,235.01,232.32,232.16,226.8,226.29,226.5,228.38,243.63,296.89,325.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.13,96.44,137.45,137.45,137.45,168.48,140.78,154.07,291.52,324.31,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522.58,500.96,434.28,434.28,434.28,383.83,428.88,407.25,183.8,140.13,105.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100200210,CA,1002,6,4,6,5593,31,0.746,0.82,870.271,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.5,10,11,0,0,4,233.345,25,155,400,68,62.564,25,32,1.25,0.72,1635.386,10,450,9,10,1,0.756,0.244,1,0,10.233,6.797,1,36.22,24.5,44.96,34.72,31.3,28.85,26.23,21.95,23.54,19.67,14.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,4.27,7.83,6.05,5.46,5.02,4.57,3.83,4.1,3.43,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.41,182.82,155.53,174.22,187.82,196.62,197.62,204.22,192.21,128.74,93.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.76,218.62,215.1,215.15,210.7,210.11,210.61,212.23,226.56,276.52,303.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.29,89.65,127.78,127.78,127.79,156.63,130.87,143.24,271.02,301.82,320.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.06,441.03,382.33,382.33,382.33,337.91,377.57,358.53,161.81,122.93,92.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100300110,CA,1003,6,4,6,7943.8,33,0.585,0.8,871.768,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.4,15,34,0,0,4,285.788,20.8,73,88,56,36.293,25,44,1.34,0.85,629.839,10,2300,9,10,1,0.778,0.222,1,0,119.601,136.98,1,29.78,2.13,26.8,4.64,15.22,11.9,4.68,8.3,11.57,6.38,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0.37,4.62,0.8,2.62,2.05,0.81,1.43,1.99,1.1,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.63,116.74,92.29,117.56,105.41,112.73,118.27,113.71,89.12,55.47,41.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.66,124.42,113.66,122.42,118.31,118.26,122.82,120.92,137.57,167.18,178.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.86,47.01,71.08,71.08,71.09,87.13,87.14,73.95,158.62,174.52,183.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.11,243.39,207.27,207.27,207.27,183.19,183.19,202.97,76.14,55.11,40.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100300210,CA,1003,6,4,6,5812,32,0.417,0.8,64.315,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.4,10,19,0,0,4,233.345,33.583,20.353,541,72.254,38.443,25,27.746,1.218,0.814,330.994,10,360,9,10,1,0.472,0.528,1,0,19.293,0.632,1,9.06,1.27,8.88,2.47,6.01,2.52,3.62,3.76,2.41,2.75,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.08,0.58,0.15,0.39,0.16,0.24,0.24,0.15,0.18,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41,38.83,31.14,36.87,35.12,38.96,36.71,37.58,34.01,20.54,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.65,41.09,38.4,41.53,38.91,40.52,40.46,39.92,45.18,54.63,58.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48,16.79,23.94,23.94,23.94,29.35,24.51,26.84,50.77,58.14,61.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.91,79.47,68.9,68.9,68.9,60.89,68.04,64.61,29.16,19.55,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100400110,CA,1004,6,4,6,5759,36,0.372,0.701,10404.584,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.4,10,57,0,0,4,233.345,27,165,355,80,57.905,25,20,1.329,0.961,1167.909,10,720,9,10,1,0.208,0.792,1,0,230.712,2836.3269,1,60.14,0.17,46.64,13.58,2.35,25.52,24.94,6.74,1.51,11.99,12.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.79,0.03,8.37,2.44,0.42,4.58,4.47,1.21,0.28,2.15,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.61,269.84,209.1,276.93,253.77,228.98,248.22,265.61,194.63,97.79,69.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.2,290.16,285.22,273.06,302.56,296.61,283.27,289.37,358.31,423.3,443.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.33,114.11,172.57,172.56,172.56,211.53,211.53,179.52,384.77,437.37,457.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.65,512.04,436.04,436.04,436.05,385.38,385.38,427,160.61,96.99,68.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100400210,CA,1004,6,4,6,11253,34,0.26,0.83,946.765,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.4,30,30,0,0,4,404.166,19.04,93.437,50,68.756,35.715,25,31.244,1.371,0.795,3184.455,10,3300,9,10,1,0.727,0.273,1,0,195.693,209.68,1,57.78,18.71,60.15,26.27,38.79,24.13,28.59,22.29,21.89,22.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88,3.2,10.29,4.5,6.63,4.13,4.89,3.82,3.74,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.07,277.5,232.51,281.32,279.07,300.09,294.04,302.42,249.98,156.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.29,314.67,296.93,306.61,293.93,298.33,297.94,300.14,338.75,396.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.1,114.9,180.75,180.76,180.75,184.96,212.98,212.98,394.75,422.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.67,659.66,550.11,550.11,550.11,543.11,496.5,496.49,195.39,154.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100400310,CA,1004,6,4,6,12205,30,0.268,0.701,837.104,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.942,20,9,0,0,4,330,32.541,143.447,858.436,69.359,35.762,25,30.343,1.398,0.801,3594.445,10,180,9,10,1,0,1,1,0,41.974,35.123,1,95.98,30.91,103.15,39.22,67.75,39.04,44.7,39.76,36.05,34.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.63,4.39,14.65,5.57,9.63,5.54,6.35,5.65,5.12,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.45,502.37,411.39,512.58,498.03,538.72,530.63,541.23,446.42,283.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.97,553.13,526.59,541.94,517.69,527.54,527.4,527.03,597.48,698.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.19,201.8,317.48,317.47,317.47,324.86,374.07,374.08,692.68,738.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170.08,1182.61,986.21,986.21,986.21,973.67,890.1,890.09,351.18,280.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100500110,CA,1005,6,4,6,5345,35,0.41,0.67,3103.604,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.6,10,6,0,0,4,233.345,27,75,2491,70,39.638,25,30,1.34,0.918,273.556,10,550,9,10,1,0.891,0.109,1,0,5.803,19.659,1,27.5,0.11,20.86,6.71,1.28,11.55,11.23,3.21,0.95,5.22,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0.01,3.49,1.12,0.22,1.93,1.87,0.54,0.16,0.87,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.38,112.01,83.23,111.73,103.43,92.39,100.14,108,79.76,39.64,27.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.11,114.11,112.41,108.14,120.07,117.28,112.01,114.72,142.31,168.58,176.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.58,48.24,68.75,68.76,68.75,84.28,81.5,69.31,154.36,174.68,183.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.48,205.6,178.23,178.24,178.23,157.53,161.23,177.49,64.18,39.27,26.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100500210,CA,1005,6,4,6,6000,34.1,0.463,0.63,2865.54,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.4,10,41,0,0,4,233.345,24,1000,80,67,64.836,25,33,1.2,0.72,4563.975,10,630,9,10,1,0.349,0.651,1,0,44.21,137.213,1,236.76,148.68,271.06,219.63,191.65,179.57,160.43,134.72,145.67,116.37,85.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.27,22.15,40.38,32.72,28.55,26.75,23.9,20.06,21.71,17.33,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.79,986.57,856.67,932.73,1012.25,1055.31,1065.56,1095.5,1007.41,662.65,480.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1819.33,1343.97,1310.33,1315.52,1292.2,1286.56,1299.04,1298.97,1405.29,1705.75,1865.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.57,545.87,778.01,778.02,778.01,953.7,922.33,784.28,1743.9,1839.41,1963.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495.13,2391.88,2073.53,2073.54,2073.54,1832.62,1875.65,2064.93,750.71,657.06,476.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100600110,CA,1006,6,5,6,6112,48.5,0.152,0.67,1309.253,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.3,30,19,0,0,4,404.166,33,20,1000,56,40.864,25,44,1.43,0.5,348.262,10,4000,9,10,1,0.857,0.143,1,0,73.986,106.188,1,19.68,14.33,20.88,19.13,16.12,15.12,12.91,11.31,11.42,9.67,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,3.9,5.68,5.21,4.39,4.12,3.51,3.08,3.11,2.63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.43,68.84,66.92,70.83,77.91,81.83,83.38,85.56,78.23,51.93,36.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.24,109.65,104.35,103.7,102.32,101.56,103.11,102.85,112.17,135.13,148.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.15,41.16,62.23,62.24,62.23,76.29,76.29,64.74,138.35,147.08,157.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.05,190.71,162.4,162.4,162.41,143.53,143.53,159.04,60.43,51.39,36.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
