Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wells left to drill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resid_old,resid,state,play,district_number,rrc,Reg,lookup_wls,drill_depth_ft,API,Oilvisc,Gasgrav,GOR,NGPL,NGPLET,NGPLPR,NGPLBU,NGPLIS,NGPLPP,HeatVal,CO2cont,H2Scont,N2cont,Sulfur,std_pattern_size_acres,Noilwell,Ngaswell,Ninjwell,Latnum,Latlen,PHI,Pay,PERM,SOI,SOC,SOR,SWI,BOI,VDP,OOIP,process_code,total_pattern_size_acres,resacc,PROV,Totprod,Totinj,Totconv,Totps,totpat,past_wells,lyroil,lyrgas,numacc,federal_land,project_royalty_multiplier,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,OP25,OP26,OP27,OP28,OP29,OP30,OP31,OP32,OP33,OP34,OP35,OP36,OP37,OP38,OP39,OP40,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,GP21,GP22,GP23,GP24,GP25,GP26,GP27,GP28,GP29,GP30,GP31,GP32,GP33,GP34,GP35,GP36,GP37,GP38,GP39,GP40,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30,CO31,CO32,CO33,CO34,CO35,CO36,CO37,CO38,CO39,CO40,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP20,WP21,WP22,WP23,WP24,WP25,WP26,WP27,WP28,WP29,WP30,WP31,WP32,WP33,WP34,WP35,WP36,WP37,WP38,WP39,WP40,WI1,WI2,WI3,WI4,WI5,WI6,WI7,WI8,WI9,WI10,WI11,WI12,WI13,WI14,WI15,WI16,WI17,WI18,WI19,WI20,WI21,WI22,WI23,WI24,WI25,WI26,WI27,WI28,WI29,WI30,WI31,WI32,WI33,WI34,WI35,WI36,WI37,WI38,WI39,WI40,II1,II2,II3,II4,II5,II6,II7,II8,II9,II10,II11,II12,II13,II14,II15,II16,II17,II18,II19,II20,II21,II22,II23,II24,II25,II26,II27,II28,II29,II30,II31,II32,II33,II34,II35,II36,II37,II38,II39,II40
CGCA1200417,CGCA120100112,CA,1201,6,-1,7,MONTEREY_CA_KERN_FL,9000,19,19.813,0.738,671.221,20,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,3.794,80,1,14,2,1,5000,19.58,182.694,1412.774,63.455,63.455,30.5,35.212,1.149,0.852,14000.002,12,54400,5,12,0,1,0,0,767,468,0,0,1,Y,1,15.091,4.873,1.972,0.926,0.484,0.274,0.165,0.105,0.069,0.047,0.033,0.024,0.018,0.013,0.01,0.008,0.006,0.005,0.004,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,56.401,18.213,7.369,3.462,1.809,1.025,0.617,0.391,0.258,0.176,0.124,0.089,0.066,0.049,0.038,0.029,0.023,0.018,0.015,0.012,0.01,0.008,0.007,0.006,0.005,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGCA1200517,CGCA120100212,CA,1201,6,-1,7,MONTEREY_CA_KERN_FL_NLS,9000,19,19.813,0.738,671.221,20,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,3.794,80,0,0,0,1,5000,19.58,182.694,1412.774,63.455,63.455,30.5,35.212,1.149,0.852,14000.002,12,11520,4,12,0,1,0,0,144,0,0,0,1,Y,1,15.091,4.873,1.972,0.926,0.484,0.274,0.165,0.105,0.069,0.047,0.033,0.024,0.018,0.013,0.01,0.008,0.006,0.005,0.004,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,56.401,18.213,7.369,3.462,1.809,1.025,0.617,0.391,0.258,0.176,0.124,0.089,0.066,0.049,0.038,0.029,0.023,0.018,0.015,0.012,0.01,0.008,0.007,0.006,0.005,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGCA1201517,CGCA120100312,CA,1201,6,-1,7,MONTEREY_CA_SANTA BARBARA,9000,27,19.813,0.738,671.221,20,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,3.794,80,4,0,2,1,5000,19.58,182.694,1412.774,63.455,63.455,30.5,35.212,1.149,0.852,14000.002,12,109248,10,12,0,1,0,0,1161,288,0,0,1,N,0,8.11,1.34,0.262,0.059,0.015,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.441,1.23,0.241,0.054,0.014,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGCA1201717,CGCA120100412,CA,1201,6,-1,7,MONTEREY_CA_SANTA BARBARA_FL_NLA,9000,27,19.813,0.738,671.221,20,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,3.794,80,0,0,0,1,5000,19.58,182.694,1412.774,63.455,63.455,30.5,35.212,1.149,0.852,14000.002,12,20928,5,12,0,1,0,0,262,0,0,0,1,Y,1,8.11,1.34,0.262,0.059,0.015,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.441,1.23,0.241,0.054,0.014,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGCA1200317,CGCA120100712,CA,1201,6,-1,7,MONTEREY_CA_KERN,9000,19,19.813,0.738,671.221,20,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,3.794,80,136,178,19,1,5000,19.58,182.694,1412.774,63.455,63.455,30.5,35.212,1.149,0.852,14000.002,12,568780.8,10,12,0,1,0,0,632,7100,0,0,1,N,0,15.091,4.873,1.972,0.926,0.484,0.274,0.165,0.105,0.069,0.047,0.033,0.024,0.018,0.013,0.01,0.008,0.006,0.005,0.004,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,56.401,18.213,7.369,3.462,1.809,1.025,0.617,0.391,0.258,0.176,0.124,0.089,0.066,0.049,0.038,0.029,0.023,0.018,0.015,0.012,0.01,0.008,0.007,0.006,0.005,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGCA1200117,EGCA120100512,CA,1201,6,-1,7,MONTEREY_CA_FRESNO,9000,25,19.813,0.738,671.221,20,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,3.794,80,0,0,0,1,5000,19.58,182.694,1412.774,63.455,63.455,30.5,35.212,1.149,0.852,14000.002,12,46592,10,12,0,1,0,0,582,0,0,0,1,N,0,3.597,1.244,0.52,0.248,0.13,0.073,0.044,0.028,0.018,0.012,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.781,7.534,3.148,1.5,0.787,0.445,0.267,0.168,0.11,0.074,0.052,0.037,0.027,0.02,0.015,0.012,0.009,0.007,0.006,0.004,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGCA1200217,EGCA120100612,CA,1201,6,-1,7,MONTEREY_CA_FRESNO_FL,9000,25,19.813,0.738,671.221,20,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,3.794,80,0,0,0,1,5000,19.58,182.694,1412.774,63.455,63.455,30.5,35.212,1.149,0.852,14000.002,12,1433.6,2,12,0,1,0,0,18,0,0,0,1,Y,1,3.597,1.244,0.52,0.248,0.13,0.073,0.044,0.028,0.018,0.012,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.781,7.534,3.148,1.5,0.787,0.445,0.267,0.168,0.11,0.074,0.052,0.037,0.027,0.02,0.015,0.012,0.009,0.007,0.006,0.004,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGCA1200617,EGCA120100812,CA,1201,6,-1,7,MONTEREY_CA_KINGS,9000,25,19.813,0.738,671.221,20,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,3.794,160,0,0,0,1,5000,19.58,182.694,1412.774,63.455,63.455,30.5,35.212,1.149,0.852,14000.002,12,254105.6,10,12,0,1,0,0,1588,0,0,0,1,N,0,3.597,1.244,0.52,0.248,0.13,0.073,0.044,0.028,0.018,0.012,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.781,7.534,3.148,1.5,0.787,0.445,0.267,0.168,0.11,0.074,0.052,0.037,0.027,0.02,0.015,0.012,0.009,0.007,0.006,0.004,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGCA1200717,EGCA120100912,CA,1201,6,-1,7,MONTEREY_CA_KINGS_FL,9000,25,19.813,0.738,671.221,20,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,3.794,160,0,0,0,1,5000,19.58,182.694,1412.774,63.455,63.455,30.5,35.212,1.149,0.852,14000.002,12,3225.6,2,12,0,1,0,0,20,0,0,0,1,Y,1,3.597,1.244,0.52,0.248,0.13,0.073,0.044,0.028,0.018,0.012,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.781,7.534,3.148,1.5,0.787,0.445,0.267,0.168,0.11,0.074,0.052,0.037,0.027,0.02,0.015,0.012,0.009,0.007,0.006,0.004,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGCA1200817,EGCA120101012,CA,1201,6,-1,7,MONTEREY_CA_LOS ANGELES,9000,25,19.813,0.738,671.221,20,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,3.794,80,0,0,0,1,5000,19.58,27.591,1412.774,63.455,63.455,30.5,35.212,1.149,0.852,1750,12,93888,10,12,0,1,0,0,1173,1,0,0,1,N,0,3.597,1.244,0.52,0.248,0.13,0.073,0.044,0.028,0.018,0.012,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.781,7.534,3.148,1.5,0.787,0.445,0.267,0.168,0.11,0.074,0.052,0.037,0.027,0.02,0.015,0.012,0.009,0.007,0.006,0.004,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
