notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resid,state,play,district_number,rrc_number,Reg,drill_depth_ft,API,Oilvisc,Gasgrav,GOR,NGPL,NGPLET,NGPLPR,NGPLBU,NGPLIS,NGPLPP,HeatVal,CO2cont,H2Scont,N2cont,Sulfur,std_pattern_size_acres,Noilwell,Ngaswell,Ninjwell,lateral_count,lateral_length_ft,PHI,Pay,PERM,SOI,SOC,SOR,SWI,BOI,VDP,OOIP,process_code,total_pattern_size_acres,resacc,PROV,Totprod,Totinj,Totconv,Totps,past_wells,lyroil,lyrgas,numacc,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,OP25,OP26,OP27,OP28,OP29,OP30,OP31,OP32,OP33,OP34,OP35,OP36,OP37,OP38,OP39,OP40,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,GP21,GP22,GP23,GP24,GP25,GP26,GP27,GP28,GP29,GP30,GP31,GP32,GP33,GP34,GP35,GP36,GP37,GP38,GP39,GP40,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30,CO31,CO32,CO33,CO34,CO35,CO36,CO37,CO38,CO39,CO40,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP20,WP21,WP22,WP23,WP24,WP25,WP26,WP27,WP28,WP29,WP30,WP31,WP32,WP33,WP34,WP35,WP36,WP37,WP38,WP39,WP40,WI1,WI2,WI3,WI4,WI5,WI6,WI7,WI8,WI9,WI10,WI11,WI12,WI13,WI14,WI15,WI16,WI17,WI18,WI19,WI20,WI21,WI22,WI23,WI24,WI25,WI26,WI27,WI28,WI29,WI30,WI31,WI32,WI33,WI34,WI35,WI36,WI37,WI38,WI39,WI40,II1,II2,II3,II4,II5,II6,II7,II8,II9,II10,II11,II12,II13,II14,II15,II16,II17,II18,II19,II20,II21,II22,II23,II24,II25,II26,II27,II28,II29,II30,II31,II32,II33,II34,II35,II36,II37,II38,II39,II40,WL1,WL2,WL3,WL4,WL5,WL6,WL7,WL8,WL9,WL10,WL11,WL12,WL13,WL14,WL15,WL16,WL17,WL18,WL19,WL20,WL21,WL22,WL23,WL24,WL25,WL26,WL27,WL28,WL29,WL30,WL31,WL32,WL33,WL34,WL35,WL36,WL37,WL38,WL39,WL40
DOCA100200111,CA,1002,6,4,6,1684,22,9.536,0.65,0,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.4,20,54,0,0,4,233.345,35,140,250,60,54.902,25,40,1.05,0.95,1649.294,11,410,9,10,0,2,0,2,0,295.859,0,1,203.812,83.624,64.029,53.905,47.443,42.857,39.385,36.637,34.393,32.516,30.914,15.382,15.074,14.773,14.477,14.188,13.904,13.626,13.354,13.086,12.825,12.568,12.317,12.071,11.829,11.593,11.361,11.133,10.911,10.693,10.479,10.269,10.064,9.862,9.665,9.472,9.283,9.097,8.915,8.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76.936,-88.056,-67.422,-56.762,-49.957,-45.129,-41.472,-38.579,-36.216,-34.239,-32.552,-16.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100400111,CA,1004,6,4,6,851,12,904.457,0.701,0,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.942,15,27,0,0,4,317.547,29.583,35,858.436,63.054,62.579,25,36.649,1.022,0.5,917.445,11,500,9,10,1,0.182,0.818,1,0,4.52,0,1,0,30.497,35.244,34.302,33.279,32.173,30.985,29.714,23.575,23.104,22.641,22.189,21.745,21.31,20.884,20.466,20.057,19.656,19.262,18.877,18.5,18.13,17.767,17.412,17.064,16.722,16.388,16.06,15.739,15.424,15.116,14.813,14.517,14.227,13.942,13.663,13.39,13.122,12.86,12.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.04,89.964,85.127,86.086,87.129,88.256,89.467,90.762,97.018,121.04,121.04,107.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,121.04,5,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA100400211,CA,1004,6,4,6,5759,36,0.372,0.701,10404.584,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,0.4,20,57,0,0,4,233.345,27,165,355,80,57.905,25,20,1.329,0.961,1167.909,11,320,9,10,1,0,1,1,0,230.712,2836.3269,1,44.169,19.829,15.504,13.228,11.758,10.706,9.903,9.264,8.739,8.298,7.92,7.592,7.303,7.046,6.815,6.607,6.418,6.245,6.085,5.938,0.613,0.601,0.589,0.577,0.565,0.554,0.543,0.532,0.522,0.511,0.501,0.491,0.481,0.471,0.462,0.453,0.444,0.435,0.426,0.418,459.559,206.315,161.308,137.631,122.339,111.387,103.034,96.385,90.926,86.336,82.405,78.989,75.981,73.309,70.912,68.746,66.773,64.971,63.314,61.782,6.377,6.249,6.124,6.002,5.882,5.764,5.649,5.536,5.425,5.317,5.21,5.106,5.004,4.904,4.806,4.71,4.616,4.523,4.433,4.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.779,11.548,16.938,19.774,21.605,22.916,23.917,24.713,25.367,25.916,26.387,26.796,27.156,27.476,27.764,28.023,28.259,28.475,28.673,28.857,35.492,36.256,36.256,36.256,36.256,36.256,36.256,32.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA120200111,CA,1202,6,3,6,5662,16,3.03,0.787,664.924,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,4.317,20,19,0,0,4,285.788,24,170,1213.28,72,55.321,25,24,1.12,0.898,3212.862,11,300,9,12,1,0,1,1,0,25.256,24.324,1,31.744,14.251,11.142,9.507,8.451,7.694,7.117,6.658,6.281,5.964,5.692,5.456,5.248,5.064,4.898,4.749,4.612,4.488,4.373,4.268,4.169,4.078,3.993,3.913,3.838,3.767,3.7,3.637,3.577,3.52,3.466,3.414,3.365,3.318,3.273,3.23,1.227,1.202,1.178,1.155,21.107,9.476,7.409,6.321,5.619,5.116,4.732,4.427,4.176,3.965,3.785,3.628,3.49,3.367,3.257,3.157,3.067,2.984,2.908,2.838,2.772,2.712,2.655,2.602,2.552,2.505,2.46,2.418,2.379,2.341,2.305,2.27,2.238,2.206,2.176,2.148,0.816,0.8,0.784,0.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.854,9.14,12.694,14.563,15.77,16.635,17.294,17.819,18.25,18.613,18.923,19.193,19.43,19.641,19.831,20.002,20.157,20.3,20.43,20.551,20.664,20.768,20.865,20.957,21.043,21.124,21.2,21.272,21.341,21.406,21.468,21.527,21.583,21.637,21.688,21.738,24.027,25.429,25.429,25.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA130100111,CA,1301,6,2,6,7235,33,0.473,0.717,4989.452,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,1.21,20,20,0,0,4,233.345,21.39,1225,206.171,53.533,48.848,25,45.857,1.393,0.72,8984.558,11,230,9,13,1,0,1,1,0,14.093,78.749,1,203.646,91.425,71.481,60.989,54.212,49.359,45.658,42.712,40.292,38.258,36.516,35.003,33.67,32.485,31.424,30.463,18.7,18.326,17.959,17.6,17.248,16.903,16.565,16.234,15.909,15.591,15.279,14.974,14.674,14.381,14.093,13.811,13.535,13.264,12.999,12.739,12.484,12.235,11.99,11.75,1016.083,456.162,356.651,304.303,270.489,246.277,227.81,213.108,201.035,190.888,182.197,174.644,167.997,162.084,156.788,151.995,93.302,91.436,89.607,87.815,86.059,84.338,82.651,80.998,79.378,77.79,76.235,74.71,73.216,71.751,70.316,68.91,67.532,66.181,64.858,63.56,62.289,61.043,59.823,58.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.257,139.181,165.029,178.626,187.409,193.698,198.495,202.314,205.45,208.085,210.343,212.305,214.031,215.567,216.943,218.188,233.433,257.668,257.668,257.668,48.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA130200111,CA,1302,6,2,6,1075,20.6,125.309,0.719,0,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,1.7,20,17,0,0,4,253.102,20.54,125,161.115,57.921,54.304,25,37.5,1.028,0.896,1320.595,11,200,9,13,1,0,1,1,0,6.471,0,1,30.797,13.826,10.81,9.223,8.199,7.465,6.905,6.459,5.737,5.622,5.51,5.4,5.292,5.186,5.082,4.98,4.881,4.783,4.688,4.594,4.502,4.412,4.324,4.237,4.152,4.069,3.988,3.908,3.83,3.753,3.678,3.605,3.533,3.462,3.393,3.325,3.258,3.193,3.129,3.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.53,53.858,56.937,58.557,59.604,60.353,60.925,61.38,58.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA130200211,CA,1302,6,2,6,11270,28,0.503,0.7,1658.888,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,1.7,20,25,0,0,4,233.345,14,950,25,60,51.741,25,40,1.4,0.971,4952.708,11,280,9,13,1,0,1,1,0,200.831,353.601,1,73.512,33.003,25.803,22.016,19.57,17.818,16.482,15.418,14.545,13.811,13.182,12.635,12.154,11.727,11.343,10.997,10.681,10.393,10.128,9.883,9.656,9.444,9.246,9.061,8.887,8.724,8.569,8.422,8.284,8.152,8.027,7.907,7.793,7.684,7.58,7.479,7.384,7.291,7.202,7.117,121.948,54.748,42.805,36.522,32.464,29.558,27.341,25.577,24.128,22.91,21.867,20.96,20.163,19.453,18.817,18.242,17.719,17.241,16.801,16.394,16.018,15.667,15.338,15.032,14.743,14.471,14.215,13.972,13.742,13.523,13.315,13.117,12.927,12.747,12.574,12.407,12.249,12.095,11.948,11.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.308,13.028,22.863,28.036,31.378,33.771,35.596,37.049,38.242,39.245,40.103,40.85,41.507,42.091,42.615,43.088,43.519,43.913,44.275,44.61,44.92,45.209,45.479,45.732,45.97,46.193,46.405,46.605,46.794,46.974,47.146,47.309,47.465,47.614,47.756,47.893,48.024,48.15,48.271,48.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCA140400111,CA,1404,6,1,6,1308.75,34,4.314,0.704,392.386,0,0.003,0.453,-0.031,0.304,0.271,0,0,0,0,1.133,20,13,0,0,4,647.183,30,181.25,60,69.167,65.101,25,30.5,1.058,0.72,21206.137,11,1000,9,14,1,0.74,0.26,1,0,59.763,22.094,1,47.231,21.204,16.578,14.145,12.573,11.448,10.589,9.906,9.345,8.873,8.469,8.118,7.809,7.534,7.288,6.349,6.222,6.098,5.976,5.856,5.739,5.624,5.512,5.401,5.293,5.188,5.084,4.982,4.883,4.785,4.689,4.595,4.503,4.413,4.325,4.239,4.154,4.071,3.989,3.91,18.533,8.32,6.505,5.55,4.934,4.492,4.155,3.887,3.667,3.482,3.323,3.185,3.064,2.956,2.86,2.491,2.441,2.392,2.345,2.298,2.252,2.207,2.163,2.119,2.077,2.035,1.995,1.955,1.916,1.877,1.84,1.803,1.767,1.732,1.697,1.663,1.63,1.597,1.565,1.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.323,45.547,50.385,52.93,54.574,55.752,56.649,57.364,57.951,58.445,58.867,59.234,59.558,59.845,60.103,61.084,63.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUT200200111,UT,2002,60,0,5,4954,30.2,7.285,0.58,270.78,0,0.209,0.35,0.126,0.088,0.226,0,0,0,0,0.2,20,85,0,0,4,466.69,13,90,95,71,42.548,25,29,1.36,0.921,3389.532,11,6080,9,20,1,0.72,0.28,1,0,379.637,109.028,1,12.179,5.468,4.275,3.648,3.242,2.952,2.731,2.554,2.41,2.288,2.184,2.093,2.014,1.943,1.879,1.822,1.77,1.722,1.678,0.177,0.173,0.17,0.167,0.163,0.16,0.157,0.154,0.151,0.148,0.145,0.142,0.139,0.136,0.133,0.131,0.128,0.126,0.123,0.121,0.118,3.298,1.481,1.158,0.988,0.878,0.799,0.739,0.692,0.653,0.62,0.591,0.567,0.545,0.526,0.509,0.493,0.479,0.466,0.454,0.048,0.047,0.046,0.045,0.044,0.043,0.043,0.042,0.041,0.04,0.039,0.038,0.038,0.037,0.036,0.035,0.035,0.034,0.033,0.033,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.229,9.78,11.122,11.828,12.284,12.61,12.859,13.057,13.22,13.357,13.474,13.576,13.666,13.745,13.817,13.881,13.94,13.994,14.043,1.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,0,0,0,0,0,0,0,0,0
DOUT200200211,UT,2002,60,0,5,3583,33,2.141,0.697,1565.719,0,0.209,0.35,0.126,0.088,0.226,0,0,0,0,0.1,20,818,0,0,4,618.145,15,25,28,69.333,64.188,25,30.667,1.164,0.72,932.36,11,44000,9,20,1,0.628,0.372,1,0,4113.7842,5564.2769,1,10.94,4.912,3.84,3.276,2.912,0.459,0.45,0.441,0.432,0.423,0.415,0.407,0.398,0.391,0.383,0.375,0.368,0.36,0.353,0.346,0.339,0.332,0.326,0.319,0.313,0.306,0.3,0.294,0.288,0.283,0.277,0.271,0.266,0.261,0.255,0.25,0.245,0.24,0.236,0.231,17.129,7.69,6.013,5.13,4.56,0.719,0.705,0.691,0.677,0.663,0.65,0.637,0.624,0.612,0.599,0.587,0.576,0.564,0.553,0.542,0.531,0.52,0.51,0.5,0.49,0.48,0.47,0.461,0.452,0.443,0.434,0.425,0.417,0.408,0.4,0.392,0.384,0.377,0.369,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.676,22.452,23.656,24.29,24.699,4.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
